Entity,COR,INC,PAR,SPU,MIS,IGN
"newsprint",0,0,0,0,1,0
"to toast the quinoa before placing in the rice cooker",0,0,0,0,1,0
"rents",0,0,0,0,1,0
"warm air and sun",0,0,0,0,1,0
"Closing Loopholes and putting in place a system that is transparent and works",0,0,0,0,1,0
"rising unemployment",0,0,0,0,1,0
"A runway",0,0,0,0,1,0
"a special place",0,0,0,0,1,0
"assistance to you",0,0,0,0,1,0
"profile they fill out for me",0,0,0,0,1,0
"Example",0,0,0,0,1,0
"the International Date Line",0,0,0,0,1,0
"any other instant messaging service",0,0,0,0,1,0
"a whole topic",0,0,0,0,1,0
"your head",0,0,0,0,1,0
"hiring",0,0,0,0,1,0
"the yields",0,0,0,0,1,0
"the added benefit of being natural launching points for conversations about your hobbies",0,0,0,0,1,0
"every effort",0,0,0,0,1,0
"flowers",0,0,0,0,1,0
"masking tape",0,0,0,0,1,0
"much money",0,0,0,0,1,0
"larger cupcakes",0,0,0,0,1,0
"medium-low heat",0,0,0,0,1,0
"a shirt she bought at the stadium",0,0,0,0,1,0
"an art",0,0,0,0,1,0
"movies",0,0,0,0,1,0
"their fantasy land",0,0,0,0,1,0
"bestiality",0,0,0,0,1,0
"a kind of formaldehyde solution",0,0,0,0,1,0
"Method 2",0,0,0,0,1,0
"mother of all grains",0,0,0,0,1,0
"a gentle shove",0,0,0,0,1,0
"whose boat",0,0,0,0,1,0
"wire rack",0,0,0,0,1,0
"two-minute tasks",0,0,0,0,1,0
"IE9",0,0,1,0,0,0
"well-drained soil",0,0,0,0,1,0
"a statement",0,0,0,0,1,0
"books and CDs",0,0,0,0,1,0
"their social life",0,0,0,0,1,0
"the long queues outside the station",0,0,0,0,1,0
"anything",0,0,0,0,1,0
"the land 's original contours",0,0,0,0,1,0
"a list of tasks",0,0,0,0,1,0
"the headline",0,0,0,0,1,0
"the straps",0,0,0,0,1,0
"questions and learning",0,0,0,0,1,0
"representation theory",0,0,0,0,1,0
"Some",0,0,0,0,1,0
"a broom",0,0,0,0,1,0
"a local bar / nightclub",0,0,0,0,1,0
"the entertainment stories",0,0,0,0,1,0
"regulations",0,0,0,0,1,0
"the enemy 's possible counteractions",0,0,0,0,1,0
"banks , schools ,",0,0,0,0,1,0
"random letters",0,0,0,0,1,0
"rice syrup",0,0,0,0,1,0
"the mirror",0,0,0,0,1,0
"much more",0,0,0,0,1,0
"a representation theory",0,0,0,0,1,0
"its larger neighbor",0,0,0,0,1,0
"a monkey",0,0,0,0,1,0
"their bludger",0,0,0,0,1,0
"an Oath to ALL of our people",0,0,0,0,1,0
"regular exposure to stressful situations",0,0,0,0,1,0
"Nickinator",0,0,1,0,0,0
"The dragon 's blood tree",0,0,0,0,1,0
"tight fitting clothing",0,0,0,0,1,0
"additional video , audio and photographs",0,0,0,0,1,0
"to wash adults ’ overalls alone",0,0,0,0,1,0
"the exact path",0,0,0,0,1,0
"your purpose behind this venture",0,0,0,0,1,0
"The glow",0,0,0,0,1,0
"American warplanes in Coron waters",0,0,0,0,1,0
"good fortune",0,0,0,0,1,0
"the flowers",0,0,0,0,1,0
"contact",0,0,0,0,1,0
"Intrepid Sea-Air-Space Museum",0,0,0,0,1,0
"new mistakes",0,0,0,0,1,0
"comments",0,0,0,0,1,0
"other projects",0,0,0,0,1,0
"One small container",0,0,0,0,1,0
"cronyism",0,0,0,0,1,0
"a stalk",0,0,0,0,1,0
"each container",0,0,0,0,1,0
"a t-shirt",0,0,0,0,1,0
"a book",0,0,0,0,1,0
"all her energy",0,0,0,0,1,0
"north-south streets",0,0,0,0,1,0
"the richest areas for endemic plant species",0,0,0,0,1,0
"emails",0,0,0,0,1,0
"the temptation",0,0,0,0,1,0
"additional paper",0,0,0,0,1,0
"the so-called "" rust belt",0,0,0,0,1,0
"commitments",0,0,0,0,1,0
"their mobiles",0,0,0,0,1,0
"“um”s",0,0,0,0,1,0
"a fantastic launch video",0,0,0,0,1,0
"the northern part of Tulsa",0,0,0,0,1,0
"their appearance",0,0,0,0,1,0
"Personality test questions",0,0,0,0,1,0
"File photo of interviewee R Saravanan",0,0,0,0,1,0
"the larger ones",0,0,0,0,1,0
"stream of consciousness",0,0,0,0,1,0
"a denial-of-service attack",0,0,0,0,1,0
"Sources",0,0,0,0,1,0
"any kind of analysis of these interstellar dust particles",0,0,0,0,1,0
"streets",0,0,0,0,1,0
"the debates",0,0,0,0,1,0
"both guests and the environment",0,0,0,0,1,0
"many more",0,0,0,0,1,0
"the same ground",0,0,0,0,1,0
"the site",0,0,0,0,1,0
"the markets",0,0,0,0,1,0
"a more sleepy provincial capital",0,0,0,0,1,0
"that animal",0,0,0,0,1,0
"best choice",0,0,0,0,1,0
"wheat",0,0,0,0,1,0
"that ad",0,0,0,0,1,0
"instructions",0,0,0,0,1,0
"www.standfor.co.nz",0,0,0,0,1,0
"visa de tarjeta del turista",0,0,0,0,1,0
"the local creole",0,0,0,0,1,0
"this structure",0,0,0,0,1,0
"Map of Guadeloupe",0,0,0,0,1,0
"A barn owl",0,0,0,0,1,0
"the coach 's instructions",0,0,0,0,1,0
"downloads",0,0,0,0,1,0
"these hazardous chemicals",0,0,0,0,1,0
"anatomical preservation",0,0,0,0,1,0
"the long answer",0,0,0,0,1,0
"characters",0,0,0,0,1,0
"further expansion of NATO",0,0,0,0,1,0
"an explosion sound",0,0,0,0,1,0
"These responses",0,0,0,0,1,0
"a decline",0,0,0,0,1,0
"flats",0,0,0,0,1,0
"The straps",0,0,0,0,1,0
"the food supply",0,0,0,0,1,0
"all of Persia",0,0,0,0,1,0
"soy milk",0,0,0,0,1,0
"the rooms",0,0,0,0,1,0
"one box",0,0,0,0,1,0
"costumes",0,0,0,0,1,0
"Baie-Mahault",0,0,0,0,1,0
"Men 's shorts",0,0,0,0,1,0
"a god , goddess , protective spirit or guardian angel",0,0,0,0,1,0
"some of the best preserved historical buildings and structures in Europe",0,0,0,0,1,0
"some good rules of thumb",0,0,0,0,1,0
"Some rice cooker",0,0,0,0,1,0
"this version of the game",0,0,0,0,1,0
"the container",0,0,0,0,1,0
"unique land and marine biodiversity",0,0,0,0,1,0
"a cotton ball",0,0,0,0,1,0
"color contamination",0,0,0,0,1,0
"the theory",0,0,0,0,1,0
"severe malnutrition",0,0,0,0,1,0
"A house cat",0,0,0,0,1,0
"their enemy",0,0,0,0,1,0
"the mint",0,0,0,0,1,0
"reinfestation",0,0,0,0,1,0
"comics",0,0,0,0,1,0
"the full fuselage trainer",0,0,0,0,1,0
"the sleeper health issue in Australia",0,0,0,0,1,0
"an important position in the tourism industry",0,0,0,0,1,0
"the phenomenon",0,0,0,0,1,0
"The most popular lodging",0,0,0,0,1,0
"the river",0,0,0,0,1,0
"the general patterns",0,0,0,0,1,0
"a hub of radical culture",0,0,0,0,1,0
"unpleasant smells",0,0,0,0,1,0
"his situation",0,0,0,0,1,0
"gas stations",0,0,0,0,1,0
"a specific product",0,0,0,0,1,0
"wiffle balls",0,0,0,0,1,0
"things like that",0,0,0,0,1,0
"the points of the compass",0,0,0,0,1,0
"coffee shops",0,0,0,0,1,0
"a Warhol-like wig",0,0,0,0,1,0
"the same thing",0,0,0,0,1,0
"The "" B.A. """,0,0,0,0,1,0
"their chute",0,0,0,0,1,0
"changed constraints",0,0,0,0,1,0
"Our advertising revenue",0,0,0,0,1,0
"sturdy boxes",0,0,0,0,1,0
"Moon Rocks",0,0,1,0,0,0
"a good foundation here",0,0,0,0,1,0
"a bit of water",0,0,0,0,1,0
"one flavor",0,0,0,0,1,0
"the minority of skydivers",0,0,0,0,1,0
"their own motor vehicle",0,0,0,0,1,0
"different contexts",0,0,0,0,1,0
"The santorum neologism",0,0,0,0,1,0
"all of our software",0,0,0,0,1,0
"real-life situations",0,0,0,0,1,0
"traditions",0,0,0,0,1,0
"various scattered debris",0,0,0,0,1,0
"unusual new sea anemone",0,0,0,0,1,0
"your limits",0,0,0,0,1,0
"normal western dress",0,0,0,0,1,0
"an effective way",0,0,0,0,1,0
"The document",0,0,0,0,1,0
"Telegraph Avenue",0,0,0,0,1,0
"adult ads",0,0,0,0,1,0
"their perfect little world",0,0,0,0,1,0
"the cliff",0,0,0,0,1,0
"baking soda",0,0,0,0,1,0
"quite a few",0,0,0,0,1,0
"the Nazi occupation",0,0,0,0,1,0
"an interracial marriage",0,0,0,0,1,0
"its popularity",0,0,0,0,1,0
"Getting the Material Right",0,0,0,0,1,0
"music",0,0,0,0,1,0
"ethical lapses in judgment",0,0,0,0,1,0
"beautiful views",0,0,0,0,1,0
"a story countless other jokes",0,0,0,0,1,0
"freeways",0,0,0,0,1,0
"the world of entertainment",0,0,0,0,1,0
"deep , even breathing ( despite the rushing slipstream ) and controlling your heart-rate are essential to your continued survival",0,0,0,0,1,0
"a wild mouse eater",0,0,0,0,1,0
"circumstances",0,0,0,0,1,0
"The effects of iodine deficiency",0,0,0,0,1,0
"a notebook",0,0,0,0,1,0
"a couple twist ties",0,0,0,0,1,0
"the GNP of Israel",0,0,0,0,1,0
"Some of the world 's most rare and endangered birds",0,0,0,0,1,0
"your feet",0,0,0,0,1,0
"high traffic",0,0,0,0,1,0
"the flux of interstellar dust particles",0,0,0,0,1,0
"A ceramic bowl",0,0,0,0,1,0
"the bark",0,0,0,0,1,0
"they",0,0,0,0,1,0
"seafood",0,0,0,0,1,0
"the green ones",0,0,0,0,1,0
"The program",0,0,0,0,1,0
"Local public transportation hubs",0,0,0,0,1,0
"treasures",0,0,0,0,1,0
"your muscles",0,0,0,0,1,0
"the core of the city",0,0,0,0,1,0
"No question",0,0,0,0,1,0
"a question like "" the greatest woman in the world """,0,0,0,0,1,0
"a single new flag design",0,0,0,0,1,0
"cheaper and quicker services",0,0,0,0,1,0
"those slides",0,0,0,0,1,0
"an oval wall with padded edges",0,0,0,0,1,0
"a tiny box at the bottom of the screen alongside cartoon smiley faces",0,0,0,0,1,0
"File photo of interviewee David Titley",0,0,0,0,1,0
"a nuclear free weapons zone in the region",0,0,0,0,1,0
"the rapid economic growth",0,0,0,0,1,0
"the shape of two of its major islands",0,0,0,0,1,0
"the Freewinds",0,0,0,0,1,0
"Neiafu and surrounding villages",0,0,0,0,1,0
"that room",0,0,0,0,1,0
"The legend",0,0,0,0,1,0
"the drink",0,0,0,0,1,0
"impacts",0,0,0,0,1,0
"your washing machine",0,0,0,0,1,0
"serious health problems including brain damage , stunted growth and deafness",0,0,0,0,1,0
"one room",0,0,0,0,1,0
"a lot of walking",0,0,0,0,1,0
"a single line of sight",0,0,0,0,1,0
"a new city",0,0,0,0,1,0
"the two known localities for E. andrillae",0,0,0,0,1,0
"the hilarious anarchy of the net",0,0,0,0,1,0
"she wanted to illustrate it",0,0,0,0,1,0
"magazines",0,0,0,0,1,0
"corporatism",0,0,0,0,1,0
"the threat of Cyclone Phailin",0,0,0,0,1,0
"your vital statistics",0,0,0,0,1,0
"your budget",0,0,0,0,1,0
"the non-profit structure",0,0,0,0,1,0
"two histories",0,0,0,0,1,0
"sorghum",0,0,0,0,1,0
"Łódź",0,0,0,0,1,0
"STS 1",0,0,0,1,0,0
"clothes you want protected",0,0,0,0,1,0
"world food needs",0,0,0,0,1,0
"The formalin",0,0,0,0,1,0
"the switch",0,0,0,0,1,0
"your Mets work",0,0,0,0,1,0
"donated items",0,0,0,0,1,0
"the name of the largest town on the island of Busuanga",0,0,0,0,1,0
"a systematic language system",0,0,0,0,1,0
"document security",0,0,0,0,1,0
""" like "" clothing",0,0,0,0,1,0
"a big challenge",0,0,0,0,1,0
"warehouses",0,0,0,0,1,0
"quinoa 's nutty flavor",0,0,0,0,1,0
"bookstores",0,0,0,0,1,0
"its durability",0,0,0,0,1,0
"the future",0,0,0,0,1,0
"there",0,0,0,0,1,0
"squashed bits of tissue",0,0,0,0,1,0
"soft stone",0,0,0,0,1,0
"a very large selection of products for gardeners",0,0,0,0,1,0
"the bulk of what we spend",0,0,0,0,1,0
"the saucepan",0,0,0,0,1,0
"its history",0,0,0,0,1,0
"rash development",0,0,0,0,1,0
"a diverse range of food at all prices and styles",0,0,0,0,1,0
"plurals",0,0,0,0,1,0
"a cupcake",0,0,0,0,1,0
"common perception",0,0,0,0,1,0
"a cutting",0,0,0,0,1,0
"The samples",0,0,0,0,1,0
"the meter",0,0,0,0,1,0
"The profits",0,0,0,0,1,0
"thoughts of your attractive love",0,0,0,0,1,0
"the mainstream media ’s portrayal of the entertainment world",0,0,0,0,1,0
"A ball",0,0,0,0,1,0
"all your letters",0,0,0,0,1,0
"peppermint oil",0,0,0,0,1,0
"foraging workers",0,0,0,0,1,0
"just one species",0,0,0,0,1,0
"mental and growth retardation",0,0,0,0,1,0
"the line",0,0,0,0,1,0
"an amazing experience",0,0,0,0,1,0
"Objects or donations",0,0,0,0,1,0
"the bird",0,0,0,0,1,0
"the public process",0,0,0,0,1,0
"this mosque",0,0,0,0,1,0
"strawberry , apple , banana , apricot , peach",0,0,0,0,1,0
"one sitting",0,0,0,0,1,0
"its beautiful hand-painted tiling and magnificent public square",0,0,0,0,1,0
"a spectacular waterfall in the middle of nowhere",0,0,0,0,1,0
"the threat",0,0,0,0,1,0
"a hassle",0,0,0,0,1,0
"an internship for my M.Sc. studies",0,0,0,0,1,0
"the NASA Glenn Research & Visitors Center",0,0,0,0,1,0
"large canal systems",0,0,0,0,1,0
"a continuation",0,0,0,0,1,0
"art galleries",0,0,0,0,1,0
"olive oil",0,0,0,0,1,0
"products we consumed",0,0,0,0,1,0
"ozone",0,0,0,0,1,0
"the world 's how to manual",0,0,0,0,1,0
"more modern and developed locations",0,0,0,0,1,0
"Socotra 's arid climate",0,0,0,0,1,0
"pests",0,0,0,0,1,0
"shuttle heat shield tiles",0,0,0,0,1,0
"your emotional state",0,0,0,0,1,0
"Cats",0,0,0,0,1,0
"the goal of the mission and our volunteer community",0,0,0,0,1,0
"the world ’s most prevalent , yet easily preventable , cause of brain damage",0,0,0,0,1,0
"Ambiguity",0,0,0,0,1,0
"the name of a different , smaller island just offshore",0,0,0,0,1,0
"Zócalo",0,0,0,0,1,0
"a different national flag",0,0,0,0,1,0
"The turnout of this election",0,0,0,0,1,0
"holes or tears",0,0,0,0,1,0
"this very special place",0,0,0,0,1,0
"areas prone to iodine deficiency",0,0,0,0,1,0
"a website",0,0,0,0,1,0
"The simplest way",0,0,0,0,1,0
"other countries",0,0,0,0,1,0
"the scent of any tasty morsels",0,0,0,0,1,0
"the Downtown area",0,0,0,0,1,0
"her passport",0,0,0,0,1,0
"tonic immobility",0,0,0,0,1,0
"a clean t-shirt",0,0,0,0,1,0
"the site of the namesake author 's residence",0,0,0,0,1,0
"the parts of the city farther from downtown",0,0,0,0,1,0
"the effort",0,0,0,0,1,0
"this graphic",0,0,0,0,1,0
"social insects",0,0,0,0,1,0
"your question",0,0,0,0,1,0
"overdose",0,0,0,0,1,0
"a cart",0,0,0,0,1,0
"used kitty litter",0,0,0,0,1,0
"estimated damages",0,0,0,0,1,0
"Great question",0,0,0,0,1,0
"that a collaborative online review process would be used to "" discover "" the microscopically small samples the capsule collected",0,0,0,0,1,0
"a stand on any political issues",0,0,0,0,1,0
"a potting mix",0,0,0,0,1,0
"a developed country like Australia",0,0,0,0,1,0
"the setup",0,0,0,0,1,0
"your hands",0,0,0,0,1,0
"Its name",0,0,0,0,1,0
"another location for a shuttle",0,0,0,0,1,0
"magic props",0,0,0,0,1,0
"the smog",0,0,0,0,1,0
"your greatest non-fixed cost",0,0,0,0,1,0
"proceeds to the Make-A-Wish Foundation",0,0,0,0,1,0
"Lemon basil",0,0,0,0,1,0
"town fairs",0,0,0,0,1,0
"the area",0,0,0,0,1,0
"the rest of the grid",0,0,0,0,1,0
"a rigid torso of carved foam",0,0,0,0,1,0
"the country 's new found remarkable prosperity",0,0,0,0,1,0
"the region",0,0,0,0,1,0
"a general sense of ' coolness",0,0,0,0,1,0
"our improvement",0,0,0,0,1,0
"a hindrance",0,0,0,0,1,0
"a cocktail",0,0,0,0,1,0
"recent works",0,0,0,0,1,0
"Peppermint oil cotton balls",0,0,0,0,1,0
"the possibility of a future afterlife",0,0,0,0,1,0
"your own",0,0,0,0,1,0
"bird",0,0,0,0,1,0
"the Airport in Cuba",0,0,0,0,1,0
"whatever flavored icing",0,0,0,0,1,0
"these images of the anemone 's anatomy",0,0,0,0,1,0
"complication",0,0,0,0,1,0
"the names",0,0,0,0,1,0
"What culinary dishes",0,0,0,0,1,0
"a sock",0,0,0,0,1,0
"ice cream",0,0,0,0,1,0
"your arms",0,0,0,0,1,0
"tree carvings",0,0,0,0,1,0
"a glass",0,0,0,0,1,0
"follow-up questions",0,0,0,0,1,0
"Respect",0,0,0,0,1,0
"a city",0,0,0,0,1,0
"Each collection",0,0,0,0,1,0
"England 's "" City of Festivals",0,0,0,0,1,0
"the connections",0,0,0,0,1,0
"the cocktail",0,0,0,0,1,0
"these choices",0,0,0,0,1,0
"jokes making fun of their group",0,0,0,0,1,0
"the winds",0,0,0,0,1,0
"bus service",0,0,0,0,1,0
"a town charter",0,0,0,0,1,0
"this program",0,0,0,0,1,0
"Country-specific advise",0,0,0,0,1,0
"bronze",0,0,0,0,1,0
"easier , safer way",0,0,0,0,1,0
"personality",0,0,0,0,1,0
"homeopathic treatments",0,0,0,0,1,0
"A Stove Top",0,0,0,0,1,0
"both your arms",0,0,0,0,1,0
"the extreme parasite pressure",0,0,0,0,1,0
"rice",0,0,0,0,1,0
"the air",0,0,0,0,1,0
"these types of places",0,0,0,0,1,0
"their",0,0,0,0,1,0
"a Creative Commons license",0,0,0,0,1,0
"Side note",0,0,0,0,1,0
"the real world",0,0,0,0,1,0
"a hard wood floor",0,0,0,0,1,0
"theft inviting",0,0,0,0,1,0
"orange vodka",0,0,0,0,1,0
"Method One of Two",0,0,0,0,1,0
"the bark of which",0,0,0,0,1,0
"chicken stock",0,0,0,0,1,0
"Tape",0,0,0,0,1,0
"development",0,0,0,0,1,0
"the old town",0,0,0,0,1,0
"bottles",0,0,0,0,1,0
"the entrance",0,0,0,0,1,0
"seed containers",0,0,0,0,1,0
"My Presidential qualifications",0,0,0,0,1,0
"his background",0,0,0,0,1,0
"a significant threat to Russia",0,0,0,0,1,0
"some parts of the city",0,0,0,0,1,0
"wooden clogs",0,0,0,0,1,0
"every song on the radio",0,0,0,0,1,0
"the main air gateway to Arizona",0,0,0,0,1,0
"the moves",0,0,0,0,1,0
"the photojournalism aspect of it",0,0,0,0,1,0
"silver balloons blown up with helium",0,0,0,0,1,0
"great material",0,0,0,0,1,0
"time",0,0,0,0,1,0
"Reactive Oxygen Species",0,0,0,0,1,0
"the streets",0,0,0,0,1,0
"suburban areas",0,0,0,0,1,0
"the sham it has become",0,0,0,0,1,0
"the entryways",0,0,0,0,1,0
"sense",0,0,0,0,1,0
"flirtatious conversations",0,0,0,0,1,0
"supermarkets",0,0,0,0,1,0
"Rinse the grains of quinoa in water",0,0,0,0,1,0
"the local rums",0,0,0,0,1,0
"a religious retreat",0,0,0,0,1,0
"regular-length hockey sticks",0,0,0,0,1,0
"a music",0,0,0,0,1,0
"one of the smaller rooms",0,0,0,0,1,0
"hard drives",0,0,0,0,1,0
"our responsibility",0,0,0,0,1,0
"several colored screen prints",0,0,0,0,1,0
"its population",0,0,0,0,1,0
"all the substances",0,0,0,0,1,0
"free shipping",0,0,0,0,1,0
"html",0,0,0,0,1,0
"nuclear astrophysics work",0,0,0,0,1,0
"your whole body",0,0,0,0,1,0
"the peppers",0,0,0,0,1,0
"its legs",0,0,0,0,1,0
"the square",0,0,0,0,1,0
"the "" twisted "" area down-town",0,0,0,0,1,0
"their offensive capacity",0,0,0,0,1,0
"trendy hotels",0,0,0,0,1,0
"work",0,0,0,0,1,0
"a cenote",0,0,0,0,1,0
"something",0,0,0,0,1,0
"effective public-private partnership",0,0,0,0,1,0
"vanilla",0,0,0,0,1,0
"Scientology-related employment",0,0,0,0,1,0
"the grain",0,0,0,0,1,0
"interesting place to visit and explore",0,0,0,0,1,0
"proprietary software",0,0,0,0,1,0
"a surprising way",0,0,0,0,1,0
"benefits from major earthquakes",0,0,0,0,1,0
"the world 's most persecuted groups",0,0,0,0,1,0
"the beauty and wildlife of the island",0,0,0,0,1,0
"relative benefits",0,0,0,0,1,0
"fear",0,0,0,0,1,0
"eHow",0,0,0,0,1,0
"an antiquated , slow and small coastal trading vessel",0,0,0,0,1,0
"a Lego city",0,0,0,0,1,0
"a goal of helping others become fluent in the language",0,0,0,0,1,0
"the west",0,0,0,0,1,0
"the unorthodox preservatives",0,0,0,0,1,0
"buying carbon offsets to become carbon neutral",0,0,0,0,1,0
"enough open space",0,0,0,0,1,0
"a cactus",0,0,0,0,1,0
"much greater leadership",0,0,0,0,1,0
"blacked out windows",0,0,0,0,1,0
"a new identity",0,0,0,0,1,0
"to look good",0,0,0,0,1,0
"a separate box of essentials",0,0,0,0,1,0
"the mantra",0,0,0,0,1,0
"a religious turn of mind",0,0,0,0,1,0
"this work arrangement",0,0,0,0,1,0
"the ever-strange and extremely rare Cucumber Tree",0,0,0,0,1,0
"those two together",0,0,0,0,1,0
"major roadways",0,0,0,0,1,0
"DNA",0,0,0,0,1,0
"many columns",0,0,0,0,1,0
"the main wizarding sport",0,0,0,0,1,0
"jokes requiring specialized knowledge",0,0,0,0,1,0
"large scale projects",0,0,0,0,1,0
"santorum",0,0,0,0,1,0
"taxes",0,0,0,0,1,0
"early forms of this elegant and sophisticated art",0,0,0,0,1,0
"answers",0,0,0,0,1,0
"The restoration of charming neoclassical buildings in the city 's historical center",0,0,0,0,1,0
"an effect",0,0,0,0,1,0
"places",0,0,0,0,1,0
"the issue you raise with these animals",0,0,0,0,1,0
"STS 133",0,0,0,1,0,0
"this district",0,0,0,0,1,0
"the stratosphere",0,0,0,0,1,0
"History",0,0,0,0,1,0
"the owner 's factory",0,0,0,0,1,0
"the solution",0,0,0,0,1,0
"history",0,0,0,0,1,0
"The tracks in the demo",0,0,0,0,1,0
"a pan",0,0,0,0,1,0
"a combination of the beauty , of the imagination , of the freedom",0,0,0,0,1,0
"money",0,0,0,0,1,0
"exaggeration",0,0,0,0,1,0
"that it is done at the beginning of each ballet session",0,0,0,0,1,0
"our regular English language",0,0,0,0,1,0
"bread",0,0,0,0,1,0
"your current situation",0,0,0,0,1,0
"The commuting crowds",0,0,0,0,1,0
"the pool in front",0,0,0,0,1,0
"something soft",0,0,0,0,1,0
"anything else relating to their self-image",0,0,0,0,1,0
"an ultrasonic beeping sound",0,0,0,0,1,0
"taxes for property and local services",0,0,0,0,1,0
"good luck",0,0,0,0,1,0
"punctuation",0,0,0,0,1,0
"Why should I bother my child with memory when he can buy a computer that will remember everything you asked him to remember",0,0,0,0,1,0
"copyright",0,0,0,0,1,0
"a valid tourist visa card",0,0,0,0,1,0
"Gliders",0,0,0,1,0,0
"this diversity of voice",0,0,0,0,1,0
"' Bevernondelibreatekin '",0,0,0,0,1,0
"the queue",0,0,0,0,1,0
"Cereal , diaper and houseware boxes",0,0,0,0,1,0
"the internet",0,0,0,0,1,0
"all this publicity",0,0,0,0,1,0
"Instant Messaging",0,0,0,0,1,0
"his assessment of Google 's response",0,0,0,0,1,0
"some shops",0,0,0,0,1,0
"the image",0,0,0,0,1,0
"misogynist jokes",0,0,0,0,1,0
"thing",0,0,0,0,1,0
"the emergency department",0,0,0,0,1,0
"Water landings",0,0,0,0,1,0
"animals",0,0,0,0,1,0
"The smell",0,0,0,0,1,0
"arts",0,0,0,0,1,0
"cuttings",0,0,0,0,1,0
"an electric hand-held mixer",0,0,0,0,1,0
"box bottoms",0,0,0,0,1,0
"the Cathedral of Christ the Light",0,0,0,0,1,0
"Tropical vegetation",0,0,0,0,1,0
"an extremely strong need to look good",0,0,0,0,1,0
"a script",0,0,0,0,1,0
"any public figure or anybody in America",0,0,0,0,1,0
"the crane",0,0,0,0,1,0
"your reflection in the mirror",0,0,0,0,1,0
