Entity,COR,INC,PAR,SPU,MIS,IGN
"Method two",0,0,0,0,1,0
"that number",0,0,0,0,1,0
"the International Date Line",0,0,0,0,1,0
"the main entrance",0,0,0,0,1,0
"office",0,0,0,0,1,0
"Example",0,0,0,0,1,0
"Talau national park",0,0,0,0,1,0
"a certain amount of time",0,0,0,0,1,0
"a whole topic",0,0,0,0,1,0
"every effort",0,0,0,0,1,0
"popular American culture",0,0,0,0,1,0
"hiring",0,0,0,0,1,0
"a natural deterrent",0,0,0,0,1,0
"photography",0,0,0,0,1,0
"the airport",0,0,0,0,1,0
"the building",0,0,0,0,1,0
"email",0,0,0,0,1,0
"medium-low heat",0,0,0,0,1,0
"hold",0,0,0,0,1,0
"an art",0,0,0,0,1,0
"6 inches",0,0,0,1,0,0
"a Santorum",0,0,0,0,1,0
"Method 2",0,0,0,0,1,0
"imperfection , change and lack of certainty",0,0,0,0,1,0
"a long career in poetry",0,0,0,0,1,0
"a migration office",0,0,0,0,1,0
"ballet",0,0,0,0,1,0
"Onomatopoeia",0,0,0,0,1,0
"the ice",0,0,0,0,1,0
"the hangar",0,0,0,0,1,0
"anything",0,0,0,0,1,0
"the urban core",0,0,0,0,1,0
"A handle",0,0,0,0,1,0
"New York bar",0,0,0,0,1,0
"northern point of mainland Guadeloupe",0,0,0,0,1,0
"the headline",0,0,0,0,1,0
"the time",0,0,0,0,1,0
"an improv theater company",0,0,0,0,1,0
"a local bar / nightclub",0,0,0,0,1,0
"a packed hall",0,0,0,0,1,0
"anatomy",0,0,0,0,1,0
"Benin",0,0,0,0,1,0
"a hobby",0,0,0,0,1,0
"our lack of data",0,0,0,0,1,0
"Downtown",0,0,0,0,1,0
"dD",0,0,0,0,1,0
"One example",0,0,0,0,1,0
"the problem",0,0,0,0,1,0
"a better job",0,0,0,0,1,0
"additional work",0,0,0,0,1,0
"the heartland of America",0,0,0,0,1,0
"about 1/2 cup",0,0,1,0,0,0
"much more",0,0,0,0,1,0
"95 ° F",0,0,0,0,1,0
"your home",0,0,0,0,1,0
"' lap '",0,0,0,0,1,0
"the language of preference",0,0,0,0,1,0
"the foraging arena",0,0,0,0,1,0
"future employment",0,0,0,0,1,0
"Clearwater , Florida",0,0,0,0,1,0
"an Oath to ALL of our people",0,0,0,0,1,0
"information about Scientology",0,0,0,0,1,0
"another example",0,0,0,0,1,0
"the paper",0,0,0,0,1,0
"The future",0,0,0,0,1,0
"your own made up language",0,0,0,0,1,0
"the exact path",0,0,0,0,1,0
"The glow",0,0,0,0,1,0
"good fortune",0,0,0,0,1,0
"the capital city of Greece",0,0,0,0,1,0
"contact",0,0,0,0,1,0
"An example",0,0,0,0,1,0
"Neiafu Harbour",0,0,0,0,1,0
"Scientology jargon",0,0,0,0,1,0
"a back room",0,0,0,0,1,0
"about a half gallon",1,0,0,0,0,0
"all her energy",0,0,0,0,1,0
"the temptation",0,0,0,0,1,0
"the name",0,0,0,0,1,0
"fort lee",0,0,0,0,1,0
"a central area",0,0,0,0,1,0
"Here",0,0,0,0,1,0
"S&M",0,0,0,0,1,0
"the background",0,0,0,0,1,0
"their appearance",0,0,0,0,1,0
"an excellent job of crowd control",0,0,0,0,1,0
"the adage",0,0,0,0,1,0
"enough iodine",0,0,0,0,1,0
"Beau Soleil",0,0,0,0,1,0
"your language",0,0,0,0,1,0
"When to go",0,0,0,0,1,0
"flavoring",0,0,0,0,1,0
"fruit",0,0,0,0,1,0
"' aviatio '",0,0,0,0,1,0
"about an inch",0,0,0,0,1,0
"the Latin Alphabet",0,0,0,0,1,0
"that ad",0,0,0,0,1,0
"the local creole",0,0,0,0,1,0
"Moriori culture",0,0,0,0,1,0
"Another variation",0,0,0,0,1,0
"any activity",0,0,0,0,1,0
"the nickname",0,0,0,0,1,0
"pitch",0,0,0,0,1,0
"a lot of recognition",0,0,0,0,1,0
"dancing",0,0,0,0,1,0
"the candy",0,0,0,0,1,0
"the word ' tea '",0,0,0,0,1,0
"Grammar",0,0,0,0,1,0
"the world",0,0,0,0,1,0
"other military alliance",0,0,0,0,1,0
"Name",0,0,0,0,1,0
"a decline",0,0,0,0,1,0
"a groove",0,0,0,0,1,0
"peroxide",0,0,0,0,1,0
"the Gothic Revival Cathedral Building",0,0,0,0,1,0
"a period of time",0,0,0,0,1,0
"the gallery",0,0,0,0,1,0
"your initial reluctance",0,0,0,0,1,0
"Henga Lodge",0,0,0,0,1,0
"Baie-Mahault",0,0,0,0,1,0
"minor damage",0,0,0,0,1,0
"the medicine",0,0,0,0,1,0
"Udvar-Hazy Center",0,0,0,0,1,0
"a good deal",0,0,0,0,1,0
"a new definition",0,0,0,0,1,0
"a certain vowel",0,0,0,0,1,0
"Method 2 of 2",0,0,0,0,1,0
"property damage",0,0,0,0,1,0
"color contamination",0,0,0,0,1,0
"iodine",0,0,0,0,1,0
"the theory",0,0,0,0,1,0
"larger amount",0,0,0,0,1,0
"the concept",0,0,0,0,1,0
"their enemy",0,0,0,0,1,0
"a good thing",0,0,0,0,1,0
"Santorum cocktail",0,0,0,0,1,0
"the "" Comeback City",0,0,0,0,1,0
"a lifetime of practice",0,0,0,0,1,0
"اصفهان",0,0,0,0,1,0
"the thing",0,0,0,0,1,0
"the rule of law",0,0,0,0,1,0
"a united Germany",0,0,0,0,1,0
"the phenomenon",0,0,0,0,1,0
"cocktail",0,0,0,0,1,0
"The problem",0,0,0,0,1,0
"The population",0,0,0,0,1,0
"your hotel",0,0,0,0,1,0
"the river",0,0,0,0,1,0
"a hub of radical culture",0,0,0,0,1,0
"memory",0,0,0,0,1,0
"milk",0,0,0,0,1,0
"one mile",1,0,0,0,0,0
"that group",0,0,0,0,1,0
"hydrogen peroxide",0,0,0,0,1,0
"The "" B.A. """,0,0,0,0,1,0
"200 km",0,0,1,0,0,0
"advanced web technology",0,0,0,0,1,0
"SETI @ home",0,0,0,0,1,0
"the corner of the elevator",0,0,0,0,1,0
"70 meter",0,0,1,0,0,0
"The ending of the joke",0,0,0,0,1,0
"all food",0,0,0,0,1,0
"conventional medical treatment",0,0,0,0,1,0
"nightlife",0,0,0,0,1,0
"the green",0,0,0,0,1,0
"a bit",0,0,0,0,1,0
"your point of view",0,0,0,0,1,0
"a good foundation here",0,0,0,0,1,0
"a bit of water",0,0,0,0,1,0
"population",0,0,0,0,1,0
"one flavor",0,0,0,0,1,0
"that time",0,0,0,0,1,0
"the group",0,0,0,0,1,0
"farm",0,0,0,0,1,0
"the whole way",0,0,0,0,1,0
"NJ",0,0,0,0,1,0
"an effective way",0,0,0,0,1,0
"Telegraph Avenue",0,0,0,0,1,0
"a theme",0,0,0,0,1,0
"their perfect little world",0,0,0,0,1,0
"the Internet",0,0,0,0,1,0
"the Nazi occupation",0,0,0,0,1,0
"the world of entertainment",0,0,0,0,1,0
"an interracial marriage",0,0,0,0,1,0
"a donation",0,0,0,0,1,0
"an unconvincing act",0,0,0,0,1,0
"ability",0,0,0,0,1,0
"value for money",0,0,0,0,1,0
"a target",0,0,0,0,1,0
"protein",0,0,0,0,1,0
"Staccato",0,0,0,0,1,0
"your audience",0,0,0,0,1,0
"climate change",0,0,0,0,1,0
"hard ice",0,0,0,0,1,0
"in the back of the paper",0,0,0,0,1,0
"A popular area",0,0,0,0,1,0
"The report",0,0,0,0,1,0
"40 metres",0,0,1,0,0,0
"the word",0,0,0,0,1,0
"vegetable oil",0,0,0,0,1,0
"labour",0,0,0,0,1,0
"our memory",0,0,0,0,1,0
"pureed fruit",0,0,0,0,1,0
"high traffic",0,0,0,0,1,0
"My Santorum",0,0,0,0,1,0
"IATA : PHX",0,0,0,0,1,0
"dominance",0,0,0,0,1,0
"S Buckeye",0,0,0,0,1,0
"one cup",0,0,1,0,0,0
"the beverage",0,0,0,0,1,0
