Entity,COR,INC,PAR,SPU,MIS,IGN
"7 one hour",0,0,0,1,0,0
"the moment",0,0,0,0,1,0
"22:30",1,0,0,0,0,0
"a good long time",0,0,0,0,1,0
"a certain amount of time",0,0,0,0,1,0
"earlier today",1,0,0,0,0,0
"the evening",1,0,0,0,0,0
"roughly 20 minutes",1,0,0,0,0,0
"the end of your planned return",0,0,0,0,1,0
"Night",0,0,1,0,0,0
"earlier or four hours",0,0,1,0,0,0
"one minute",0,0,0,1,0,0
"many hours",0,0,1,0,0,0
"Morning",0,0,0,1,0,0
"the future",0,0,0,0,1,0
"73 seconds",0,0,0,1,0,0
"a do-or-die moment",0,0,0,0,1,0
"forty eight meters",0,0,0,1,0,0
"morning",0,0,1,0,0,0
"about 5 minutes",1,0,0,0,0,0
"an additional 5 minutes",1,0,0,0,0,0
"5 minutes",1,0,0,0,0,0
"two hours",1,0,0,0,0,0
"Thursday afternoon",1,0,0,0,0,0
"gym hours",0,0,1,0,0,0
"at least one night",0,0,1,0,0,0
"in January",0,0,0,0,1,0
"the time",0,0,0,0,1,0
"the next 120 seconds",1,0,0,0,0,0
"fifteen minutes",0,0,0,1,0,0
"Sunday night March 4",0,0,1,0,0,0
"evening",1,0,0,0,0,0
"opening night",0,0,1,0,0,0
"Hours",0,0,0,1,0,0
"no longer than 30 seconds",0,0,1,0,0,0
"a couple of seconds",1,0,0,0,0,0
"their time",0,0,0,0,1,0
"two minute",0,0,1,0,0,0
"10 to 15 minutes",0,0,1,0,0,0
"nearly half an hour",1,0,0,0,0,0
"just over 24 hours ago",1,0,0,0,0,0
"24 hours",0,0,1,0,0,0
"ten minutes",1,0,0,0,0,0
"08:00 14:00",0,0,0,1,0,0
"the same 24 hour",0,0,0,1,0,0
"45 minutes",1,0,0,0,0,0
"the late afternoon",1,0,0,0,0,0
"the morning",1,0,0,0,0,0
"an hour later",0,0,1,0,0,0
"2 hours",1,0,0,0,0,0
"08:30 am 06:30",0,0,0,1,0,0
"the next 30 hours",1,0,0,0,0,0
"the afternoon",1,0,0,0,0,0
"at least 3 4 hours",0,0,1,0,0,0
"36 hours",0,0,1,0,0,0
"night",1,0,0,0,0,0
"a period of time",0,0,0,0,1,0
"20 minute",0,0,1,0,0,0
"the date of expected departure",0,0,0,0,1,0
"every five minutes",0,0,0,1,0,0
"10 seconds",1,0,0,0,0,0
"hours",1,0,0,0,0,0
"peak traffic hour",0,0,0,0,1,0
"tomorrow",0,0,0,0,1,0
"the rush hours",1,0,0,0,0,0
"one hour",0,1,0,0,0,0
"around 8 pm",1,0,0,0,0,0
"a bit",0,0,0,0,1,0
"half hour",0,0,0,1,0,0
"in June",0,0,0,0,1,0
"that time",0,0,0,0,1,0
"almost three hours",1,0,0,0,0,0
"30 seconds",1,0,0,0,0,0
"the whole way",0,0,0,0,1,0
"National Magic Month",0,0,0,0,1,0
"a few more minutes",0,0,0,1,0,0
"five hours",1,0,0,0,0,0
"less than a minute",0,0,1,0,0,0
"08:30 am 7 pm",0,0,0,1,0,0
"time",0,0,0,0,1,0
"24 hour",0,0,1,0,0,0
"9 am 03:00",0,0,0,1,0,0
"a couple of minutes",1,0,0,0,0,0
"afternoon",0,0,1,0,0,0
"every 15 minutes",1,0,0,0,0,0
"several minutes",1,0,0,0,0,0
"a night",0,0,0,0,1,0
"that",0,0,0,0,1,0
"less than two minutes",1,0,0,0,0,0
"overnight",0,0,1,0,0,0
"6:00am to midnight",0,0,1,0,0,0
"twenty four hours",0,0,1,0,0,0
"5 10 minutes",0,0,0,1,0,0
"the date",0,0,0,0,1,0
"they",0,0,0,0,1,0
"between 11 pm and 1 am",0,0,1,0,0,0
"very early life",0,0,0,0,1,0
"about 15 minutes",1,0,0,0,0,0
"a jiffy",0,0,0,0,1,0
"at least 15 30 minutes",0,0,0,1,0,0
"48 hours",0,1,0,0,0,0
"fall",0,0,0,0,1,0
"an hour",1,0,0,0,0,0
"mornings",0,0,1,0,0,0
"a few seconds",1,0,0,0,0,0
"25 Second",0,0,0,1,0,0
"A minute",0,0,1,0,0,0
"some 35 minutes",1,0,0,0,0,0
"20 to 25 minutes",0,0,1,0,0,0
"a few hours",0,0,1,0,0,0
"the opening night",1,0,0,0,0,0
"an ideal time",0,0,0,0,1,0
"four hours",1,0,0,0,0,0
*TOTAL*,39,2,27,18,54,0
