Entity,COR,INC,PAR,SPU,MIS,IGN
"Thialf",0,0,0,0,0,1
"Residence Inn",0,1,0,0,0,0
"the al Khair Mosque",0,0,0,0,0,1
"the International Tennis Center",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"the Rosenbaum House",0,0,0,0,0,1
"the Oval Office after12 days",0,0,0,0,0,1
"the WestSide Highway",0,0,0,0,0,1
"World Trade Center",0,0,0,0,0,1
"Mall",0,1,0,0,0,0
"theCanadian Museum of Civilization",0,0,0,0,0,1
"theCherating Cultural Complex",0,0,0,0,0,1
"The Legend Resort",0,1,0,0,0,0
"the White House Rose Garden this morning",0,0,0,0,0,1
"Capitol",0,1,0,0,0,0
"Club Med",0,1,0,0,0,0
"Jalan Gambus",0,1,0,0,0,0
"Wrigley Field",0,0,0,0,0,1
"theKrasnoye Sormovo shipyard",0,0,0,0,0,1
"Holiday Villa Cherating",0,1,0,0,0,0
"The Grand Concourse",0,0,0,0,0,1
"the North Pole",0,0,0,0,0,1
"theWashington Monument",0,0,0,0,0,1
"Rosenbaum House",0,0,0,0,0,1
"the newSwiss Garden",0,0,0,0,0,1
"79th Street",0,1,0,0,0,0
"Cotton MillBuilding",0,0,0,0,0,1
"St. Catherine Hall",0,0,0,0,0,1
"Camden Yards",0,0,0,0,0,1
"Vatican",0,1,0,0,0,0
"KualaLumpur . At Cherating",0,0,0,0,0,1
"Madison Avenue",0,0,0,0,0,1
"Romeexpressway",0,0,0,0,0,1
"GowanusExpressway",0,1,0,0,0,0
"the Kamukunji Grounds",0,0,0,0,0,1
"Houston Street",0,1,0,0,0,0
*TOTAL*,0,12,0,0,0,24
