Entity,COR,INC,PAR,SPU,MIS,IGN
"Arabs",0,0,0,0,0,1
"Germans",0,0,0,0,0,1
"Yugoslav",0,0,0,0,0,1
"Swiss",0,0,0,0,0,1
"KosovoAlbanians",0,0,0,0,0,1
"Nazi",0,1,0,0,0,0
"Belgian Toon Vandenhove",0,0,0,0,0,1
"inAfrica",0,0,0,0,0,1
"English",0,0,0,0,0,1
"Ojibwa",0,0,0,0,0,1
"Jews",0,0,0,0,0,1
"South African Robi Byrdand Kenyan Steve Riungu",0,0,0,0,0,1
"Colonial",0,0,0,0,0,1
"Somali Red Crescent",0,1,0,0,0,0
"Hutus",0,0,0,0,0,1
"Somali",0,0,0,0,0,1
"R Miss.",0,0,0,0,0,1
"Romantic",0,0,0,0,0,1
"anAlbanian",0,0,0,0,0,1
"Jewishcurrents",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"Siberian",0,0,0,0,0,1
"Jewish Catholic",0,0,0,0,0,1
"Indian",0,0,0,0,0,1
"Italian",0,0,0,0,0,1
"aWagnerian",0,0,0,0,0,1
"Swiss Thomas Gurtner",0,0,0,0,0,1
"Democrat",0,0,0,0,0,1
"Jewishgroups",0,0,0,0,0,1
"theAssyrians today",0,0,0,0,0,1
"theUsonian",0,0,0,0,0,1
"Western",0,0,0,0,0,1
"NativeAmerican",0,0,0,0,0,1
"theAmerican",0,0,0,0,0,1
"Irish",0,0,0,0,0,1
"African Americans",0,0,0,0,0,1
"communist",0,1,0,0,0,0
"American",0,0,0,0,0,1
"Christian",0,0,0,0,0,1
"Canadian Rick Todd",0,0,0,0,0,1
"Albanian",0,0,0,0,0,1
"Republican",0,0,0,0,0,1
"Americanmilitary",0,0,0,0,0,1
"Norwegian Ola Skuterud",0,0,0,0,0,1
"Russians",0,0,0,0,0,1
"Africans",0,0,0,0,0,1
"Swiss Patrick Berner",0,0,0,0,0,1
"Argentine Ricardo Gonzalez",0,0,0,0,0,1
"Klansmen",0,0,0,0,0,1
"Asian",0,0,0,0,0,1
"NoJapanese",0,0,0,0,0,1
"Parisian",0,0,0,0,0,1
"Israelites",0,0,0,0,0,1
"Nazis",0,1,0,0,0,0
"Northern",0,0,0,0,0,1
"Indonesian",0,0,0,0,0,1
"Democratic",0,0,0,0,0,1
"Nordic",0,0,0,0,0,1
"a Native American",0,0,0,0,0,1
"Tutsis",0,0,0,0,0,1
"hopeJewish",0,0,0,0,0,1
"Celtic",0,0,0,0,0,1
"Cajun",0,0,0,0,0,1
"hostileAlbanian",0,0,0,0,0,1
"Croats",0,0,0,0,0,1
"Kenyan",0,0,0,0,0,1
"Albanians",0,0,0,0,0,1
"Semites",0,0,0,0,0,1
"French",0,0,0,0,0,1
"Canadian",0,0,0,0,0,1
"Thai",0,0,0,0,0,1
"Jewish",0,0,0,0,0,1
"Catholic",0,0,0,0,0,1
"German Reichsbank",0,1,0,0,0,0
"Danish",0,0,0,0,0,1
"German",0,0,0,0,0,1
"Japanese",0,0,0,0,0,1
"European Jews",0,0,0,0,0,1
"Americans CALCUTTA , India AP",0,0,0,0,0,1
"Serb inKosovo",0,0,0,0,0,1
"Indians",0,0,0,0,0,1
"African",0,0,0,0,0,1
"Yoruba",0,0,0,0,0,1
"Welshman Mark Litton",0,0,0,0,0,1
"Somalis",0,0,0,0,0,1
"Swiss Federal ProsecutorCarla del Ponte",0,0,0,0,0,1
"South African",0,0,0,0,0,1
"Serbian",0,0,0,0,0,1
"AustrianPresident Kurt Waldheim",0,0,0,0,0,1
"Negro",0,0,0,0,0,1
"Serbultranationalist",0,0,0,0,0,1
"Russian",0,1,0,0,0,0
"Americans",0,0,0,0,0,1
"Polish Solidarity",0,0,0,0,0,1
"M.",0,0,0,0,0,1
"Nigerian",0,0,0,0,0,1
"Greek",0,0,0,0,0,1
"Hebrew",0,0,0,0,0,1
"European",0,0,0,0,0,1
"Serbs",0,0,0,0,0,1
"Kenyan Jacob Okello",0,0,0,0,0,1
"Sumerians",0,0,0,0,0,1
"Christians",0,0,0,0,0,1
"Soviet",0,0,0,0,0,1
"South Korean",0,0,0,0,0,1
"African Caribbeanreligious",0,0,0,0,0,1
"Mesopotamian",0,0,0,0,0,1
"theAlbanians",0,0,0,0,0,1
"Protestant",0,0,0,0,0,1
"Serb",0,0,0,0,0,1
"Creole",0,0,0,0,0,1
"S.",0,0,0,0,0,1
"Wilsonian",0,0,0,0,0,1
"isDanish",0,0,0,0,0,1
"Dutch",0,0,0,0,0,1
"Somali Ibrahim Ahmad",0,0,0,0,0,1
"Communists",0,1,0,0,0,0
"toCeltic",0,0,0,0,0,1
"Chinese",0,0,0,0,0,1
"Mormon",0,0,0,0,0,1
"Conradian",0,0,0,0,0,1
"anEnglish",0,0,0,0,0,1
"Babylonians",0,0,0,0,0,1
*TOTAL*,0,8,0,0,0,115
