Entity,COR,INC,PAR,SPU,MIS,IGN
"Manpower Inc.",1,0,0,0,0,0
"the Universityof Maryland",0,0,1,0,0,0
"bythe Supreme Court",0,0,1,0,0,0
"the Smithsonian Collection of Recordingscould",0,0,1,0,0,0
"IsuzuMotors Ltd.",1,0,0,0,0,0
"the Kuantan Municipal Council",0,0,1,0,0,0
"Co.",0,0,1,0,0,0
"MIT",1,0,0,0,0,0
"ofKazakstan",0,0,0,1,0,0
"Heineken USA Inc.",1,0,0,0,0,0
"Noble",0,0,1,0,0,0
"Wellswould",0,0,1,0,0,0
"Moody's",0,0,0,0,1,0
"the Paramount Motion Picture Group",0,0,1,0,0,0
"NORSI",1,0,0,0,0,0
"Second Army Batallion",0,0,0,0,1,0
"Senate",1,0,0,0,0,0
"Yablocko Party",1,0,0,0,0,0
"ofFrank Assumma",0,0,0,1,0,0
"NBC",1,0,0,0,0,0
"Partners ofNew York",0,0,1,0,0,0
"APW19980424 . 0895 NEWS STORY 04/24/1998 11:55:00 Workers",0,0,1,0,0,0
"the Communist Party",0,0,1,0,0,0
"Standard&AMP; Poor's DRI",0,0,0,0,1,0
"the South Koreangovernment",0,0,0,1,0,0
"YevgenyKafelnikov",0,1,0,0,0,0
"the Cyberspace Law Institute",0,0,1,0,0,0
"Abasis",0,0,0,1,0,0
"HOUSE",0,0,0,0,1,0
"Januaryto",0,0,0,1,0,0
"Qradio",1,0,0,0,0,0
"Associates",0,0,1,0,0,0
"Moody 's",0,0,0,1,0,0
"Georgia Pacific Corp.",0,0,0,1,0,0
"U.N.",0,0,0,0,1,0
"Utah Fuel Co. Duringan",0,0,1,0,0,0
"Plastika",1,0,0,0,0,0
"theTankan",0,0,0,1,0,0
"McGlashan AMP",0,0,0,1,0,0
"Talese / Doubleday",0,0,1,0,0,0
"the Royal Calcutta Golf Club",0,0,1,0,0,0
"aGrammy next year",0,0,0,1,0,0
"TBWA Chiat/Day",0,0,0,0,1,0
"Addis Wechsler AMP",0,0,0,1,0,0
"Athletics",1,0,0,0,0,0
"Institute of Urban Studies",0,0,0,0,1,0
"the House Transportation Committee",0,0,1,0,0,0
"Philip Morris Cos .",0,0,0,1,0,0
"BBDOSouth",1,0,0,0,0,0
"Wellsclosed",0,0,1,0,0,0
"Blantyre High Court",1,0,0,0,0,0
"Donaldson , Lufkin AMP;Jenrette",0,0,0,1,0,0
"Goldman , Sachs AMP ; Co.",0,0,0,1,0,0
"VolkswagenAG",1,0,0,0,0,0
"TargetCenter",0,0,0,0,1,0
"Corriere della Sera",0,0,0,0,1,0
"Microsoft",0,0,0,0,1,0
"the Young Communist League",0,0,1,0,0,0
"Holiday Villa Cherating",0,0,0,0,1,0
"Moody 's Investors Service",0,0,0,1,0,0
"Treasury",1,0,0,0,0,0
"Plastikafactory",0,0,1,0,0,0
"20th CenturyFox",1,0,0,0,0,0
"the League of AmericanProducers and Theater Owners",0,0,1,0,0,0
"International Monetary Fund",0,0,0,0,1,0
"the LittleRock Media Consortium",0,0,1,0,0,0
"Yankee",1,0,0,0,0,0
"Open Text",1,0,0,0,0,0
"theU. S. Federal Reserve",0,0,1,0,0,0
"the Museum of Canadian Civilization",0,0,1,0,0,0
"Broadway'smusicians",0,0,0,1,0,0
"theSwiss National Bank",0,0,1,0,0,0
"theFilm Forum",0,0,1,0,0,0
"University of Utah",1,0,0,0,0,0
"the Supreme Court",0,0,1,0,0,0
"New Line Cinema",1,0,0,0,0,0
"the Economic Planning Agency",0,0,1,0,0,0
"the MassachusettsInstitute of Technology",0,0,1,0,0,0
"the British Museum",0,0,1,0,0,0
"The Labor Department",0,0,1,0,0,0
"Hertz",1,0,0,0,0,0
"Wells, Rich, Greene",0,0,0,0,1,0
"ofWembley Industries Holdings Bhd",0,0,1,0,0,0
"Legacy",1,0,0,0,0,0
"Duff AMP",0,0,0,1,0,0
"the Sony Corporation",0,0,1,0,0,0
"Doe's Eat Place",0,0,0,0,1,0
"Smithsonian Press/Smithsonian Productions",0,0,0,0,1,0
"New Beetle",0,0,0,1,0,0
"the Dewan Rakyat",0,0,1,0,0,0
"the National Federation of Independent Business",0,0,1,0,0,0
"Phelps",0,0,1,0,0,0
"Excitetend",0,0,1,0,0,0
"Bistro",1,0,0,0,0,0
"Seton HallUniversity",1,0,0,0,0,0
"Idealab",1,0,0,0,0,0
"GeneralAssembly",0,0,0,0,1,0
"Malacca 40",0,0,0,1,0,0
"Alabama'sUnforgettable",0,0,0,1,0,0
"the rulingCommunist Party",0,0,1,0,0,0
"Broadway Video Inc.",1,0,0,0,0,0
"the United Statesto",0,0,0,1,0,0
"Knicks",0,0,0,0,1,0
"National Governors' Association",0,0,0,0,1,0
"theNational Association of Home Builders",0,0,1,0,0,0
"ChaseManhattan Corp.",1,0,0,0,0,0
"Red Brigades",0,0,0,0,1,0
"Omnicomagency",0,0,1,0,0,0
"Ford",1,0,0,0,0,0
"the Convention andVisitors Bureau",0,0,1,0,0,0
"Red Cross",1,0,0,0,0,0
"La Scala",0,0,0,0,1,0
"SenateJudiciary Committee",0,0,1,0,0,0
"the Robert Wood Johnson Medical School in NewBrunswick , N. J.",0,0,1,0,0,0
"Home Box Office",0,0,0,0,1,0
"the Calspan University of BuffaloResearch Center",0,0,1,0,0,0
"GGT Group PLC",1,0,0,0,0,0
"Ford'sgroup",0,0,1,0,0,0
"Hyperion",1,0,0,0,0,0
"Standard AMP",0,0,0,1,0,0
"the World Jewish Congress",0,0,1,0,0,0
"Red Brigade",0,0,0,0,1,0
"ofSmithsonian Press / Smithsonian Productions",0,0,1,0,0,0
"United Engineers Malaysia",1,0,0,0,0,0
"the Big Board",0,0,1,0,0,0
"Suzuki Motor Corp.",1,0,0,0,0,0
"TREASURY",0,0,0,0,1,0
"the Labor Department",0,0,1,0,0,0
"U. News AMP",0,0,0,1,0,0
"State University at Buffalo, N.Y.",0,0,0,0,1,0
"AUDIONET",0,0,0,0,1,0
"Wells BDDP",1,0,0,0,0,0
"THE BUCK STOPS LITTLE ROCK",0,0,1,0,0,0
"House",1,0,0,0,0,0
"The Associated Press",0,0,0,0,1,0
"Muthaiga Golf Club",1,0,0,0,0,0
"the Culinary Institute ofAmerica",0,0,1,0,0,0
"the National Trust forHistoric Preservation",0,0,1,0,0,0
"Clinton",0,1,0,0,0,0
"Volkswagen",0,0,0,0,1,0
"Imagine Radio",0,0,0,1,0,0
"Louvre",0,0,0,0,1,0
"The British Museum",0,0,1,0,0,0
"Residence Inn",0,0,0,0,1,0
"Dow Jones",0,0,0,0,1,0
"the White Housewhen",0,0,1,0,0,0
"the University ofWashington",0,0,1,0,0,0
"Court",0,0,1,0,0,0
"Romeo &AMP; Juliet Productions Inc.",0,0,0,0,1,0
"J. P. Morgan Securities Inc.",0,0,0,1,0,0
"the Labor Department 's",0,0,1,0,0,0
"the Bureau of LaborStatistics",0,0,1,0,0,0
"Smithsonian Books",1,0,0,0,0,0
"Housing and Local Government Peter Chin FahKui",0,0,1,0,0,0
"theYankees",0,0,1,0,0,0
"theSmithsonian",0,0,1,0,0,0
"Goto . com",0,0,0,1,0,0
"Los AngelesClippers",0,0,0,0,1,0
"atCowen AMP ; Co.",0,0,0,1,0,0
"Excite",1,0,0,0,0,0
"theState University",0,0,0,1,0,0
"Georgia-Pacific",0,0,0,0,1,0
"KPMG PeatMarwick",1,0,0,0,0,0
"Folkways",1,0,0,0,0,0
"Malaysia Airlines",1,0,0,0,0,0
"Whitewater",0,0,0,1,0,0
"theNational Bank",0,0,1,0,0,0
"Government",0,0,1,0,0,0
"The Legend",1,0,0,0,0,0
"P&AMP;G",0,0,0,0,1,0
"Nikkei",0,0,0,0,1,0
"Commission for Relations with Judaism",0,0,0,0,1,0
"the SwissNational Bank",0,0,1,0,0,0
"Procter AMP;Gamble Co.",0,0,0,1,0,0
"Ford Motor Co.",1,0,0,0,0,0
"Housepassed",0,0,1,0,0,0
"St. Louis University",1,0,0,0,0,0
"Gamble",0,0,1,0,0,0
"the Berkeley Center for Law and Technology",0,0,1,0,0,0
"American University",1,0,0,0,0,0
"Tag Heuer USA",1,0,0,0,0,0
"Asianimports",0,0,0,1,0,0
"Goto",0,0,1,0,0,0
"DDB Needham U. S.",0,0,1,0,0,0
"the Swiss Bank Corp.",0,0,1,0,0,0
"LVMH Louis VuittonMoet Hennesy",0,0,1,0,0,0
"UNITED NATIONS",0,0,0,0,1,0
"Clintonmade",0,0,0,1,0,0
"Congress",1,0,0,0,0,0
"Albanianboy",0,0,0,1,0,0
"Opposition",0,0,0,0,1,0
"UnitedNations",0,0,0,0,1,0
"Goldman",0,1,0,0,0,0
"0894 NEWS STORY 04/24/1998 11:55:00 MALAYSIA COPYRIGHT 1998 BY WORLDSOURCES , INC . , A JOINT VENTURE OF FDCH , INC . AND WORLD TIMES , INC . NO PORTION OF THE MATERIALS CONTAINEDHEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES , INC",0,0,0,1,0,0
"J. Walter ThompsonNew York",1,0,0,0,0,0
"The Chrysler Corp.",0,0,1,0,0,0
"Werner Herzog Filmproduktion",0,0,0,0,1,0
"Angels",0,0,0,0,1,0
"CBS StudioCenter",0,0,0,0,1,0
"Kaplan Thaler Group",1,0,0,0,0,0
"PresspassStadium",0,0,0,1,0,0
"TV Books",1,0,0,0,0,0
"Porsche AG",1,0,0,0,0,0
"NBCalone",0,0,1,0,0,0
"Fannie Mae",1,0,0,0,0,0
"Smithsonian Collectionof Recordings",0,0,0,0,1,0
"likeFord Motor Co.",0,0,1,0,0,0
"U.N. Security Council",0,0,0,0,1,0
"Merrill Lynch 's",0,0,1,0,0,0
"20th Century Fox",1,0,0,0,0,0
"Nazi Germanyin",0,0,1,0,0,0
"BDDP",1,0,0,0,0,0
"Ulster Unionist Party",0,0,0,0,1,0
"Saturday Night Live . '' TV Books",0,0,1,0,0,0
"Alka-Seltzer",0,0,0,0,1,0
"MOODY'S",0,0,0,0,1,0
"GBQC",1,0,0,0,0,0
"FDCH,INC.",0,0,0,0,1,0
"New York Medical Center",1,0,0,0,0,0
"the United Nations",0,0,1,0,0,0
"ThePrice Sun",0,0,0,0,1,0
"Benson &AMP; Hedges",0,0,0,0,1,0
"Davissaid",0,0,0,1,0,0
"BMW",1,0,0,0,0,0
"thatJapan",0,0,0,1,0,0
"NPR",1,0,0,0,0,0
"Universities",0,0,0,1,0,0
"Barnett Capital Advisors Inc.",1,0,0,0,0,0
"Credit Suisse First Boston",1,0,0,0,0,0
"the Center for Transportation Injury Research . Thecenter",0,0,1,0,0,0
"TheSun Advocate",1,0,0,0,0,0
"WORLD TIMES, INC.",0,0,0,0,1,0
"Eastern Conference",0,0,0,0,1,0
"WPP Group",1,0,0,0,0,0
"NYT19980403",0,0,0,1,0,0
"Pfizer",1,0,0,0,0,0
"LindaTripp",0,1,0,0,0,0
"public radio",0,0,0,0,1,0
"The DailyStar",0,0,0,0,1,0
"McDonald's",0,0,0,0,1,0
"FinanceMinistry",1,0,0,0,0,0
"Clairol HerbalEssences",0,0,1,0,0,0
"aChina",0,0,0,1,0,0
"the World JewishCongress",0,0,1,0,0,0
"APW19980424 . 0868 NEWS STORY 04/24/1998 11:40:00 MALAYSIA COPYRIGHT 1998 BY WORLDSOURCES , INC . , A JOINT VENTURE OF FDCH , INC . AND WORLD TIMES , INC . NO PORTION OF THE MATERIALS CONTAINEDHEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES , INC",0,0,1,0,0,0
"Usonian,''Cambridge University",0,0,1,0,0,0
"On TV",0,0,0,1,0,0
"the Boston University School of Medicine",0,0,1,0,0,0
"MOSCOW AP",0,0,1,0,0,0
"the TokyoElectric Power Company",0,0,1,0,0,0
"Federal Loan Home Mortgage Corp.",1,0,0,0,0,0
"Garantia",1,0,0,0,0,0
"KWAN WINS SHORT PROGRAM AT SKATING CHAMPIONSHIP MINNEAPOLIS",0,0,1,0,0,0
"lower house",0,0,0,0,1,0
"the National Housing Corporation",0,0,1,0,0,0
"the Swiss National Bank",0,0,1,0,0,0
"the Metropolitan Museum of Art",0,0,1,0,0,0
"Mergess",0,1,0,0,0,0
"the U. S.",0,0,0,1,0,0
"APW19980424 . 0879 NEWS STORY 04/24/1998 11:46:00 Russia",0,0,1,0,0,0
"Florence (Ala.) TimesDaily",0,0,0,0,1,0
"Doe 's Eat Place",0,0,0,1,0,0
"Things That Think",0,0,0,0,1,0
"The N.Y. Times News Service",0,0,0,0,1,0
"Liberty Mutual Insurance Co.",1,0,0,0,0,0
"Plan",0,0,1,0,0,0
"PBS",0,0,0,0,1,0
"the Seventh Plan",0,0,0,1,0,0
"Selangor Waterworks Department",0,0,0,0,1,0
"the Eisenhower Medical Center",0,0,1,0,0,0
"the Bastille Opera",0,0,1,0,0,0
"MerrillLynch AMP",0,0,1,0,0,0
"The Irishin America",0,0,0,1,0,0
"the American Federation of Musicians",0,0,1,0,0,0
"Heretired",0,0,0,1,0,0
"Vita",0,0,0,0,1,0
"Fordham",1,0,0,0,0,0
"Freddie Mac",1,0,0,0,0,0
"onEast Coast",0,0,0,1,0,0
"theUniversity of Chicago Law Review",0,0,1,0,0,0
"communists",0,0,0,0,1,0
"the State TechnicalCommittee on Water",0,0,1,0,0,0
"GGT",1,0,0,0,0,0
"Audi AG",0,0,0,0,1,0
"News Corp.",1,0,0,0,0,0
"Paribas Capital Markets Ltd. Moody 's",0,0,1,0,0,0
"the National Museum of theAmerican Indian",0,0,1,0,0,0
"Toys R ' ' Us",0,0,0,1,0,0
"toCongress",0,0,1,0,0,0
"the Smithsonian Institution",0,0,1,0,0,0
"Donaldson, Lufkin &AMP;Jenrette",0,0,0,0,1,0
"Center forInternet and Society",0,0,0,0,1,0
"General MotorsCorp",0,0,1,0,0,0
"TBWA Chiat / Day",0,0,0,1,0,0
"the Metropolitan Opera first",0,0,1,0,0,0
"Wagram dance hall",0,0,0,0,1,0
"theTransportation Committee",0,0,1,0,0,0
"nationals",0,0,0,0,1,0
"business school",0,0,0,0,1,0
"theAmericas",0,0,0,1,0,0
"National Water Council",0,0,0,0,1,0
"Georgia Pacific",0,0,0,1,0,0
"Clippers",0,0,0,0,1,0
"the State Waterworks Department",0,0,1,0,0,0
"OnFriday",0,0,0,1,0,0
"Smithsonian Press / Smithsonian Productions",0,0,1,0,0,0
"theAmerican",0,0,1,0,0,0
"Finance",0,0,0,0,1,0
"forGeorgia Pacific",0,0,0,1,0,0
"ITAR Tass",0,0,0,1,0,0
"Salomon Smith Barney",1,0,0,0,0,0
"News in theFuture",0,0,0,0,1,0
"GM",1,0,0,0,0,0
"American Stock Exchanges",1,0,0,0,0,0
"Merrill",1,0,0,0,0,0
"Microsoft Corp.",1,0,0,0,0,0
"the University of Miami",0,0,1,0,0,0
"America Online",1,0,0,0,0,0
"theNew York",0,0,1,0,0,0
"Wells , Rich , Greene",0,0,1,0,0,0
"Chieftains",1,0,0,0,0,0
"TVcompany",0,0,0,1,0,0
"<b_enamex type=""ORGANIZATION""",0,0,0,0,1,0
"the Electronic Frontier Foundation",0,0,1,0,0,0
"byDemocratic",0,0,0,1,0,0
"Post",0,1,0,0,0,0
"whenMontreal",0,0,0,1,0,0
"Daily Times",0,0,0,0,1,0
"Bayona",1,0,0,0,0,0
"WELLS BDDP WILL CLOSE NEW YORK",0,0,1,0,0,0
"the University ofMiami",0,0,1,0,0,0
"BBDO Worldwide",1,0,0,0,0,0
"Heritage Development",0,0,1,0,0,0
"Kelab Golf DarulRidzuan",0,0,0,0,1,0
"Mutual",1,0,0,0,0,0
"a unanimousSupreme Court",0,0,1,0,0,0
"Treasuries",0,0,0,0,1,0
"Parliament",1,0,0,0,0,0
"Nets",0,0,0,0,1,0
"Poor 's",0,0,0,1,0,0
"atMerrill Lynch",0,0,1,0,0,0
"Daimler Benz AG 's Mercedes",0,0,0,1,0,0
"Krasnoyarski Krai",0,0,0,0,1,0
"Infoseek",1,0,0,0,0,0
"Yale",1,0,0,0,0,0
"Kaufman",0,1,0,0,0,0
"Moss/Dragoti",0,0,0,0,1,0
"Excelsior",1,0,0,0,0,0
"Procter AMP",0,0,0,1,0,0
"Swiss National Bank",1,0,0,0,0,0
"Pepsico",1,0,0,0,0,0
"likeAngel Soft",0,0,0,1,0,0
"Philip Morris Cos.",0,0,0,0,1,0
"HistoryChannel",1,0,0,0,0,0
"FilmForum",0,0,0,0,1,0
"the State University at Buffalo'slittle",0,0,1,0,0,0
"the National League",0,0,1,0,0,0
"Walt DisneyCo . STORY CAN END HERE . OPTIONAL MATERIAL",0,0,1,0,0,0
"Forestry",0,0,0,0,1,0
"Frank LloydWright Rosenbaum House Foundation",1,0,0,0,0,0
"the GorkyInstitute of Water Transport Engineering",0,0,1,0,0,0
"A&AMP;E",0,0,0,0,1,0
"Forestry Commission",0,0,0,0,1,0
"MAS Catering",0,0,0,0,1,0
"Sun Metal Works Sdn Bhd",1,0,0,0,0,0
"Barnes AMP",0,0,0,1,0,0
"El Nino",0,0,0,1,0,0
"saidAudio Net 's",0,0,1,0,0,0
"forDDB Needham",0,0,1,0,0,0
"a shift,''Wendy Beale Needham",0,0,0,1,0,0
"Open TextCorp",0,0,1,0,0,0
"General Motors",1,0,0,0,0,0
"HarperCollins",1,0,0,0,0,0
"communist",0,0,0,0,1,0
"TheLegend",1,0,0,0,0,0
"Radio Lagos",0,0,0,0,1,0
"fd APW19980314 . 0435 NEWS STORY 03/14/1998 11:07:00 Underground",0,0,1,0,0,0
"EU",1,0,0,0,0,0
"Success",0,0,0,1,0,0
"Knick",0,0,0,0,1,0
"Kramerbooks",1,0,0,0,0,0
"1199",0,0,0,0,1,0
"Hertz Corp.",1,0,0,0,0,0
"the National Museum of African Art",0,0,1,0,0,0
"Radisson Hotel",1,0,0,0,0,0
"BrookingsInstitution",1,0,0,0,0,0
"TVBooks",0,0,0,0,1,0
"the Institute of Jazz Studies",0,0,1,0,0,0
"Lycos",1,0,0,0,0,0
"Merrill Lynch",1,0,0,0,0,0
"NationalConvention Assembly",0,0,0,0,1,0
"National Public Radio",1,0,0,0,0,0
"the 7th U. S. Circuit Court of Appeals",0,0,0,1,0,0
"Herintimate",0,0,0,1,0,0
"Georgia-Pacific Corp.",0,0,0,0,1,0
"the Union Bank ofSwitzerland",0,0,1,0,0,0
"Credit Suisse",1,0,0,0,0,0
"National Center for Earthquake Engineering Research",1,0,0,0,0,0
"ITAR-Tass",0,0,0,0,1,0
"FBI",0,0,0,0,1,0
"ofBayer",0,0,1,0,0,0
"Temple University Law School",1,0,0,0,0,0
"Wren",0,1,0,0,0,0
"Nadler",0,1,0,0,0,0
"The Indian Museumwas",0,0,1,0,0,0
"RutgersUniversity",1,0,0,0,0,0
"Commission ofFine Arts",0,0,1,0,0,0
"NationalCenter",0,0,1,0,0,0
"WGBH",1,0,0,0,0,0
"Anaheim",0,1,0,0,0,0
"United Artists",1,0,0,0,0,0
"Safeway Stores",1,0,0,0,0,0
"Volvosales",0,0,1,0,0,0
"Merrill Lynch AMP ; Co.",0,0,1,0,0,0
"Lebanese Resistance Brigades",0,0,0,0,1,0
"the White House",0,0,1,0,0,0
"General Electric Co. Combined",0,0,1,0,0,0
"Harvard",1,0,0,0,0,0
"inLos Angeles _ America Online",0,0,1,0,0,0
"Imagine Media",1,0,0,0,0,0
"CNN Washington",0,0,1,0,0,0
"Media Lab",0,0,0,0,1,0
"Standard &AMP; Poor's",0,0,0,0,1,0
"McDonald 's",0,0,0,1,0,0
"Commonwealth",0,0,0,0,1,0
"the Council of Economic Advisers",0,0,1,0,0,0
"Club Med",0,0,0,0,1,0
"Promise Keepers",0,0,0,0,1,0
"the China Democratic Justice Partystopped",0,0,1,0,0,0
"TREASURIES",0,0,0,0,1,0
"MGM",1,0,0,0,0,0
"Moody 's InvestorsService",0,0,0,1,0,0
"Registrar of Companies",0,0,0,0,1,0
"Walt Disney Co.",1,0,0,0,0,0
"Folkways Recordings",1,0,0,0,0,0
"0887 NEWS STORY 04/24/1998 11:52:00 MALAYSIA COPYRIGHT 1998 BY WORLDSOURCES , INC . , A JOINT VENTURE OF FDCH , INC . AND WORLD TIMES , INC . NO PORTION OF THE MATERIALS CONTAINEDHEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES , INC",0,0,0,1,0,0
"Berkeley",1,0,0,0,0,0
"Utah State UniversityPress",1,0,0,0,0,0
"Vatican",1,0,0,0,0,0
"Impiana",1,0,0,0,0,0
"MichaelFroomkin",0,1,0,0,0,0
"Moss / Dragoti",0,0,0,1,0,0
"the Supreme Courtruling",0,0,1,0,0,0
"foundBerkeley",0,0,1,0,0,0
"Nizhny Novgorod 's",0,0,0,1,0,0
"Bristol MyersSquibb",0,0,0,1,0,0
"Hezbollah",1,0,0,0,0,0
"Indian Wells",0,1,0,0,0,0
"Yaleis",0,0,1,0,0,0
"TVA",1,0,0,0,0,0
"Meru Valley Golf Club",0,0,0,0,1,0
"Central Organization of Industrial Employees",0,0,0,0,1,0
"Spice Inc.",1,0,0,0,0,0
"Toys ``R'' Us",0,0,0,0,1,0
"Expos",0,0,0,0,1,0
"U. S. District Court",0,0,0,1,0,0
"Yale Law School",1,0,0,0,0,0
"Cubs",1,0,0,0,0,0
"Smithsonian Institution",1,0,0,0,0,0
"TheWashington Post",1,0,0,0,0,0
"the Metropolitan Opera",0,0,1,0,0,0
"The Legend Resort",0,0,0,0,1,0
"KonsortiumPerkapalan",1,0,0,0,0,0
"J.P. Morgan Securities Inc.",0,0,0,0,1,0
"SinnFein",0,0,0,0,1,0
"GOP",0,0,0,0,1,0
"Sparkle",0,0,0,1,0,0
"the Association of Stock Exchange",0,0,0,1,0,0
"Yahoo",1,0,0,0,0,0
"Cabinet",0,0,0,1,0,0
"the 8th Circuit",0,0,1,0,0,0
"Our Home IsRussia",1,0,0,0,0,0
"Bread and Roses",0,0,0,1,0,0
"0492 NEWS STORY 04/03/1998 22:13:00 RAIN DELAYS FIRST DAY OF DAVIS CUP MATCHES STONE MOUNTAIN",0,0,0,1,0,0
"IMF",0,0,0,0,1,0
"upper house",0,0,0,0,1,0
"Wells",1,0,0,0,0,0
"WHYY inPhiladelphia",0,0,1,0,0,0
"The World Jewish Congress",0,0,1,0,0,0
"Officials",0,0,0,1,0,0
"Moody's InvestorsService",0,0,0,0,1,0
"Publishers Weekly",1,0,0,0,0,0
"Litton",0,1,0,0,0,0
"the Smithsonian Institution Press",0,0,1,0,0,0
"Renong",1,0,0,0,0,0
"Klan",1,0,0,0,0,0
"Jaguar",1,0,0,0,0,0
