Entity,COR,INC,PAR,SPU,MIS,IGN
"Copenhagen",1,0,0,0,0,0
"Rockies",1,0,0,0,0,0
"Warsaw",1,0,0,0,0,0
"French Quarter",1,0,0,0,0,0
"theRepublic of Congo",0,0,1,0,0,0
"Israel",1,0,0,0,0,0
"Arabianpeninsula",0,0,0,1,0,0
"Arlington",1,0,0,0,0,0
"Dupont Circle",1,0,0,0,0,0
"PRICE",0,0,0,0,1,0
"Italy ROME AP",0,0,1,0,0,0
"Guyana",1,0,0,0,0,0
"Mall",1,0,0,0,0,0
"Paris",1,0,0,0,0,0
"Baltimore",1,0,0,0,0,0
"Jerusalem",0,0,0,0,1,0
"West Coast",0,0,0,1,0,0
"Nabatiyeh",1,0,0,0,0,0
"LOS ANGELES",1,0,0,0,0,0
"Silicon Valley",1,0,0,0,0,0
"Lake Michigan",1,0,0,0,0,0
"BELFAST",0,0,0,0,1,0
"inKuala Kemaman",0,0,1,0,0,0
"Caspian Sea",1,0,0,0,0,0
"NewBrunswick",1,0,0,0,0,0
"Plastika",0,1,0,0,0,0
"Somalia",1,0,0,0,0,0
"Pulau Ular",0,0,0,0,1,0
"Holmenkollen",1,0,0,0,0,0
"TheNorthern Ireland",0,0,1,0,0,0
"Yugoslavia",1,0,0,0,0,0
"Reston",1,0,0,0,0,0
"Ottawa",1,0,0,0,0,0
"Calif. McCarthy",0,0,1,0,0,0
"Belle Plaine",1,0,0,0,0,0
"Plains",0,0,0,1,0,0
"Middle Atlantic",0,0,1,0,0,0
"Koermend",1,0,0,0,0,0
"Georgia Pacific",0,0,1,0,0,0
"inNairobi",0,0,1,0,0,0
"Cherating River",1,0,0,0,0,0
"Santa Clara",1,0,0,0,0,0
"Canada",1,0,0,0,0,0
"Terengganuthat",0,0,1,0,0,0
"Price",1,0,0,0,0,0
"Cuba",1,0,0,0,0,0
"Jonestown",1,0,0,0,0,0
"Wrigley Field",0,0,0,1,0,0
"Manhattan",1,0,0,0,0,0
"Marlboro",1,0,0,0,0,0
"theWashington Monument",0,0,1,0,0,0
"Ronald Reagan WashingtonInternational Airport",1,0,0,0,0,0
"N.D.",0,0,0,0,1,0
"Lincoln Bedroom",0,0,0,1,0,0
