Entity,COR,INC,PAR,SPU,MIS,IGN
"DICAPRIO",0,1,0,0,0,0
"Chicago",0,1,0,0,0,0
"University of Maryland",1,0,0,0,0,0
"Goldman , Sachs AMP",0,0,0,1,0,0
"Titanic",0,0,0,1,0,0
"Red Brigades",1,0,0,0,0,0
"Selangor Malay Chamber of Commerceand Industry",1,0,0,0,0,0
"TokyoElectric Power Company Moody 's",0,0,1,0,0,0
"JEWS",0,0,0,1,0,0
"MIT",1,0,0,0,0,0
"Paribas Capital Markets Ltd Moody 's",0,0,0,1,0,0
"China Democratic Justice Partystopped",0,0,1,0,0,0
"Seremban",0,1,0,0,0,0
"Noble",0,0,1,0,0,0
"Wellswould",0,0,1,0,0,0
"Moody's",0,0,0,0,1,0
"Red Brigade",1,0,0,0,0,0
"Senate",1,0,0,0,0,0
"Yablocko Party",1,0,0,0,0,0
"RoseGarden",0,0,0,1,0,0
"NBC",1,0,0,0,0,0
"Cardinal",0,1,0,0,0,0
"Federal National Mortgage Association",1,0,0,0,0,0
"Kuala Pilah",0,1,0,0,0,0
"Castle Rock Entertainment",1,0,0,0,0,0
"IsuzuMotors Ltd",0,0,1,0,0,0
"LOS ANGELES",0,1,0,0,0,0
"The Associated Press",1,0,0,0,0,0
"and",0,0,1,0,0,0
"Qradio",1,0,0,0,0,0
"Cinemax ReelLife",0,0,1,0,0,0
"Moody 's",0,0,0,1,0,0
"Yellow Pages",0,0,0,1,0,0
"Plastika",1,0,0,0,0,0
"Hearst Corp",0,0,1,0,0,0
"McGlashan AMP",0,0,0,1,0,0
"Net",0,0,1,0,0,0
"Scribner",1,0,0,0,0,0
"HouseTransportation Committee",1,0,0,0,0,0
"Netstwo",0,0,1,0,0,0
"Athletics",1,0,0,0,0,0
"Tobey and Davis",1,0,0,0,0,0
"Lohengrin ''",0,0,0,1,0,0
"BBDOSouth",1,0,0,0,0,0
"VolkswagenAG",1,0,0,0,0,0
"R Utica",0,0,0,1,0,0
"TargetCenter",0,0,0,0,1,0
"No",0,0,1,0,0,0
"Holiday Villa Cherating",0,0,0,0,1,0
"del Ponte",0,1,0,0,0,0
"Moody 's Investors Service",0,0,0,1,0,0
"SwissNational Bank",1,0,0,0,0,0
"The Legend",0,0,0,0,1,0
"Treasury",1,0,0,0,0,0
"Plastikafactory",0,0,1,0,0,0
"LITTLE",0,0,0,1,0,0
"20th CenturyFox",1,0,0,0,0,0
"Industries Holdings Bhd",0,0,1,0,0,0
"MassachusettsInstitute of Technology",1,0,0,0,0,0
"Campaign to Save the Rosenbaum House",0,0,1,0,0,0
"Lebed",0,1,0,0,0,0
"Yankee",1,0,0,0,0,0
"Open Text",1,0,0,0,0,0
"Addis Wechsler AMP ; Associates",0,0,0,1,0,0
"Toys R '' Us",0,0,0,1,0,0
"General Electric Co",0,0,1,0,0,0
"U S Soccer",0,0,0,1,0,0
"University of Utah",1,0,0,0,0,0
"BBDO Worldwide BBDO South",0,0,1,0,0,0
"TBILISI",0,1,0,0,0,0
"YORK _ Treasury",0,0,1,0,0,0
"New Line Cinema",1,0,0,0,0,0
"TheWho 's Who of America",0,0,0,1,0,0
"Group",0,0,1,0,0,0
"HEERENVEEN",0,1,0,0,0,0
"Philip Morris Cos",0,0,1,0,0,0
"Sumer",0,1,0,0,0,0
"Coast",0,0,0,1,0,0
"The WashingtonPost",1,0,0,0,0,0
"GorkyInstitute of Water Transport Engineering",0,0,0,0,1,0
"Hertz",1,0,0,0,0,0
"UNITED NATIONS",1,0,0,0,0,0
"Wells, Rich, Greene",0,0,0,0,1,0
"Culinary Institute ofAmerica",1,0,0,0,0,0
"American Federation of Musicians",0,0,1,0,0,0
"Nanook of the North",0,1,0,0,0,0
"Rep Jack Quinn",0,0,0,1,0,0
"Legacy",1,0,0,0,0,0
"Duff AMP",0,0,0,1,0,0
"Promise Keepersconventioneers",0,0,1,0,0,0
"Slavonia",0,0,0,1,0,0
"IrishRepublic",0,1,0,0,0,0
"Selangor Menteri Besar Datuk Abu Hassan Omar",0,1,0,0,0,0
"New Beetle",0,0,0,1,0,0
"Security Council",1,0,0,0,0,0
"Catherine Hall",0,0,0,1,0,0
"CBS StudioCenter",1,0,0,0,0,0
"Lohengrin",0,0,0,1,0,0
"Phelps",0,0,1,0,0,0
"Asiasituation",0,0,0,1,0,0
"Excitetend",0,0,1,0,0,0
"Bistro",1,0,0,0,0,0
"Seton HallUniversity",1,0,0,0,0,0
"Idealab",1,0,0,0,0,0
"MOSCOW AP _ Russia",0,0,1,0,0,0
"Hamas",1,0,0,0,0,0
"League of AmericanProducers and Theater Owners",1,0,0,0,0,0
"Unionist Party",1,0,0,0,0,0
"Barnett Capital Advisors Inc",0,0,1,0,0,0
"Robert",0,0,1,0,0,0
"University of Miami",1,0,0,0,0,0
"Omnicomagency",0,0,1,0,0,0
"Ford",1,0,0,0,0,0
"Red Cross",1,0,0,0,0,0
"SenateJudiciary Committee",0,0,1,0,0,0
"The N Times News Service",0,0,0,1,0,0
"APW19980424",0,0,1,0,0,0
"GGT Group PLC",1,0,0,0,0,0
