Entity,COR,INC,PAR,SPU,MIS,IGN
"WinterGames",0,0,0,0,0,1
"Africanart",0,0,0,0,0,1
"Arabs",0,0,0,0,0,1
"Main StreetAmerican",0,0,0,0,0,1
"Bill of Rights",0,0,0,0,0,1
"Belgian Toon Vandenhove",0,0,0,0,0,1
"English",0,0,0,0,0,1
"Solidarity Day",0,0,0,0,0,1
"Somali",0,0,0,0,0,1
"Romantic",0,0,0,0,0,1
"Victorians",0,0,0,0,0,1
"Yugoslavpresident",0,0,0,0,0,1
"French Open",0,0,0,0,0,1
"Doctor",0,0,0,0,0,1
"AmericanLeague",0,1,0,0,0,0
"Kenyans",0,0,0,0,0,1
"Internet Tax Freedom Act",0,0,0,0,0,1
"Time Rocker''at",0,0,0,0,0,1
"Swiss Thomas Gurtner",0,0,0,0,0,1
"Memorial Day",0,1,0,0,0,0
"My Heart WillGo On",0,0,0,0,0,1
"Asianmarkets",0,0,0,0,0,1
"Qradio",0,1,0,0,0,0
"Beatles",0,1,0,0,0,0
"Rep JohnLaFalce",0,0,0,0,0,1
"South American",0,0,0,0,0,1
"Americanarchitecture",0,0,0,0,0,1
"NativeAmerican",0,0,0,0,0,1
"African Americans",0,0,0,0,0,1
"American",0,0,0,0,0,1
"Canadian Rick Todd",0,0,0,0,0,1
"RM10",0,1,0,0,0,0
"Americanmilitary",0,0,0,0,0,1
"Rev",0,0,0,0,0,1
"Israeli",0,0,0,0,0,1
"Argentine Ricardo Gonzalez",0,0,0,0,0,1
"POTATO",0,0,0,0,0,1
"Holocaust",0,0,0,0,0,1
"Asiasituation",0,0,0,0,0,1
"This Boy's Life''",0,0,0,0,0,1
"British Empire Exhibition",0,0,0,0,0,1
"Mohawk",0,0,0,0,0,1
"Nazis",0,1,0,0,0,0
"Olympic",0,0,0,0,0,1
"Protestant Ulster Unionist Party Trimble",0,0,0,0,0,1
"Master Hand",0,0,0,0,0,1
"The Face of Russia",0,0,0,0,0,1
"THE Companies Act 1965",0,0,0,0,0,1
"Yankee",0,1,0,0,0,0
"Nordic",0,0,0,0,0,1
"You Can Call Me Al''",0,0,0,0,0,1
"New World",0,1,0,0,0,0
"Westernobsession",0,0,0,0,0,1
"Electronic Advertising andMarketplace Report",0,1,0,0,0,0
"Trophy Lalique",0,0,0,0,0,1
"Tusker Kenya Open",0,0,0,0,0,1
"Show Me da Money",0,0,0,0,0,1
"World War IIWright",0,0,0,0,0,1
"Copenhagen Open",0,0,0,0,0,1
"Kenyansalready",0,0,0,0,0,1
"Potemkin",0,0,0,0,0,1
"Cold War",0,0,0,0,0,1
"Kenyan",0,0,0,0,0,1
"Books Do Furnish a Room",0,0,0,0,0,1
"Nazi Germany",0,0,0,0,0,1
"Collection of Classic Jazz",0,0,0,0,0,1
"Legacy",0,1,0,0,0,0
"Neviim",0,0,0,0,0,1
"Dallas",0,1,0,0,0,0
"Internet",0,0,0,0,0,1
"Jewish",0,0,0,0,0,1
"Yoruba Sculptors",0,0,0,0,0,1
"Danish",0,0,0,0,0,1
"GermanClaudia Pechstein",0,0,0,0,0,1
"U",0,0,0,0,0,1
"European Jews",0,0,0,0,0,1
"Take Me Out to the Ball Game",0,0,0,0,0,1
"A Declaration of the Independence of Cyberspace",0,0,0,0,0,1
"First Amendment",0,0,0,0,0,1
"Indians",0,0,0,0,0,1
"Yoruba",0,0,0,0,0,1
"South African",0,0,0,0,0,1
"Hamlet''",0,0,0,0,0,1
"We Be Clubbin'''and",0,0,0,0,0,1
"Russian",0,1,0,0,0,0
"Jewishprejudice",0,0,0,0,0,1
"Christians",0,0,0,0,0,1
"Mesopotamian",0,0,0,0,0,1
"Lohengrin''",0,0,0,0,0,1
"Israelis",0,0,0,0,0,1
"Holocaustsurvivors",0,0,0,0,0,1
"Serb",0,0,0,0,0,1
"Titanic''",0,0,0,0,0,1
"Broken Hearted",0,0,0,0,0,1
"King James Version",0,0,0,0,0,1
"Celts",0,0,0,0,0,1
"Games",0,0,0,0,0,1
"Somali Ibrahim Ahmad",0,0,0,0,0,1
"Lohengrin",0,0,0,0,0,1
"Englishliterature",0,0,0,0,0,1
"Einstein on the Beach",0,0,0,0,0,1
"Paradise Lost''",0,0,0,0,0,1
"Conradian",0,0,0,0,0,1
"Ketuvim",0,0,0,0,0,1
"Israelitown",0,0,0,0,0,1
"KosovoAlbanians",0,0,0,0,0,1
"OPTIONAL",0,0,0,0,0,1
"OPTIONAL MATERIAL",0,0,0,0,0,1
"Jews",0,0,0,0,0,1
"Hutus",0,0,0,0,0,1
"Constitution",0,0,0,0,0,1
"Hinges of History''",0,0,0,0,0,1
"TargetCenter",0,1,0,0,0,0
"Jewishcurrents",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"Siberian",0,0,0,0,0,1
"sub Saharan African",0,0,0,0,0,1
"Democrat",0,0,0,0,0,1
"The Gifts of the Jews''",0,0,0,0,0,1
"Blood Upon the Snow''",0,0,0,0,0,1
"23rd Psalm",0,0,0,0,0,1
"El Nino drivenrain",0,0,0,0,0,1
"SMITHSONIAN",0,1,0,0,0,0
"Arating",0,0,0,0,0,1
"Kenya Open NAIROBI",0,0,0,0,0,1
"R",0,0,0,0,0,1
"Chicken",0,0,0,0,0,1
"Lebanese",0,0,0,0,0,1
"Section 11",0,0,0,0,0,1
"Republican",0,0,0,0,0,1
"Swedish",0,0,0,0,0,1
"Hamlet",0,0,0,0,0,1
"Web Audio Net",0,0,0,0,0,1
"Norwegian Ola Skuterud",0,0,0,0,0,1
"Swiss Patrick Berner",0,0,0,0,0,1
"The Ku Klux Klan",0,0,0,0,0,1
"Belle Epoque",0,0,0,0,0,1
"Klansmen",0,0,0,0,0,1
"Rosenbauminsists",0,0,0,0,0,1
"Usonia",0,0,0,0,0,1
"overwhelminglyanti",0,0,0,0,0,1
"Israelites",0,0,0,0,0,1
"TurkishMediterranean",0,0,0,0,0,1
"Northern",0,0,0,0,0,1
"World Cup",0,0,0,0,0,1
"Actto",0,0,0,0,0,1
"The Man in the Iron Mask''and",0,0,0,0,0,1
"The Ring'",0,0,0,0,0,1
"Americans CALCUTTA",0,0,0,0,0,1
"NEWS",0,0,0,0,0,1
"Blech",0,0,0,0,0,1
"Russianstate",0,0,0,0,0,1
"Muslim",0,0,0,0,0,1
"Last Tango",0,0,0,0,0,1
"The 50 Years' War''by Ahron Bregman",0,0,0,0,0,1
"Nets",0,1,0,0,0,0
"The Human Zamboni",0,0,0,0,0,1
"Women's World Cup",0,0,0,0,0,1
"Asianimports",0,0,0,0,0,1
"French",0,0,0,0,0,1
"Primary One",0,0,0,0,0,1
"Usonianconcept",0,0,0,0,0,1
"Catholic",0,0,0,0,0,1
"Yoruba derived African Caribbeanreligious",0,0,0,0,0,1
"Palestinianmilitant",0,0,0,0,0,1
"Albanianboy",0,0,0,0,0,1
"Communications Decency Act",0,0,0,0,0,1
"Cognac",0,0,0,0,0,1
"Israelicities",0,0,0,0,0,1
"Usonian",0,0,0,0,0,1
"Croat",0,0,0,0,0,1
"Semitism",0,0,0,0,0,1
"World Wide Web",0,0,0,0,0,1
"Little Dieter Needs to Fly",0,0,0,0,0,1
"GreatDepression",0,0,0,0,0,1
"Beijing",0,1,0,0,0,0
"Germanchildhood",0,0,0,0,0,1
"Cheyenne",0,0,0,0,0,1
