Entity,COR,INC,PAR,SPU,MIS,IGN
"Blackfoot",0,0,0,0,0,1
"French Quarter",0,1,0,0,0,0
"Arabs",0,0,0,0,0,1
"Rwandan Tutsis",0,0,0,0,0,1
"Talk About Love ''",0,0,0,0,0,1
"theNazi",0,0,0,0,0,1
"U. S. Soccer Family",0,0,0,0,0,1
"Germans",0,0,0,0,0,1
"Yugoslav",0,0,0,0,0,1
"Swiss",0,0,0,0,0,1
"Apart",0,0,0,0,0,1
"Filmmakers",0,0,0,0,0,1
"Nazi",0,1,0,0,0,0
"Local",0,0,0,0,0,1
"Belgian Toon Vandenhove",0,0,0,0,0,1
"Ball Game",0,0,0,0,0,1
"English",0,0,0,0,0,1
"MUSICIANS",0,0,0,0,0,1
"Jews",0,0,0,0,0,1
"Colonial",0,0,0,0,0,1
"Soldier",0,0,0,0,0,1
"South African Robi Byrdand Kenyan Steve Riungu",0,0,0,0,0,1
"Shake Watcha Mama Gave Ya , '' Show Me da Money",0,0,0,0,0,1
"Solidarity Day",0,0,0,0,0,1
"Hutus",0,0,0,0,0,1
"TEEN IDOL IMAGE HOLLYWOOD",0,0,0,0,0,1
"Somali",0,0,0,0,0,1
"Oh my God Oh my God I",0,0,0,0,0,1
"League of AmericanProducers",0,0,0,0,0,1
"Hidden Faces",0,1,0,0,0,0
"People",0,0,0,0,0,1
"toInternet",0,0,0,0,0,1
"Speakers",0,0,0,0,0,1
"Social Democrats",0,1,0,0,0,0
"DAVIS CUP",0,0,0,0,0,1
"Romantic",0,0,0,0,0,1
"Townspeople",0,0,0,0,0,1
"Victorians",0,0,0,0,0,1
"The Gifts ofthe Jews",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"French Open",0,0,0,0,0,1
"You Know I 'm",0,0,0,0,0,1
"Tabling",0,0,0,0,0,1
"Jews.",0,0,0,0,0,1
"Kenyans",0,0,0,0,0,1
"Web",0,0,0,0,0,1
"Unseasonable",0,0,0,0,0,1
"Jewish Catholic",0,0,0,0,0,1
"Indian",0,0,0,0,0,1
"Italian",0,0,0,0,0,1
"Swiss Thomas Gurtner",0,0,0,0,0,1
"Thelatest",0,0,0,0,0,1
"ownEuropean",0,0,0,0,0,1
"Women",0,0,0,0,0,1
"Catholics",0,0,0,0,0,1
"Democrat",0,0,0,0,0,1
"Memorial Day",0,1,0,0,0,0
"U. S. Soccer Family ''",0,0,0,0,0,1
"SKATING CHAMPIONSHIP MINNEAPOLIS",0,0,0,0,0,1
"Yoruba Sculptor toKings",0,0,0,0,0,1
"Four",0,1,0,0,0,0
"Native American",0,0,0,0,0,1
"theEuropean",0,0,0,0,0,1
"THE PLAYERS CLUB",0,0,0,0,0,1
"theGutenberg Bible",0,0,0,0,0,1
"Toys R '' Usjingle",0,0,0,0,0,1
