Entity,COR,INC,PAR,SPU,MIS,IGN
"Justin Wilson",1,0,0,0,0,0
"Sprinkle",0,0,0,1,0,0
"Magnus Gustafsson",1,0,0,0,0,0
"DICAPRIO",1,0,0,0,0,0
"Time Rocker",0,0,0,1,0,0
"Titanic",0,0,0,1,0,0
"But Chaym",0,0,1,0,0,0
"Michael Leavitt",1,0,0,0,0,0
"A.J. Johnson",0,0,0,0,1,0
"Sani Abacha",1,0,0,0,0,0
"Sometimespublic",0,0,0,1,0,0
"Judy West",1,0,0,0,0,0
"Abu Hassan Omar",0,0,1,0,0,0
"Werner Herzog Filmproduktion . Running",0,0,1,0,0,0
"Lorne Michaels",1,0,0,0,0,0
"Agassi",1,0,0,0,0,0
"Weston",1,0,0,0,0,0
"A. J. C.",0,0,0,1,0,0
"Kaym",1,0,0,0,0,0
"Angela",1,0,0,0,0,0
"M. The",0,0,0,1,0,0
"Husni",1,0,0,0,0,0
"Prokurorov",1,0,0,0,0,0
"Louis XIV",0,0,0,0,1,0
"Simeon Nyachaedelayed",0,0,1,0,0,0
"Volk",1,0,0,0,0,0
"Althoughtheir",0,0,0,1,0,0
"Levine",1,0,0,0,0,0
"Wellswould",0,0,1,0,0,0
"Man",0,0,1,0,0,0
"Pepper Schwartz",1,0,0,0,0,0
"Jay Leno",0,0,0,0,1,0
"Dan Burk",1,0,0,0,0,0
"Durbaba",1,0,0,0,0,0
"Master Hand",0,0,0,1,0,0
"Fox",0,0,1,0,0,0
"Beneath",0,0,0,1,0,0
"RoseGarden",0,0,0,1,0,0
"Samuelson",1,0,0,0,0,0
"VicePresident Al Gore",0,0,1,0,0,0
"Joseph Jacobson",1,0,0,0,0,0
"Wendy White",1,0,0,0,0,0
"Bill Gross",1,0,0,0,0,0
"Jack Ablin",1,0,0,0,0,0
"AmericanLeague",0,1,0,0,0,0
"Cardinal",1,0,0,0,0,0
"Ms. Starr",0,0,1,0,0,0
"Oh",0,0,1,0,0,0
"Charles Johnson",1,0,0,0,0,0
"Ryutaro Hashimoto",1,0,0,0,0,0
"G. Selvakumar",0,0,0,1,0,0
"Julia Chepalova",1,0,0,0,0,0
"EppieLederer",1,0,0,0,0,0
"So maybeViagra",0,0,0,1,0,0
"Eli Bin",1,0,0,0,0,0
"YevgenyKafelnikov",1,0,0,0,0,0
"Firoz Ali",1,0,0,0,0,0
"Douglas",1,0,0,0,0,0
"Patrick",0,0,1,0,0,0
"Clintons",1,0,0,0,0,0
"Youca",0,0,0,1,0,0
"Abasis",0,0,0,1,0,0
"James Horner",1,0,0,0,0,0
