Entity,COR,INC,PAR,SPU,MIS,IGN
"Ore.",0,0,0,0,1,0
"Warsaw",1,0,0,0,0,0
"Japan's FinanceMinistry",0,0,1,0,0,0
"INC",0,0,0,1,0,0
"Israel",1,0,0,0,0,0
"Arlington",1,0,0,0,0,0
"PRICE",0,0,0,0,1,0
"Cherating village",0,0,1,0,0,0
"Guyana",1,0,0,0,0,0
"Israel'sproposal",0,0,1,0,0,0
"Lebanon's",0,0,1,0,0,0
"Paris",1,0,0,0,0,0
"Mogadishuin 1993",0,0,1,0,0,0
"Hollywood'shottest",0,0,1,0,0,0
"Baltimore",1,0,0,0,0,0
"Israel Five days later",0,0,1,0,0,0
"Kuala Pilah",1,0,0,0,0,0
"Salt Lake City's",0,0,1,0,0,0
"Nabatiyeh",1,0,0,0,0,0
"BELFAST",0,0,0,0,1,0
"Thurs The Selangor Waterworks Department",0,0,0,1,0,0
"Fla",0,0,1,0,0,0
"The United States",0,0,1,0,0,0
"Dunblane",0,0,0,0,1,0
"NewBrunswick",1,0,0,0,0,0
"Somalia",1,0,0,0,0,0
"Yugoslavia",1,0,0,0,0,0
"Reston",1,0,0,0,0,0
"Miss.",0,0,0,0,1,0
"Belle Plaine",1,0,0,0,0,0
"Koermend",1,0,0,0,0,0
"Ottawa The Indian Museumwas",0,0,1,0,0,0
"Ga",0,0,1,0,0,0
"Georgia AP _ Georgia",0,0,1,0,0,0
"Santa Clara",1,0,0,0,0,0
"Canada",1,0,0,0,0,0
"San aFriday",0,0,0,1,0,0
"Price",1,0,0,0,0,0
"Cuba",1,0,0,0,0,0
"Jonestown",1,0,0,0,0,0
"CHICAGO",0,0,0,0,1,0
"Japan'seconomic",0,0,1,0,0,0
"Manhattan",1,0,0,0,0,0
"Marlboro",1,0,0,0,0,0
"Tenn",0,0,1,0,0,0
"Salt LakeCity",1,0,0,0,0,0
"TBILISI",1,0,0,0,0,0
"HEERENVEEN",1,0,0,0,0,0
"Budapest",1,0,0,0,0,0
"Britain",1,0,0,0,0,0
"Denmark's",0,0,1,0,0,0
"N",0,0,1,0,0,0
"Beach",1,0,0,0,0,0
"R Miss",0,0,0,1,0,0
"the Soviet Union",0,0,1,0,0,0
"Des Moines",1,0,0,0,0,0
"Ife",1,0,0,0,0,0
"Dallas",1,0,0,0,0,0
"sun",0,0,0,0,1,0
"Oneida County",1,0,0,0,0,0
"Uganda",1,0,0,0,0,0
"Jalan BukitKemuning",1,0,0,0,0,0
"Saigon",1,0,0,0,0,0
"Baku",1,0,0,0,0,0
"SHAH ALAM",0,0,0,0,1,0
"Memphis",1,0,0,0,0,0
"Washington",1,0,0,0,0,0
"Russia's Larissa Lazutina",0,0,1,0,0,0
"BROADWAY",0,0,0,0,1,0
"Limerick's",0,0,1,0,0,0
"Ark",0,0,1,0,0,0
"Little Rock's 175 , 000",0,0,1,0,0,0
"Iowa",1,0,0,0,0,0
"Mass",0,0,1,0,0,0
"Caspian",1,0,0,0,0,0
"Washington's Dupont Circle",0,0,1,0,0,0
"St. Louis",0,0,0,0,1,0
"Mall",0,0,0,0,1,0
"Denmark AP _ Denmark's",0,0,1,0,0,0
"NewJersey Nadler",0,0,1,0,0,0
"Bosnia",1,0,0,0,0,0
"ROC",0,1,0,0,0,0
"Rome",1,0,0,0,0,0
"Tyre",1,0,0,0,0,0
"Cascades",0,0,0,0,1,0
"Kuantan",1,0,0,0,0,0
"Dublin",1,0,0,0,0,0
"Alabama",1,0,0,0,0,0
"Ontario",1,0,0,0,0,0
"Pulau Ular",1,0,0,0,0,0
"Azerbaijan",0,0,0,0,1,0
"Klang",1,0,0,0,0,0
"Turkey Five",0,0,1,0,0,0
"Tuscumbia",1,0,0,0,0,0
"South Africa",1,0,0,0,0,0
"Tokyo",1,0,0,0,0,0
"CAMBRIDGE",1,0,0,0,0,0
"Sidon",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"St Catherine Hall",0,0,0,1,0,0
"ROME",0,0,0,0,1,0
"Calif McCarthy",0,0,0,1,0,0
"Portugal's U",0,0,1,0,0,0
"Hollywood",1,0,0,0,0,0
"Marshall",0,1,0,0,0,0
"Scarsdale",1,0,0,0,0,0
"Baikonur",1,0,0,0,0,0
"LITTLE ROCK",0,0,0,0,1,0
"Switzerland",1,0,0,0,0,0
"Lebanon",1,0,0,0,0,0
"Kosovo Serbs",0,0,1,0,0,0
"ROC's",0,0,0,1,0,0
"Montreal",0,0,0,0,1,0
"New Orleans",1,0,0,0,0,0
"Perak",1,0,0,0,0,0
"Netherlands",1,0,0,0,0,0
