Entity,COR,INC,PAR,SPU,MIS,IGN
"Blackfoot",0,0,0,0,0,1
"Germans",0,0,0,0,0,1
"Yugoslav",0,0,0,0,0,1
"Swiss",0,0,0,0,0,1
"communistsoverthrown",0,0,0,0,0,1
"KosovoAlbanians",0,0,0,0,0,1
"Nazi",0,1,0,0,0,0
"Belgian Toon Vandenhove",0,0,0,0,0,1
"Appalachians",0,1,0,0,0,0
"Ojibwa",0,0,0,0,0,1
"English",0,0,0,0,0,1
"Republicans New York",0,0,0,0,0,1
"Jews",0,0,0,0,0,1
"South African Robi Byrdand Kenyan Steve Riungu",0,0,0,0,0,1
"Hutus",0,0,0,0,0,1
"Somali",0,0,0,0,0,1
"communists' nearly 50 year",0,0,0,0,0,1
"Social Democrats",0,1,0,0,0,0
"Romantic",0,0,0,0,0,1
"Victorians",0,0,0,0,0,1
"Yugoslavpresident",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"Siberian",0,0,0,0,0,1
"Kenyans",0,0,0,0,0,1
"Jewish Catholic",0,0,0,0,0,1
"Indian",0,0,0,0,0,1
"Italian",0,0,0,0,0,1
"Mormon Eldon Dorman",0,0,0,0,0,1
"Swiss Thomas Gurtner",0,0,0,0,0,1
"Catholics",0,0,0,0,0,1
"Democrat",0,0,0,0,0,1
"Asianmarkets",0,0,0,0,0,1
"anti Semites",0,0,0,0,0,1
"D Maine",0,0,0,0,0,1
"Norwegian",0,0,0,0,0,1
"South American",0,0,0,0,0,1
"Americanarchitecture",0,0,0,0,0,1
"Western",0,0,0,0,0,1
"NativeAmerican",0,0,0,0,0,1
"Albanianacquaintances",0,0,0,0,0,1
"Irish",0,0,0,0,0,1
"African Americans",0,0,0,0,0,1
"Lebanese",0,0,0,0,0,1
"American",0,0,0,0,0,1
"Christian",0,0,0,0,0,1
"Canadian Rick Todd",0,0,0,0,0,1
"Albanian",0,0,0,0,0,1
"Republican",0,0,0,0,0,1
"Swedish",0,0,0,0,0,1
"Americanmilitary",0,0,0,0,0,1
"Protestants",0,0,0,0,0,1
"Norwegian Ola Skuterud",0,0,0,0,0,1
"Russians",0,0,0,0,0,1
"Israeli",0,0,0,0,0,1
"Africans",0,0,0,0,0,1
"Swiss Patrick Berner",0,0,0,0,0,1
"Argentine Ricardo Gonzalez",0,0,0,0,0,1
"Protestantguerrilla",0,0,0,0,0,1
"Nanook",0,0,0,0,0,1
"Holocaust",0,0,0,0,0,1
"Klansmen",0,0,0,0,0,1
"South African kwela",0,0,0,0,0,1
"Asian",0,0,0,0,0,1
"Parisian",0,0,0,0,0,1
"NoJapanese",0,0,0,0,0,1
"Mohawk",0,0,0,0,0,1
"Nazis",0,1,0,0,0,0
"Serbroyalty",0,0,0,0,0,1
"TurkishMediterranean",0,0,0,0,0,1
"Protestantvotes",0,0,0,0,0,1
"Northern",0,0,0,0,0,1
"Indonesian",0,0,0,0,0,1
"Democratic",0,0,0,0,0,1
