Entity,COR,INC,PAR,SPU,MIS,IGN
"theRegistrar of Companies",0,0,1,0,0,0
"Chicago",0,1,0,0,0,0
"the Universityof Maryland",0,0,1,0,0,0
"Goldman , Sachs AMP",0,0,0,1,0,0
"the Irish Republic's",0,0,0,1,0,0
"the Smithsonian Collection of Recordingscould",0,0,1,0,0,0
"the World Jewish Congress Israel Singer",0,0,1,0,0,0
"the Kuantan Municipal Council",0,0,1,0,0,0
"MIT",1,0,0,0,0,0
"Parliament's first",0,0,1,0,0,0
"Moody's Investors Service",1,0,0,0,0,0
"Wellswould",0,0,1,0,0,0
"the German Reichsbank",0,0,1,0,0,0
"Smithsonian Productions",0,0,1,0,0,0
"the Paramount Motion Picture Group",0,0,1,0,0,0
"Samuelson",0,1,0,0,0,0
"Red Brigade",1,0,0,0,0,0
"NORSI",1,0,0,0,0,0
"Senate",1,0,0,0,0,0
"Yablocko Party",1,0,0,0,0,0
"RoseGarden",0,0,0,1,0,0
"the Clinton Administration",0,0,0,1,0,0
"Russianstate television",0,0,0,1,0,0
"NBC",1,0,0,0,0,0
"AmericanLeague",1,0,0,0,0,0
"Cardinal",0,1,0,0,0,0
"Walt DisneyCo STORY CAN END HERE",0,0,1,0,0,0
"Baltimore",0,1,0,0,0,0
"Pepperdine",0,0,0,0,1,0
"the Communist Party",0,0,1,0,0,0
"Castle Rock Entertainment",1,0,0,0,0,0
"IsuzuMotors Ltd",0,0,1,0,0,0
"the Cyberspace Law Institute",0,0,1,0,0,0
"The Associated Press",1,0,0,0,0,0
"Qradio",1,0,0,0,0,0
"Plastika",1,0,0,0,0,0
"Hearst Corp",0,0,1,0,0,0
"theTankan",0,0,0,1,0,0
"Mitchell",0,1,0,0,0,0
"McGlashan AMP",0,0,0,1,0,0
"the All ThingsConsidered''",0,0,0,1,0,0
"TBWA Chiat/Day",0,0,0,0,1,0
"Athletics",1,0,0,0,0,0
"the House Transportation Committee",0,0,1,0,0,0
"BBDOSouth",1,0,0,0,0,0
"Wellsclosed",0,0,1,0,0,0
"the University ofCalifornia Yale",0,0,1,0,0,0
"the Young Communist League",0,0,1,0,0,0
"del Ponte",0,1,0,0,0,0
"the Irish Republican Army Behind the Mask : The IRA and Sinn Fein''",0,0,1,0,0,0
"The Legend",0,0,0,0,1,0
"Treasury",1,0,0,0,0,0
"Plastikafactory",0,0,1,0,0,0
"20th CenturyFox",1,0,0,0,0,0
"Industries Holdings Bhd",0,0,1,0,0,0
"the League of AmericanProducers and Theater Owners",0,0,1,0,0,0
"the LittleRock Media Consortium",0,0,1,0,0,0
"Lebed",0,1,0,0,0,0
"Open Text",1,0,0,0,0,0
"the Museum of Canadian Civilization",0,0,1,0,0,0
"DDB Needham U",0,0,1,0,0,0
"Addis Wechsler AMP ; Associates",0,0,0,1,0,0
"General Electric Co",0,0,1,0,0,0
"Broadway'smusicians",0,0,0,1,0,0
"theSwiss National Bank",0,0,1,0,0,0
"University of Utah",1,0,0,0,0,0
"MOSCOW AP _ Fire",0,0,1,0,0,0
"BBDO Worldwide BBDO South",0,0,1,0,0,0
"the Supreme Court",0,0,1,0,0,0
"New Line Cinema",1,0,0,0,0,0
"the Economic Planning Agency",0,0,1,0,0,0
"the MassachusettsInstitute of Technology",0,0,1,0,0,0
"The International Monetary Fund",0,0,1,0,0,0
"Philip Morris Cos",0,0,1,0,0,0
"the British Museum",0,0,1,0,0,0
"The WashingtonPost",1,0,0,0,0,0
"The Labor Department",0,0,1,0,0,0
"Poor's",0,0,1,0,0,0
"Hertz",1,0,0,0,0,0
"FreddieMac 84 percent",0,0,1,0,0,0
"Ask Hamstrup",0,1,0,0,0,0
"the Irish Republic",0,0,0,1,0,0
"Wells, Rich, Greene",0,0,0,0,1,0
"the Sony Corporation",0,0,1,0,0,0
"Duff AMP",0,0,0,1,0,0
"Promise Keepersconventioneers",0,0,1,0,0,0
"IrishRepublic",0,1,0,0,0,0
"Opposition",1,0,0,0,0,0
"the Dewan Rakyat",0,0,1,0,0,0
"Security Council",1,0,0,0,0,0
"the National Federation of Independent Business",0,0,1,0,0,0
"Cinemax ReelLife''",0,0,1,0,0,0
"CBS StudioCenter",1,0,0,0,0,0
"Phelps",0,0,1,0,0,0
"Excitetend",0,0,1,0,0,0
"Seton HallUniversity",1,0,0,0,0,0
"Idealab",1,0,0,0,0,0
"Mak De's",0,0,0,1,0,0
"Government'saspirations",0,0,0,1,0,0
"the Red Brigades",0,0,1,0,0,0
"Hamas",1,0,0,0,0,0
"the HistoryChannel",0,0,1,0,0,0
"Merrill Lynch's",0,0,1,0,0,0
"Barnett Capital Advisors Inc",0,0,1,0,0,0
"the World Wide Web",0,0,0,1,0,0
"Doubleday 23 50",0,0,1,0,0,0
"theNational Association of Home Builders",0,0,1,0,0,0
