Entity,COR,INC,PAR,SPU,MIS,IGN
"Ulysses",0,0,0,0,0,1
"What's Eating Gilbert Grape",0,0,0,0,0,1
"Saturday Night Live",0,0,0,0,0,1
"How the IrishSaved Civilization''",0,0,0,0,0,1
"Soccer Family''from May 1 31",0,0,0,0,0,1
"Titanic'",0,0,0,0,0,1
"Hidden Faces",0,1,0,0,0,0
"Soul Food",0,0,0,0,0,1
"All Things Considered''",0,0,0,0,0,1
"Hinges of History''",0,0,0,0,0,1
"The Gifts ofthe Jews",0,0,0,0,0,1
"The Magic Flute''several",0,0,0,0,0,1
"Look out , Provocation",0,0,0,0,0,1
"Time",0,0,0,0,0,1
"MorningEdition",0,0,0,0,0,1
"The Gifts of the Jews''",0,0,0,0,0,1
"My Heart WillGo On",0,0,0,0,0,1
"theGutenberg Bible",0,0,0,0,0,1
"Chieftains",0,1,0,0,0,0
"Goodnight Moon",0,0,0,0,0,1
"Master Hand : Individualityand Creativity Among Yoruba Sculptors",0,0,0,0,0,1
"ThePlayers Club",0,0,0,0,0,1
"Dumas",0,1,0,0,0,0
"an Academy Award",0,0,0,0,0,1
"Things That Think and News in theFuture",0,0,0,0,0,1
"The American Experience''",0,0,0,0,0,1
"Hamlet",0,0,0,0,0,1
"How a Tribe of Desert NomadsChange the Way Everyone Thinks and Feels",0,0,0,0,0,1
"Cyberspace and the Law ofthe Horse",0,0,0,0,0,1
"King James Version of the 23rd Psalm",0,0,0,0,0,1
"the Guinness Book of World Records",0,0,0,0,0,1
"The Man in the IronMask''",0,0,0,0,0,1
"The Face of Russia",0,0,0,0,0,1
"Master Hand",0,0,0,0,0,1
"The Man in the Iron Mask''and",0,0,0,0,0,1
"Usonia _ Frank Lloyd Wright's Design for America",0,0,0,0,0,1
"The Black Rider''",0,0,0,0,0,1
"LittleDieter Needs To Fly",0,0,0,0,0,1
"the Last Tango in Paris",0,0,0,0,0,1
"Dreamer''",0,0,0,0,0,1
"Riverdance''",0,0,0,0,0,1
"Die Meistersinger''",0,0,0,0,0,1
"Sumer",0,1,0,0,0,0
"Middle Passage''",0,0,0,0,0,1
"the Toys R'' Usjingle",0,0,0,0,0,1
"Show Me da Money",0,0,0,0,0,1
"theSmithsonian Collection of Recordings",0,0,0,0,0,1
"Books Do Furnish a Room",0,0,0,0,0,1
"The Human Zamboni",0,0,0,0,0,1
"Oscar",0,0,0,0,0,1
"Amazing Grace''",0,0,0,0,0,1
"Usonianconcept",0,0,0,0,0,1
"Whores in the House",0,0,0,0,0,1
"Dear Abby''",0,0,0,0,0,1
"Celebrity",0,0,0,0,0,1
"Breathing Lessons : The Life and Work of Mark O'Brien",0,0,0,0,0,1
"Take Me Out to the Ball Game",0,0,0,0,0,1
"How the Irish Saved Civilization''",0,0,0,0,0,1
"A Declaration of the Independence of Cyberspace",0,0,0,0,0,1
"Reagan : An American Story",0,0,0,0,0,1
"The Irishin America",0,0,0,0,0,1
"Gilgamesh''",0,0,0,0,0,1
"The Front Page''",0,0,0,0,0,1
"Titanic",0,0,0,0,0,1
"The Man in the Iron Mask",0,0,0,0,0,1
"Bible",0,0,0,0,0,1
"Little Dieter Needs to Fly",0,0,0,0,0,1
"Growing Pains",0,0,0,0,0,1
"Angela's Ashes''",0,0,0,0,0,1
"theshow",0,0,0,0,0,1
"We Be Clubbin'''and You Know I'm a Ho",0,0,0,0,0,1
"the Collection of Classic Jazz",0,0,0,0,0,1
"Shake Watcha Mama Gave Ya",0,0,0,0,0,1
"Hamlet''",0,0,0,0,0,1
"Master Hand''",0,0,0,0,0,1
"The American Experience",0,0,0,0,0,1
"Seinfeld''",0,0,0,0,0,1
"Pilgrim",0,0,0,0,0,1
"Dreamer",0,0,0,0,0,1
"Russianhistory Russia's War : Blood Upon the Snow''",0,0,0,0,0,1
"Lohengrin''",0,0,0,0,0,1
"This Boy's Life'' 1993",0,0,0,0,0,1
"Titanic''",0,0,0,0,0,1
"The Oprah Winfrey Show''",0,0,0,0,0,1
"the Hebrew Bible",0,0,0,0,0,1
"Broken Hearted",0,0,0,0,0,1
"Lohengrin''received",0,0,0,0,0,1
"Patrick's Day",0,0,0,0,0,1
"Dion's Let's Talk About Love''",0,0,0,0,0,1
"BlazingCrosses in Zion : The Ku Klux Klan",0,0,0,0,0,1
"Lohengrin",0,0,0,0,0,1
"Einstein on the Beach",0,0,0,0,0,1
"Paradise Lost''",0,0,0,0,0,1
"Israel and the Arabs : The 50 Years' War''by Ahron Bregman",0,0,0,0,0,1
"You Can Call Me Al'' on Graceland''",0,0,0,0,0,1
*TOTAL*,0,4,0,0,0,91
