Entity,COR,INC,PAR,SPU,MIS,IGN
"The Kenya Open",0,0,0,0,0,1
"theKrasnoye Sormovo",0,0,0,0,0,1
"WinterGames",0,0,0,0,0,1
"Thialf",0,0,0,0,0,1
"Residence Inn",0,1,0,0,0,0
"the al Khair Mosque",0,0,0,0,0,1
"Ronald Reagan WashingtonInternational Airport",0,1,0,0,0,0
"the International Tennis Center",0,0,0,0,0,1
"WHYY inPhiladelphia",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"La Scala",0,1,0,0,0,0
"the Oval Office after12 days",0,0,0,0,0,1
"the WestSide Highway",0,0,0,0,0,1
"the Legacy Hotel",0,0,0,0,0,1
"accusationsClinton",0,0,0,0,0,1
"World Trade Center",0,0,0,0,0,1
"Mall",0,1,0,0,0,0
"the Kelab Golf DarulRidzuan",0,0,0,0,0,1
"Dupont Circle",0,1,0,0,0,0
"theCherating Cultural Complex",0,0,0,0,0,1
"The Legend Resort",0,1,0,0,0,0
"the White House Rose Garden this morning",0,0,0,0,0,1
"Capitol",0,1,0,0,0,0
"interiorSoutheast",0,0,0,0,0,1
"Recalling U. N.",0,0,0,0,0,1
"Wrigley Field",0,0,0,0,0,1
"TurkishMediterranean",0,0,0,0,0,1
"The Grand Concourse",0,0,0,0,0,1
"the Renaissance Towerin Florence",0,0,0,0,0,1
"theWashington Monument",0,0,0,0,0,1
"Top 40",0,0,0,0,0,1
"the newSwiss Garden",0,0,0,0,0,1
"St. Catherine Hall",0,0,0,0,0,1
"the White House",0,0,0,0,0,1
"Bistro",0,1,0,0,0,0
"Camden Yards",0,0,0,0,0,1
"Continental Arena",0,0,0,0,0,1
"Vatican",0,1,0,0,0,0
"the Metropolitan Museum of Art",0,0,0,0,0,1
"Broadway 's 38theaters",0,0,0,0,0,1
"Madison Avenue",0,0,0,0,0,1
"betweenthe boulevard",0,0,0,0,0,1
"the Kamukunji Grounds",0,0,0,0,0,1
"the Maison de Ville",0,0,0,0,0,1
"Swissgovernment",0,0,0,0,0,1
"Houston Street",0,1,0,0,0,0
"the White House.",0,0,0,0,0,1
*TOTAL*,0,11,0,0,0,36
