Entity,COR,INC,PAR,SPU,MIS,IGN
"PRISTINA",0,0,0,0,1,0
"Shah Alam",0,0,0,0,1,0
"Azerbaijan",0,0,0,0,1,0
"N.J.",0,0,0,0,1,0
"Santa Fe",0,0,0,0,1,0
"Tyler",0,0,0,0,1,0
"DUNBLANE",0,0,0,0,1,0
"onEast Coast",0,0,0,1,0,0
"the French Quarter",0,0,1,0,0,0
"Waterford",0,0,0,0,1,0
"the Black Sea",0,0,1,0,0,0
"COPENHAGEN",0,0,0,0,1,0
"Wild West",0,0,0,1,0,0
"Southwest",0,0,0,1,0,0
"Sea",0,0,1,0,0,0
"601Riverview Dr.",0,0,0,0,1,0
"Jerusalem",0,0,0,0,1,0
"Jalan Gambus",0,0,0,0,1,0
"West Coast",0,0,0,1,0,0
"Great Lakes",1,0,0,0,0,0
"BEIRUT",0,0,0,0,1,0
"Silicon Valley",1,0,0,0,0,0
"Arctic Circlefor",0,0,1,0,0,0
"Lake Michigan",1,0,0,0,0,0
"BELFAST",0,0,0,0,1,0
"GowanusExpressway",0,0,0,0,1,0
"Mississippi Valley",1,0,0,0,0,0
"GEORGETOWN",0,0,0,0,1,0
"Houston Street",0,0,0,0,1,0
"the Price River",0,0,1,0,0,0
"Miss.",0,0,0,0,1,0
"Tiananmen Square",0,0,0,0,1,0
"HEERENVEEN",0,0,0,0,1,0
"Plains",0,0,0,1,0,0
"Northern",0,0,1,0,0,0
"Central Park",1,0,0,0,0,0
"Dupont Circle",0,0,0,0,1,0
"the National Forest",0,0,1,0,0,0
"Oklahoma",0,0,0,0,1,0
"Cherating River",1,0,0,0,0,0
"Asia",1,0,0,0,0,0
"KRASNOYARSK",0,0,0,0,1,0
"DETROIT",0,0,0,0,1,0
"Westthat",0,0,0,1,0,0
"El Nino",0,0,0,1,0,0
"Jalan BukitKemuning",0,0,0,0,1,0
"Farther",0,0,0,1,0,0
"Southeast Asia",1,0,0,0,0,0
"N.D.",0,0,0,0,1,0
"the Cherating River",0,0,1,0,0,0
"Northwest",0,0,0,1,0,0
"the Florence Ala. TimesDaily",0,0,1,0,0,0
"Rain",0,0,0,1,0,0
"the North Pole",0,0,1,0,0,0
"SAN`A",0,0,0,0,1,0
"the Middle Atlantic",0,0,1,0,0,0
"San`a",0,0,0,0,1,0
"Northeast Friday",0,0,0,1,0,0
"Western Europe 's",0,0,1,0,0,0
"BUDAPEST",0,0,0,0,1,0
"209 West Houston St.",0,0,0,0,1,0
"a Little Rock",0,0,1,0,0,0
"Africa",1,0,0,0,0,0
"Poland",0,0,0,0,1,0
"South America",1,0,0,0,0,0
"Virginia",0,0,0,0,1,0
"Belgium",0,0,0,0,1,0
"Ostrava",0,0,0,0,1,0
"the Middle West",0,0,0,1,0,0
"Americas",1,0,0,0,0,0
"District ofColumbia",0,0,0,0,1,0
"New World",0,0,0,0,1,0
"Staten Island",1,0,0,0,0,0
"Moon",1,0,0,0,0,0
"theWest Coast",0,0,0,1,0,0
"Northeast",0,0,0,1,0,0
"Ronald Reagan WashingtonInternational Airport",0,0,0,0,1,0
"Middle America",0,0,1,0,0,0
"North",0,0,1,0,0,0
"Sukhumi",0,0,0,0,1,0
"LAGOS",0,0,0,0,1,0
"PARIS",0,0,0,0,1,0
"BLANTYRE",0,0,0,0,1,0
"the Gulf of Mexico",0,0,1,0,0,0
"Krasnoyarsk",0,0,0,0,1,0
"the Caspian Sea",0,0,1,0,0,0
"the FrederickDouglass Circle",0,0,1,0,0,0
"Mentakab",0,0,0,0,1,0
"MuscleShoals",0,0,0,0,1,0
"Republic of Congo",0,0,0,0,1,0
"Europe",1,0,0,0,0,0
"Caspian",1,0,0,0,0,0
"BONN",0,0,0,0,1,0
"ULSTER",0,0,0,0,1,0
"earth",0,0,0,0,1,0
"PulauUlar",0,0,0,0,1,0
"Colorado",0,0,0,0,1,0
"N.Y.",0,0,0,0,1,0
"Missouri RiverValley",0,0,0,0,1,0
"Amsterdam",0,0,0,0,1,0
"milky way",0,0,0,0,1,0
"Shoals",1,0,0,0,0,0
"Wilson Dam",0,0,0,0,1,0
"South",0,0,1,0,0,0
"inSouth Africa",0,0,1,0,0,0
"N.M.",0,0,0,0,1,0
*TOTAL*,16,0,20,14,168,0
