Entity,COR,INC,PAR,SPU,MIS,IGN
"Ore.",0,0,0,0,1,0
"Copenhagen",1,0,0,0,0,0
"Warsaw",1,0,0,0,0,0
"Belfast,for",0,0,1,0,0,0
"Israel",1,0,0,0,0,0
"Arabianpeninsula",0,0,0,1,0,0
"Arlington",1,0,0,0,0,0
"Dupont Circle",1,0,0,0,0,0
"PRICE",0,0,0,0,1,0
"Guyana",1,0,0,0,0,0
"Mall",1,0,0,0,0,0
"Paris",1,0,0,0,0,0
"Wild West",0,0,0,1,0,0
"Baltimore",1,0,0,0,0,0
"Jerusalem",0,0,0,0,1,0
"West Coast",0,0,0,1,0,0
"Nabatiyeh",1,0,0,0,0,0
"LOS ANGELES",1,0,0,0,0,0
"Silicon Valley",1,0,0,0,0,0
"Lake Michigan",1,0,0,0,0,0
"BELFAST",0,0,0,0,1,0
"Trophy Lalique",0,0,0,1,0,0
"Fla",0,0,1,0,0,0
"inKuala Kemaman",0,0,1,0,0,0
"Caspian Sea",1,0,0,0,0,0
"Oval Office",0,0,0,1,0,0
"NewBrunswick",1,0,0,0,0,0
"Plastika",0,1,0,0,0,0
"Somalia",1,0,0,0,0,0
"Parisian",0,0,1,0,0,0
"Holmenkollen",1,0,0,0,0,0
"TheNorthern Ireland",0,0,1,0,0,0
"Yugoslavia",1,0,0,0,0,0
"Reston",1,0,0,0,0,0
"Miss.",0,0,0,0,1,0
"Ottawa",1,0,0,0,0,0
"Israeliforces",0,0,1,0,0,0
"Belle Plaine",1,0,0,0,0,0
"Plains",0,0,0,1,0,0
"Middle Atlantic",0,0,1,0,0,0
"Januaryand",0,0,0,1,0,0
"Koermend",1,0,0,0,0,0
"New Orleans,normally",0,0,1,0,0,0
"Ga",0,0,1,0,0,0
"UTAH TOWN",0,0,1,0,0,0
"Cherating River",1,0,0,0,0,0
"Santa Clara",1,0,0,0,0,0
"Canada",1,0,0,0,0,0
"San aFriday",0,0,0,1,0,0
"S. S.",0,0,0,1,0,0
"Terengganuthat",0,0,1,0,0,0
"Eisenhower Medical Center",0,1,0,0,0,0
"Cuba",1,0,0,0,0,0
"Jonestown",1,0,0,0,0,0
"Wrigley Field",0,0,0,1,0,0
"Yoruba",0,0,0,1,0,0
"Manhattan",1,0,0,0,0,0
"Marlboro",1,0,0,0,0,0
"Tenn",0,0,1,0,0,0
"theWashington Monument",0,0,1,0,0,0
"Ronald Reagan WashingtonInternational Airport",1,0,0,0,0,0
"Lincoln Bedroom",0,0,0,1,0,0
"Salt LakeCity",1,0,0,0,0,0
"TBILISI",1,0,0,0,0,0
"HEERENVEEN",1,0,0,0,0,0
"Budapest",1,0,0,0,0,0
"Britain",1,0,0,0,0,0
"Sumer",1,0,0,0,0,0
"SAN`A",0,0,0,0,1,0
"Beach",1,0,0,0,0,0
"N. J.",0,0,0,1,0,0
"St. Catherine Hall",0,0,0,1,0,0
"Des Moines",1,0,0,0,0,0
"Ife",1,0,0,0,0,0
"Dallas",1,0,0,0,0,0
"sun",0,0,0,0,1,0
"White House Rose Garden",0,0,0,1,0,0
"Oneida County",1,0,0,0,0,0
"79th Street",1,0,0,0,0,0
"South America",1,0,0,0,0,0
"Ceyhan",1,0,0,0,0,0
"Bistro",0,1,0,0,0,0
"Uganda",1,0,0,0,0,0
"Seton HallUniversity",0,1,0,0,0,0
"Jalan BukitKemuning",1,0,0,0,0,0
"Saigon",1,0,0,0,0,0
"theWest Coast",0,0,0,1,0,0
"Baku",1,0,0,0,0,0
"SHAH ALAM",0,0,0,0,1,0
"Memphis",1,0,0,0,0,0
"Washington",1,0,0,0,0,0
"BROADWAY",0,0,0,0,1,0
"Yaleis",0,0,0,1,0,0
"Ark",0,0,1,0,0,0
"Iowa",1,0,0,0,0,0
"Mass",0,0,1,0,0,0
"Caspian",1,0,0,0,0,0
"Metropolitan Opera",0,1,0,0,0,0
"American West",1,0,0,0,0,0
"Israel JERUSALEM",0,0,1,0,0,0
"OAKLAND",1,0,0,0,0,0
"Rome",1,0,0,0,0,0
"Tyre",1,0,0,0,0,0
"Cascades",0,0,0,0,1,0
"Kuantan",1,0,0,0,0,0
"Georgia AP",0,0,1,0,0,0
"GowanusExpressway",1,0,0,0,0,0
"Dublin",1,0,0,0,0,0
"Alabama",1,0,0,0,0,0
"North Pole",1,0,0,0,0,0
"Ontario",1,0,0,0,0,0
"Muthaiga Golf Club",0,1,0,0,0,0
"Bastille Opera",0,1,0,0,0,0
"Pulau Ular",1,0,0,0,0,0
"Azerbaijan",0,0,0,0,1,0
"San Mateo,Calif",0,0,1,0,0,0
"Belle Epoque",0,0,0,1,0,0
"Klang",1,0,0,0,0,0
"Tuscumbia",1,0,0,0,0,0
"Western Europe",1,0,0,0,0,0
"Tiananmen Square",1,0,0,0,0,0
"South Africa",1,0,0,0,0,0
"Tokyo",1,0,0,0,0,0
"CAMBRIDGE",1,0,0,0,0,0
"Sidon",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"ROME",0,0,0,0,1,0
"Hollywood",1,0,0,0,0,0
"Southwest",0,0,0,1,0,0
"Whitewater",0,0,0,1,0,0
"TargetCenter",0,1,0,0,0,0
"United Nations,said",0,0,0,1,0,0
"Scarsdale",1,0,0,0,0,0
"Baikonur",1,0,0,0,0,0
"Switzerland",1,0,0,0,0,0
"Oceania",1,0,0,0,0,0
"Lebanon",1,0,0,0,0,0
"Metropolitan Museum of Art",0,1,0,0,0,0
"N. D.",0,0,0,1,0,0
"London",1,0,0,0,0,0
"New Orleans",1,0,0,0,0,0
"Perak",1,0,0,0,0,0
"Netherlands",1,0,0,0,0,0
"PacificStates",0,0,1,0,0,0
"Rosenbaum House",0,0,0,1,0,0
"Hamptons",1,0,0,0,0,0
"Soviet Union",1,0,0,0,0,0
"Mississippi Valley",1,0,0,0,0,0
"Price River",1,0,0,0,0,0
"NEW ORLEANS NEW ORLEANS",0,0,1,0,0,0
"DUNBLANE",1,0,0,0,0,0
"New York City",1,0,0,0,0,0
"Hillsborough",1,0,0,0,0,0
"Cukai",1,0,0,0,0,0
"inColumbus",0,0,1,0,0,0
"ofLinden",0,0,1,0,0,0
"NAIROBI",1,0,0,0,0,0
"KRASNOYARSK",0,0,0,0,1,0
"World Trade Center",0,0,0,1,0,0
"DETROIT",0,0,0,0,1,0
"Singapore",1,0,0,0,0,0
"PresspassStadium",0,0,0,1,0,0
"Muthaiga",0,1,0,0,0,0
"Petersburg",0,0,1,0,0,0
"China",1,0,0,0,0,0
"Eritrea",1,0,0,0,0,0
"Nagano",1,0,0,0,0,0
"TRANSPORT WASHINGTON",0,0,1,0,0,0
"San Francisco",1,0,0,0,0,0
"Peninsular Malaysia",0,0,1,0,0,0
"Soweida",0,0,0,0,1,0
"British Museum",0,1,0,0,0,0
"New York Medical Center",0,1,0,0,0,0
"Southeast Asia",1,0,0,0,0,0
"Knin",1,0,0,0,0,0
"Ohio",1,0,0,0,0,0
"Korea",1,0,0,0,0,0
"Denmark",1,0,0,0,0,0
"Black Sea",1,0,0,0,0,0
"La Scala",0,1,0,0,0,0
"San`a",0,0,0,0,1,0
"MuscleShoals",1,0,0,0,0,0
"WRIGLEY CHICAGO",0,0,1,0,0,0
"New England",1,0,0,0,0,0
"St. Louis",1,0,0,0,0,0
"Ireland",1,0,0,0,0,0
"Hamlet",0,0,0,1,0,0
"Lebed'sname",0,0,0,1,0,0
"Tennessee Valley",1,0,0,0,0,0
"Wall Street",0,0,0,1,0,0
"Madison Avenue",0,0,0,1,0,0
"Oakland",1,0,0,0,0,0
"Maison de Ville",0,0,0,1,0,0
"Kosovo",1,0,0,0,0,0
"Castle Rock",0,1,0,0,0,0
"Belgium",0,0,0,0,1,0
"Serbia",1,0,0,0,0,0
"Americas",1,0,0,0,0,0
"MOSCOW",1,0,0,0,0,0
"LR",0,0,0,1,0,0
"Mogadishuin",0,0,1,0,0,0
"STONE MOUNTAIN",1,0,0,0,0,0
"Royal Calcutta Golf Club",0,1,0,0,0,0
"Beijing",1,0,0,0,0,0
"Ojibwa",0,0,0,1,0,0
"Little Rock,Ark",0,0,1,0,0,0
"Johor",0,0,0,0,1,0
"Middle America",0,0,1,0,0,0
"California",1,0,0,0,0,0
"Los Angeles",1,0,0,0,0,0
"Scotland",1,0,0,0,0,0
"Brooklyn",1,0,0,0,0,0
"Tyler",1,0,0,0,0,0
"S.",0,0,1,0,0,0
"Serbs,the",0,0,0,1,0,0
"Zion",0,0,0,1,0,0
"Parislast",0,0,1,0,0,0
"Norway",1,0,0,0,0,0
"Mentakab",0,0,0,0,1,0
"FLORENCE",1,0,0,0,0,0
"earth",0,0,0,0,1,0
"India",1,0,0,0,0,0
"Baalbek",1,0,0,0,0,0
"NewYork",1,0,0,0,0,0
"LITTLE ROCK",1,0,0,0,0,0
"Florida",1,0,0,0,0,0
"ofSidon",0,0,1,0,0,0
"October,1996",0,1,0,0,0,0
"Amsterdam",0,0,0,0,1,0
"milky way",0,0,0,0,1,0
"Nairobi",0,0,0,0,1,0
"Lake Arrowhead,Calif",0,0,1,0,0,0
"Zurich",1,0,0,0,0,0
"Congo",1,0,0,0,0,0
"Teluk Intan",0,0,0,0,1,0
"Anaheim",0,0,0,0,1,0
"OSLO",1,0,0,0,0,0
"Appalachians",1,0,0,0,0,0
"Geneva",1,0,0,0,0,0
"NewYork City",1,0,0,0,0,0
"Burundi",1,0,0,0,0,0
"Waterford",0,0,0,0,1,0
"Georgetown",1,0,0,0,0,0
"France",1,0,0,0,0,0
"N.",0,0,1,0,0,0
"Va",0,0,1,0,0,0
"Sioux City",1,0,0,0,0,0
"Carbon County",0,0,0,0,1,0
"Boston,the",0,0,1,0,0,0
"Laos",1,0,0,0,0,0
"Hadatha",1,0,0,0,0,0
"Calif",0,0,1,0,0,0
"Great Lakes",1,0,0,0,0,0
"Gulf of Mexico",1,0,0,0,0,0
"Italy",1,0,0,0,0,0
"Thialf",0,0,0,1,0,0
"Genesis",0,0,0,1,0,0
"Harbin",1,0,0,0,0,0
"WASHINGTON",1,0,0,0,0,0
"Nigeria",1,0,0,0,0,0
"Bayona",0,1,0,0,0,0
"National Museum of theAmerican Indian",0,1,0,0,0,0
"Albania",1,0,0,0,0,0
"ofKazakstan",0,0,1,0,0,0
"Renaissance Towerin Florence",0,0,1,0,0,0
"Atlanta",1,0,0,0,0,0
"Utica",1,0,0,0,0,0
"Croatia,Bosnia",0,0,1,0,0,0
"Universityof Maryland",0,1,0,0,0,0
"Yale",0,1,0,0,0,0
"Changchun",1,0,0,0,0,0
"southernIowa",0,0,1,0,0,0
"Ise",1,0,0,0,0,0
"National Museum of African Art",0,1,0,0,0,0
"Georgia",1,0,0,0,0,0
"Jalan Gambus",1,0,0,0,0,0
"Slavonia",0,0,1,0,0,0
"Texas andOklahoma",0,0,1,0,0,0
"Malaysia",1,0,0,0,0,0
"Hull",1,0,0,0,0,0
"Sarawak",1,0,0,0,0,0
"Grand Concourse",1,0,0,0,0,0
"El Nino",0,0,0,1,0,0
"U.",0,0,1,0,0,0
"Nurnberg",1,0,0,0,0,0
"Quebec",1,0,0,0,0,0
"Baarchit",1,0,0,0,0,0
"GEORGETOWN",1,0,0,0,0,0
"Bronx",1,0,0,0,0,0
"HOLLYWOOD",0,0,0,0,1,0
"Arkansas",1,0,0,0,0,0
"The Legend Resort,Cherating",0,0,1,0,0,0
"Radisson Hotel",0,1,0,0,0,0
"Hardon",1,0,0,0,0,0
"209 West Houston St.",0,0,0,0,1,0
"FrederickDouglass Circle",1,0,0,0,0,0
"United Statesto",0,0,1,0,0,0
"Russia",1,0,0,0,0,0
"Capitol",0,1,0,0,0,0
"Croatia",1,0,0,0,0,0
"Africa",1,0,0,0,0,0
"Hungary",1,0,0,0,0,0
"Pahang",1,0,0,0,0,0
"Virginia",0,0,0,0,1,0
"Seattle",1,0,0,0,0,0
"NorthPacific",1,0,0,0,0,0
"Ostrava",0,0,0,0,1,0
"NEW YORK",1,0,0,0,0,0
"Nazi Germany",0,0,1,0,0,0
"Castel Gandolfo",1,0,0,0,0,0
"RutgersUniversity",0,1,0,0,0,0
"Kenya",1,0,0,0,0,0
"Buffalo",1,0,0,0,0,0
"Staten Island",1,0,0,0,0,0
"MALAYSIA",1,0,0,0,0,0
"TOKYO",0,0,0,0,1,0
"Northeast",0,0,0,1,0,0
"MINNEAPOLIS",1,0,0,0,0,0
"U",0,0,1,0,0,0
"Nevada",1,0,0,0,0,0
"SAN A",0,0,0,1,0,0
"PARIS",0,0,0,0,1,0
"Middle Atlantic States",0,0,1,0,0,0
"Krasnoyarsk",0,0,0,0,1,0
"CNN Washington",0,0,1,0,0,0
"Sojod",1,0,0,0,0,0
"Rwanda",1,0,0,0,0,0
"Europe",1,0,0,0,0,0
"BUDAPEST",1,0,0,0,0,0
"Harvard",0,1,0,0,0,0
"interior Northwest",0,0,0,1,0,0
"BONN",0,0,0,0,1,0
"COPENHAGEN",1,0,0,0,0,0
"Zone A",0,0,0,1,0,0
"Continental Arena",0,0,0,1,0,0
"Lebanon,yellow",0,0,1,0,0,0
"Holland",1,0,0,0,0,0
"Utah State UniversityPress",0,1,0,0,0,0
"newSwiss Garden",0,0,0,1,0,0
"United States",1,0,0,0,0,0
"Berkeley",0,1,0,0,0,0
"BEIRUT",1,0,0,0,0,0
"Vatican",0,1,0,0,0,0
"Salt Lake City",1,0,0,0,0,0
"MiddleAtlantic States",0,0,1,0,0,0
"theUnited States",0,0,1,0,0,0
"Waterloo,Ontario",0,0,1,0,0,0
"District ofColumbia",1,0,0,0,0,0
"Massachusetts",1,0,0,0,0,0
"Rwanda,Burundi",0,0,1,0,0,0
"Indian Wells",1,0,0,0,0,0
"Turkey",1,0,0,0,0,0
"Castel Gandolfo,the",0,0,1,0,0,0
"Little Rock",1,0,0,0,0,0
"inJacksonville",0,0,1,0,0,0
"Ala",0,0,1,0,0,0
"Irish Republic",1,0,0,0,0,0
"Rantau Abang",1,0,0,0,0,0
"BEIJING",1,0,0,0,0,0
"Santa Fe",0,0,0,0,1,0
"Kelab Golf DarulRidzuan",0,1,0,0,0,0
"Moscow",1,0,0,0,0,0
