Entity,COR,INC,PAR,SPU,MIS,IGN
"The Kenya Open",0,0,0,0,0,1
"the Tusker Kenya Open",0,0,0,0,0,1
"GreatDepression",0,0,0,0,0,1
"the dlrs300,000 Classic India Open",0,0,0,0,0,1
"the World Cup",0,0,0,0,0,1
"Women 's World Cup",0,0,0,0,0,1
"MARCH WINDS March",0,0,0,0,0,1
"World War IIWright",0,0,0,0,0,1
"Winter Olympian",0,0,0,0,0,1
"Holocaust",0,0,0,0,0,1
"210,000 Copenhagen Open",0,0,0,0,0,1
"Freedom and Privacy",0,0,0,0,0,1
"the Cold War",0,0,0,0,0,1
"the Eastern Conference",0,0,0,0,0,1
"roundDavis Cup",0,0,0,0,0,1
"an ATP Final",0,0,0,0,0,1
"Handy Music Festival",0,0,0,0,0,1
"Olympic",0,0,0,0,0,1
"Commonwealth Games inSeptember",0,0,0,0,0,1
"the European Challenge Tour",0,0,0,0,0,1
"World Cup",0,0,0,0,0,1
"Games",0,0,0,0,0,1
"World War II",0,0,0,0,0,1
"the Knicks' No. 7",0,0,0,0,0,1
"the Nagano Olympics",0,0,0,0,0,1
"New Age",0,0,0,0,0,1
"the Winter Olympics",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,27
