Entity,COR,INC,PAR,SPU,MIS,IGN
"Ore.",0,0,0,0,1,0
"Anaheim",0,0,0,0,1,0
"Little Rock",1,0,0,0,0,0
"Pulau Ular",1,0,0,0,0,0
"Azerbaijan",0,0,0,0,1,0
"Rockies",1,0,0,0,0,0
"Santa Fe",0,0,0,0,1,0
"Appalachians",1,0,0,0,0,0
"onEast Coast",0,0,0,1,0,0
"the French Quarter",0,0,1,0,0,0
"Waterford",0,0,0,0,1,0
"Arabianpeninsula",0,0,0,1,0,0
"PRICE",0,0,0,0,1,0
"Dakotas",1,0,0,0,0,0
"Wild West",0,0,0,1,0,0
"Southwest",0,0,0,1,0,0
"LITTLE ROCK",0,0,0,0,1,0
"601Riverview Dr.",0,0,0,0,1,0
"Jerusalem",0,0,0,0,1,0
"Oceania",1,0,0,0,0,0
"West Coast",0,0,0,1,0,0
"Great Lakes",1,0,0,0,0,0
"Silicon Valley",1,0,0,0,0,0
"Lake Michigan",1,0,0,0,0,0
"Arctic Circlefor",0,0,1,0,0,0
"BELFAST",0,0,0,0,1,0
"PacificStates",0,0,1,0,0,0
"Caspian Sea",1,0,0,0,0,0
"Little Rock 's",0,0,1,0,0,0
"Hamptons",1,0,0,0,0,0
"Mississippi Valley",1,0,0,0,0,0
"Bayona",0,1,0,0,0,0
"Miss.",0,0,0,0,1,0
"Tiananmen Square",0,0,0,0,1,0
"HEERENVEEN",0,0,0,0,1,0
"Plains",0,0,0,1,0,0
"Middle Atlantic",0,0,1,0,0,0
"Central Park",1,0,0,0,0,0
"Dupont Circle",0,0,0,0,1,0
"the National Forest",0,0,1,0,0,0
"Cherating River",1,0,0,0,0,0
"Hjelmeseth",0,1,0,0,0,0
"Asia",1,0,0,0,0,0
"KRASNOYARSK",0,0,0,0,1,0
"DETROIT",0,0,0,0,1,0
"Texas andOklahoma",0,0,1,0,0,0
"Westthat",0,0,0,1,0,0
"Canaan",0,0,0,0,1,0
"El Nino",0,0,0,1,0,0
"Ark.",0,0,0,0,1,0
"Jalan BukitKemuning",0,0,0,0,1,0
"Peninsular Malaysia",0,0,1,0,0,0
"Southeast Asia",1,0,0,0,0,0
"HOLLYWOOD",0,0,0,0,1,0
"the Cherating River",0,0,1,0,0,0
"Black Sea",1,0,0,0,0,0
"Northwest",0,0,0,1,0,0
"SAN`A",0,0,0,0,1,0
"Beach",1,0,0,0,0,0
"San`a",0,0,0,0,1,0
"MuscleShoals",1,0,0,0,0,0
"Western Europe 's",0,0,1,0,0,0
"Africa",1,0,0,0,0,0
"Poland",0,0,0,0,1,0
"Tennessee Valley",1,0,0,0,0,0
"South America",1,0,0,0,0,0
"Virginia",0,0,0,0,1,0
"NorthPacific",1,0,0,0,0,0
"Belgium",0,0,0,0,1,0
"Ostrava",0,0,0,0,1,0
"the Middle West",0,0,0,1,0,0
"Americas",1,0,0,0,0,0
"New World",0,0,0,0,1,0
"Wilson Dam",1,0,0,0,0,0
"Staten Island",1,0,0,0,0,0
"SHAH ALAM",0,0,0,0,1,0
"TOKYO",0,0,0,0,1,0
"Northeast",0,0,0,1,0,0
"Ronald Reagan WashingtonInternational Airport",0,0,0,0,1,0
"BROADWAY",0,0,0,0,1,0
"Middle America",0,0,1,0,0,0
"North",0,0,1,0,0,0
"Sukhumi",0,0,0,0,1,0
"PARIS",0,0,0,0,1,0
"BLANTYRE",0,0,0,0,1,0
"Middle Atlantic States",0,0,1,0,0,0
"the Renaissance Towerin Florence",0,0,1,0,0,0
"the Gulf of Mexico",0,0,1,0,0,0
"Krasnoyarsk",0,0,0,0,1,0
"Mentakab",0,0,0,0,1,0
"the District ofColumbia",0,0,1,0,0,0
"Europe",1,0,0,0,0,0
"Caspian",1,0,0,0,0,0
"BONN",0,0,0,0,1,0
"earth",0,0,0,0,1,0
"NaganoGames",0,0,1,0,0,0
"79th Street",0,0,0,0,1,0
"West",0,0,1,0,0,0
"Amsterdam",0,0,0,0,1,0
"milky way",0,0,0,0,1,0
"Nairobi",0,0,0,0,1,0
"Cascades",0,0,0,0,1,0
"GowanusExpressway",1,0,0,0,0,0
"Shoals",1,0,0,0,0,0
"South",0,0,1,0,0,0
"MALAYSIA",0,0,0,0,1,0
"Indian Wells",1,0,0,0,0,0
"Teluk Intan",0,0,0,0,1,0
*TOTAL*,31,2,19,11,90,0
