Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"theRegistrar of Companies",0,0,1,0,0,0
"University of Maryland",1,0,0,0,0,0
"Kramerbooks and Afterwords",0,0,0,0,1,0
"Red Brigades",1,0,0,0,0,0
"Selangor Malay Chamber of Commerceand Industry",1,0,0,0,0,0
"MIT",1,0,0,0,0,0
"China Democratic Justice Partystopped",0,0,1,0,0,0
"Moody's",0,0,0,0,1,0
"Wellswould",0,0,1,0,0,0
"Red Brigade",1,0,0,0,0,0
"NORSI",1,0,0,0,0,0
"Senate",1,0,0,0,0,0
"Yablocko Party",1,0,0,0,0,0
"Qradio,a",0,0,1,0,0,0
"NBC",1,0,0,0,0,0
"AmericanLeague",1,0,0,0,0,0
"Cardinal",0,1,0,0,0,0
"Federal National Mortgage Association",1,0,0,0,0,0
"Kuala Pilah",0,1,0,0,0,0
"Castle Rock Entertainment",1,0,0,0,0,0
"Standard&AMP; Poor's DRI",0,0,0,0,1,0
"IsuzuMotors Ltd",0,0,1,0,0,0
"Januaryto",0,0,0,1,0,0
"The Associated Press",1,0,0,0,0,0
"Qradio",1,0,0,0,0,0
"Trophy Lalique",0,0,0,1,0,0
"Moody 's",0,0,0,1,0,0
"Muthaiga Golf Club",0,0,0,0,1,0
"Hearst Corp",0,0,1,0,0,0
"theTankan",0,0,0,1,0,0
"Bastille Opera",0,0,0,0,1,0
"McGlashan AMP",0,0,0,1,0,0
"Talese / Doubleday",0,0,1,0,0,0
"HouseTransportation Committee",1,0,0,0,0,0
"TBWA Chiat/Day",0,0,0,0,1,0
"MTV",0,0,0,0,1,0
"Athletics",1,0,0,0,0,0
"Philip Morris Cos .",0,0,0,1,0,0
"Walter ThompsonNew York",0,0,1,0,0,0
"BBDOSouth",1,0,0,0,0,0
"Blantyre High Court",1,0,0,0,0,0
"VolkswagenAG",1,0,0,0,0,0
"Yoruba Sculptors",0,0,0,1,0,0
"Bill of Rights",0,0,0,1,0,0
"Hjelmeseth",0,1,0,0,0,0
"TargetCenter",0,0,0,0,1,0
"Christian Democratand",0,0,1,0,0,0
"S. Circuit Court of Appeals",0,0,1,0,0,0
"Moody 's Investors Service",0,0,0,1,0,0
"Things That Think and News in theFuture",0,0,1,0,0,0
"SwissNational Bank",1,0,0,0,0,0
"Metropolitan Museum of Art",0,0,0,0,1,0
"Treasury",1,0,0,0,0,0
"Plastikafactory",0,0,1,0,0,0
"MassachusettsInstitute of Technology",1,0,0,0,0,0
"Campaign to Save the Rosenbaum House",0,0,1,0,0,0
"Yankee",1,0,0,0,0,0
"SMITHSONIAN",0,0,0,0,1,0
"Open Text",1,0,0,0,0,0
"Price",0,1,0,0,0,0
"DDB Needham U",0,0,1,0,0,0
"Addis Wechsler AMP ; Associates",0,0,0,1,0,0
"Electronic Advertising andMarketplace Report",1,0,0,0,0,0
"Toys R '' Us",0,0,0,1,0,0
"General Electric Co",0,0,1,0,0,0
"National League",0,0,0,0,1,0
"Broadway'smusicians",0,0,0,1,0,0
"theSwiss National Bank",0,0,1,0,0,0
"University of Utah",1,0,0,0,0,0
"New Line Cinema",1,0,0,0,0,0
"Law ofthe Horse",0,0,0,1,0,0
"The WashingtonPost",1,0,0,0,0,0
