Entity,COR,INC,PAR,SPU,MIS,IGN
"DICAPRIO",0,1,0,0,0,0
"theRegistrar of Companies",0,0,1,0,0,0
"the Universityof Maryland",0,0,1,0,0,0
"Goldman , Sachs AMP",0,0,0,1,0,0
"Kramerbooks and Afterwords",0,0,0,0,1,0
"Selangor Malay Chamber of Commerceand Industry",1,0,0,0,0,0
"the Smithsonian Collection of Recordingscould",0,0,1,0,0,0
"the Kuantan Municipal Council",0,0,1,0,0,0
"Rep",0,0,1,0,0,0
"MIT",1,0,0,0,0,0
"NaganoGames",0,0,0,1,0,0
"Registrar",1,0,0,0,0,0
"Noble",0,0,1,0,0,0
"Wellswould",0,0,1,0,0,0
"the Paramount Motion Picture Group",0,0,1,0,0,0
"Red Brigade",1,0,0,0,0,0
"NORSI",1,0,0,0,0,0
"Senate",1,0,0,0,0,0
"Yablocko Party",1,0,0,0,0,0
"ROC",0,0,0,0,1,0
"theUniversity of Michigan 's",0,0,1,0,0,0
"the Clinton Administration",0,0,0,1,0,0
"TREASURY",1,0,0,0,0,0
"Russianstate television",0,0,0,1,0,0
"Qradio,a",0,0,1,0,0,0
"NBC",1,0,0,0,0,0
"AmericanLeague",1,0,0,0,0,0
"Cardinal",0,1,0,0,0,0
"acceptingMAS Catering 's",0,0,1,0,0,0
"Pepperdine",0,0,0,0,1,0
"the Communist Party",0,0,1,0,0,0
"Castle Rock Entertainment",1,0,0,0,0,0
"the South Koreangovernment",0,0,0,1,0,0
"IsuzuMotors Ltd",0,0,1,0,0,0
"the Cyberspace Law Institute",0,0,1,0,0,0
"The Associated Press",1,0,0,0,0,0
"Qradio",1,0,0,0,0,0
"Moody 's",0,0,0,1,0,0
"Muthaiga Golf Club",0,0,0,0,1,0
"Plastika",1,0,0,0,0,0
"Hearst Corp",0,0,1,0,0,0
"theTankan",0,0,0,1,0,0
"McGlashan AMP",0,0,0,1,0,0
"Talese / Doubleday",0,0,1,0,0,0
"the Royal Calcutta Golf Club",0,0,1,0,0,0
"anEnglish",0,0,0,1,0,0
"Athletics",1,0,0,0,0,0
"the House Transportation Committee",0,0,1,0,0,0
"N. Security Council",0,0,1,0,0,0
"Walter ThompsonNew York",0,0,1,0,0,0
"BBDOSouth",1,0,0,0,0,0
"Wellsclosed",0,0,1,0,0,0
"Blantyre High Court",1,0,0,0,0,0
