Entity,COR,INC,PAR,SPU,MIS,IGN
"Ore.",0,0,0,0,1,0
"Copenhagen",1,0,0,0,0,0
"Warsaw",1,0,0,0,0,0
"Japan's FinanceMinistry",0,0,1,0,0,0
"Israel",1,0,0,0,0,0
"Guyana",1,0,0,0,0,0
"Israel'sproposal",0,0,1,0,0,0
"erections",0,0,0,1,0,0
"LakeGeneva",0,0,0,0,1,0
"Paris",1,0,0,0,0,0
"Michael Leavitt of Utah",0,0,1,0,0,0
"Baltimore",1,0,0,0,0,0
"theSeventh Malaysia",0,0,1,0,0,0
"July12",0,1,0,0,0,0
"West Coast",0,0,0,1,0,0
"Nabatiyeh",1,0,0,0,0,0
"Sioux City , Iowa",0,0,1,0,0,0
"Silicon Valley",1,0,0,0,0,0
"Lake Michigan",1,0,0,0,0,0
"ofSmithsonian Press",0,0,0,1,0,0
"BELFAST",0,0,0,0,1,0
"Fla",0,0,1,0,0,0
"GowanusExpressway",0,0,0,0,1,0
"North Pole",0,0,0,0,1,0
"NewBrunswick",1,0,0,0,0,0
"California andwestern Oregon",0,0,1,0,0,0
"Somalia",1,0,0,0,0,0
"United",0,0,1,0,0,0
"Yugoslavia",1,0,0,0,0,0
"Ottawa",1,0,0,0,0,0
"Tiananmen Square",0,0,0,0,1,0
"Belle Plaine",1,0,0,0,0,0
"Plains",0,0,0,1,0,0
"overexposure",0,0,0,1,0,0
"Hon Choon Kim",0,0,0,1,0,0
"Little Rock's",0,0,1,0,0,0
"Koermend",1,0,0,0,0,0
"Tanjung",0,0,0,0,1,0
"Irish",0,0,1,0,0,0
"Hjelmeseth",0,1,0,0,0,0
"Santa Clara",1,0,0,0,0,0
"Albanian",0,0,1,0,0,0
"St",0,0,1,0,0,0
"Canada",1,0,0,0,0,0
"acoconut",0,0,0,1,0,0
"San aFriday",0,0,0,1,0,0
"CALCUTTA",1,0,0,0,0,0
"longview",0,0,0,1,0,0
"Tuesday's St",0,0,0,1,0,0
"Price",1,0,0,0,0,0
"Cuba",1,0,0,0,0,0
"Manhattan",1,0,0,0,0,0
"Siberia",0,0,0,0,1,0
"anexplosion",0,0,0,1,0,0
"presidentialelections",0,0,0,1,0,0
"Tenn",0,0,1,0,0,0
"Salt LakeCity",1,0,0,0,0,0
"TBILISI",1,0,0,0,0,0
"Budapest",1,0,0,0,0,0
"Britain",1,0,0,0,0,0
"Sumer",1,0,0,0,0,0
"SAN`A",0,0,0,0,1,0
"Beach",1,0,0,0,0,0
"easyobscurity",0,0,0,1,0,0
"toa",0,0,0,1,0,0
"BukitKemuning",0,0,1,0,0,0
"Des Moines",1,0,0,0,0,0
"Ife",1,0,0,0,0,0
"South America",1,0,0,0,0,0
"forcoffee",0,0,0,1,0,0
"Ceyhan",1,0,0,0,0,0
"Serbian",0,0,1,0,0,0
"Uganda",1,0,0,0,0,0
"Saigon",1,0,0,0,0,0
"Baku",1,0,0,0,0,0
"SHAH ALAM",0,0,0,0,1,0
"Memphis",1,0,0,0,0,0
"Washington",1,0,0,0,0,0
"thebuilding",0,0,0,1,0,0
"theall",0,0,0,1,0,0
"French Quarter",0,0,0,0,1,0
"toa French",0,0,0,1,0,0
"Russian",1,0,0,0,0,0
"Yaleis",0,0,0,1,0,0
"MuscleShoals",0,0,0,0,1,0
"Iowa",1,0,0,0,0,0
"Salt Lake",0,0,1,0,0,0
"Mall",0,0,0,0,1,0
"Bosnia",1,0,0,0,0,0
"N.Y.",0,0,0,0,1,0
"ofparliament",0,0,0,1,0,0
"Israel JERUSALEM",0,0,1,0,0,0
"theonetime",0,0,0,1,0,0
"Kuala Kemaman",0,0,0,0,1,0
"West",0,0,1,0,0,0
"LOS ANGELES",0,0,0,0,1,0
"thebreasts",0,0,0,1,0,0
"Rome",1,0,0,0,0,0
"Tyre",1,0,0,0,0,0
"Kuantan",1,0,0,0,0,0
"Dublin",1,0,0,0,0,0
"Lebanese",0,0,0,1,0,0
"Danish",0,0,0,1,0,0
"Alabama",1,0,0,0,0,0
"Ontario",1,0,0,0,0,0
"Clinton",0,1,0,0,0,0
"Rich",0,0,0,1,0,0
"N.M.",0,0,0,0,1,0
"Johor",1,0,0,0,0,0
"theheart",0,0,0,1,0,0
"Azerbaijan",0,0,0,0,1,0
"thecase",0,0,0,1,0,0
"Belle Epoque",0,0,0,1,0,0
"Klang",1,0,0,0,0,0
"Tuscumbia",1,0,0,0,0,0
"Besar",0,0,0,1,0,0
"theHouse",0,0,0,1,0,0
"South Africa",1,0,0,0,0,0
"Tokyo",1,0,0,0,0,0
"CAMBRIDGE",1,0,0,0,0,0
"Sidon",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"Hollywood",1,0,0,0,0,0
"Whitewater",0,0,0,1,0,0
"Scarsdale",1,0,0,0,0,0
"Baikonur",1,0,0,0,0,0
"Switzerland",1,0,0,0,0,0
"Oceania",1,0,0,0,0,0
"thegame",0,0,0,1,0,0
"Lebanon",1,0,0,0,0,0
"Montreal",0,0,0,0,1,0
"London",1,0,0,0,0,0
"New Orleans",1,0,0,0,0,0
"billings",0,0,0,1,0,0
"Perak",1,0,0,0,0,0
"theexplosion",0,0,0,1,0,0
"Moscow thatYeltsin",0,0,1,0,0,0
"University of North Alabama",0,1,0,0,0,0
"Kiriyenko",0,1,0,0,0,0
"Netherlands",1,0,0,0,0,0
"Banc",0,0,0,1,0,0
"Soviet Union",1,0,0,0,0,0
"peacekeepingoperation",0,0,0,1,0,0
"theWest",0,0,0,1,0,0
"NEW ORLEANS NEW ORLEANS",0,0,1,0,0,0
"Appalachians",0,0,0,0,1,0
"DUNBLANE",1,0,0,0,0,0
"thecenter",0,0,0,1,0,0
"New York City",1,0,0,0,0,0
"Hillsborough",1,0,0,0,0,0
"Cukai",1,0,0,0,0,0
"Boston",1,0,0,0,0,0
"privateinvestments",0,0,0,1,0,0
"anddied",0,0,0,1,0,0
"NAIROBI",1,0,0,0,0,0
"Singapore",1,0,0,0,0,0
"PresspassStadium",0,0,0,1,0,0
"OF LIMERICK",0,0,0,1,0,0
"Petersburg",0,0,1,0,0,0
"China",1,0,0,0,0,0
"Arlington , Va",0,0,1,0,0,0
"Eritrea",1,0,0,0,0,0
"Nagano",1,0,0,0,0,0
"Cheyenne",0,0,0,1,0,0
"whatis",0,0,0,1,0,0
"Charlotte",0,0,0,1,0,0
"San Francisco",1,0,0,0,0,0
"Peninsular Malaysia",0,0,1,0,0,0
"Soweida",0,0,0,0,1,0
"UTAH",1,0,0,0,0,0
"horizontalbands",0,0,0,1,0,0
"Southeast Asia",1,0,0,0,0,0
"Knin",1,0,0,0,0,0
"thesecond",0,0,0,1,0,0
"Angeles",0,0,1,0,0,0
"Nizhny Novgorod's",0,0,1,0,0,0
"aresidential",0,0,0,1,0,0
"San Mateo",1,0,0,0,0,0
"Denmark",1,0,0,0,0,0
"Serbs",0,0,0,1,0,0
"San`a",0,0,0,0,1,0
"Krasnoyarski Krai",0,1,0,0,0,0
"New England",1,0,0,0,0,0
"Ireland",1,0,0,0,0,0
"Caspian",0,0,0,0,1,0
"Credit Suisse First Boston",0,1,0,0,0,0
"Atlantic States",0,0,1,0,0,0
"Lakes",0,0,1,0,0,0
"publicand",0,0,0,1,0,0
"committeewould",0,0,0,1,0,0
"Lebed'sname",0,0,0,1,0,0
"Oakland",1,0,0,0,0,0
"Cross",0,0,0,1,0,0
"Kosovo",1,0,0,0,0,0
"potomac",0,0,0,1,0,0
"particularinhibiting",0,0,0,1,0,0
"Hutuextremists",0,0,0,1,0,0
"theRev",0,0,0,1,0,0
"Terengganuthat's",0,0,1,0,0,0
"Serbia",1,0,0,0,0,0
"Serbroyalty",0,0,0,1,0,0
"Americas",1,0,0,0,0,0
"MOSCOW",1,0,0,0,0,0
"Mogadishuin",0,0,1,0,0,0
"Garantia",0,1,0,0,0,0
"Tyler , Texas",0,0,1,0,0,0
"Beijing",1,0,0,0,0,0
"Lufkin",0,0,0,1,0,0
"California",1,0,0,0,0,0
"Los Angeles",1,0,0,0,0,0
"Scotland",1,0,0,0,0,0
"forstorytellers",0,0,0,1,0,0
"Dupont",0,0,1,0,0,0
"Brooklyn",1,0,0,0,0,0
"Reston , Va",0,0,1,0,0,0
"Zion",0,0,0,1,0,0
"Parislast",0,0,1,0,0,0
"Norway",1,0,0,0,0,0
"Mentakab",0,0,0,0,1,0
"FLORENCE",1,0,0,0,0,0
"Oneida",0,0,1,0,0,0
"dictatorMohamed Siad Barre",0,0,0,1,0,0
"Hardon",0,0,0,0,1,0
"earth",0,0,0,0,1,0
"India",1,0,0,0,0,0
"Baalbek",1,0,0,0,0,0
"NewYork",1,0,0,0,0,0
"NationalConvention Assembly",0,1,0,0,0,0
"Italian",0,0,0,1,0,0
"Novgorod",0,0,1,0,0,0
"Florida",1,0,0,0,0,0
"thecountry's",0,0,0,1,0,0
"NorthPacific",0,0,0,0,1,0
"Amsterdam",0,0,0,0,1,0
"milky way",0,0,0,0,1,0
"Nairobi",0,0,0,0,1,0
"Brisbane",1,0,0,0,0,0
"Zurich",1,0,0,0,0,0
"thefall",0,0,0,1,0,0
"thenaysayers",0,0,0,1,0,0
"Jordanian",0,0,0,1,0,0
"Hamptons",0,0,0,0,1,0
"Cognac",0,0,0,1,0,0
"Congo",1,0,0,0,0,0
"Anaheim",0,0,0,0,1,0
"NPR's Washington",0,0,1,0,0,0
"United Nations",0,1,0,0,0,0
"R Buffalo",0,0,1,0,0,0
"theaward",0,0,0,1,0,0
"Geneva",1,0,0,0,0,0
"Nazi",0,1,0,0,0,0
"NewYork City",1,0,0,0,0,0
"themask",0,0,0,1,0,0
"Burundi",1,0,0,0,0,0
"GGT",0,1,0,0,0,0
"Waterford",0,0,0,0,1,0
"Georgetown",1,0,0,0,0,0
"France",1,0,0,0,0,0
"illegalprofits",0,0,0,1,0,0
"hisdecision",0,0,0,1,0,0
"Kazakstan",0,0,0,0,1,0
"DETROIT",1,0,0,0,0,0
"Intan",0,0,1,0,0,0
"Laos",1,0,0,0,0,0
"panna",0,0,0,1,0,0
"Calif",0,0,1,0,0,0
"American",0,0,1,0,0,0
"Gulf of Mexico",1,0,0,0,0,0
"Italy",1,0,0,0,0,0
"Somali",0,0,1,0,0,0
"thenext",0,0,0,1,0,0
"Harbin",1,0,0,0,0,0
"WASHINGTON",1,0,0,0,0,0
"Nigeria",1,0,0,0,0,0
"thelocal",0,0,0,1,0,0
"Albania",1,0,0,0,0,0
"Korea",0,0,0,0,1,0
"thecourthouse",0,0,0,1,0,0
"Atlanta",1,0,0,0,0,0
"thedecision",0,0,0,1,0,0
"Black Sea",0,0,0,0,1,0
"Utica",1,0,0,0,0,0
"barged",0,0,0,1,0,0
"theornate St",0,0,0,1,0,0
"D Maine",0,0,1,0,0,0
"Swiss",0,0,0,1,0,0
"Changchun",1,0,0,0,0,0
"Ise",1,0,0,0,0,0
"Kamukunji Grounds",0,0,0,0,1,0
"Georgia",1,0,0,0,0,0
"itscorporatisation",0,0,0,1,0,0
"Arctic Circle",0,0,0,0,1,0
"Jalan Gambus",1,0,0,0,0,0
"Slavonia",0,0,1,0,0,0
"League of",0,0,0,1,0,0
"courtsettlement",0,0,0,1,0,0
"Malaysia",1,0,0,0,0,0
"Hull",1,0,0,0,0,0
"Sarawak",1,0,0,0,0,0
"El Nino",0,0,0,1,0,0
"Ark.",0,0,0,0,1,0
"Nurnberg",1,0,0,0,0,0
"Portugal",0,0,0,0,1,0
"Washington Monument",0,0,0,0,1,0
"Quebec",1,0,0,0,0,0
"GEORGETOWN",1,0,0,0,0,0
"1,000for",0,0,0,1,0,0
"Bronx",1,0,0,0,0,0
"VATICAN CITY",0,0,0,0,1,0
"EU",0,1,0,0,0,0
"policesaid",0,0,0,1,0,0
"Norwegian",0,0,0,1,0,0
"Arkansas",1,0,0,0,0,0
"Va.",0,0,0,0,1,0
"Kramerbooks",0,1,0,0,0,0
"Malacca",1,0,0,0,0,0
"Ponte",0,0,0,1,0,0
"Russia",1,0,0,0,0,0
"Croatia",1,0,0,0,0,0
"Africa",1,0,0,0,0,0
"Hungary",1,0,0,0,0,0
"Staten",0,0,1,0,0,0
"Pahang",1,0,0,0,0,0
"Virginia",0,0,0,0,1,0
"thegym",0,0,0,1,0,0
"Seattle",1,0,0,0,0,0
"Nazi Germany",0,0,1,0,0,0
"anorganization",0,0,0,1,0,0
"Castel Gandolfo",1,0,0,0,0,0
"RutgersUniversity",0,1,0,0,0,0
"Kenya",1,0,0,0,0,0
"Buffalo",1,0,0,0,0,0
"MALAYSIA",1,0,0,0,0,0
"thattime",0,0,0,1,0,0
"thefuture",0,0,0,1,0,0
"Tampa",0,0,0,0,1,0
"Italy ROME",0,0,1,0,0,0
"Serb",0,0,1,0,0,0
"Nevada",1,0,0,0,0,0
"Marlboro ,",0,0,1,0,0,0
"OSLO",0,0,0,0,1,0
"Krasnoyarsk",0,0,0,0,1,0
"inColumbus , Ohio",0,0,1,0,0,0
"Sojod",1,0,0,0,0,0
"Lake Arrowhead",1,0,0,0,0,0
"Rwanda",1,0,0,0,0,0
"Europe",1,0,0,0,0,0
"BUDAPEST",1,0,0,0,0,0
"alawyer",0,0,0,1,0,0
"Mass.",0,0,0,0,1,0
"BONN",0,0,0,0,1,0
"COPENHAGEN",1,0,0,0,0,0
"Bahia",0,0,0,1,0,0
"Carbon County",1,0,0,0,0,0
"Holland",1,0,0,0,0,0
"Hadatha",0,0,0,0,1,0
"thisthinking",0,0,0,1,0,0
"United States",1,0,0,0,0,0
"Pak",0,0,0,1,0,0
"BEIRUT",1,0,0,0,0,0
"Salt Lake City",1,0,0,0,0,0
"theUnited States",0,0,1,0,0,0
"Massachusetts",1,0,0,0,0,0
"itwants Washington",0,0,1,0,0,0
"Central",0,0,1,0,0,0
"Indian Wells",1,0,0,0,0,0
"Turkey",1,0,0,0,0,0
"inJacksonville",0,0,1,0,0,0
"theprice",0,0,0,1,0,0
"Belgian",0,0,0,1,0,0
"Irish Republic",1,0,0,0,0,0
"Ala",0,0,1,0,0,0
"Santa Fe",0,0,0,0,1,0
"Moscow",1,0,0,0,0,0
