Entity,COR,INC,PAR,SPU,MIS,IGN
"The Security",0,0,0,1,0,0
"Chicago",0,1,0,0,0,0
"FDCH",0,0,1,0,0,0
"theUnited",0,0,0,1,0,0
"firecracker",0,0,0,1,0,0
"University of Maryland",1,0,0,0,0,0
"Kramerbooks and Afterwords",0,0,0,0,1,0
"Red Brigades",1,0,0,0,0,0
"Rockies",0,1,0,0,0,0
"Crescent",0,0,1,0,0,0
"MIT",1,0,0,0,0,0
"Israel",0,1,0,0,0,0
"Hyperion",0,0,0,0,1,0
"Moody's Investors Service",1,0,0,0,0,0
"Italy ROME AP",0,0,1,0,0,0
"Moody's",0,0,0,0,1,0
"Smithsonian Productions",0,0,1,0,0,0
"fromNorthern Ireland",0,0,0,1,0,0
"Red Brigade",1,0,0,0,0,0
"Senate",1,0,0,0,0,0
"Fox",0,0,1,0,0,0
"Yablocko Party",1,0,0,0,0,0
"Swiss",0,0,1,0,0,0
"NBC",1,0,0,0,0,0
"Federal National Mortgage Association",1,0,0,0,0,0
"Nordic",0,0,0,1,0,0
"Pepperdine",0,0,0,0,1,0
"Kuala Pilah",0,1,0,0,0,0
"IsuzuMotors Ltd",0,0,1,0,0,0
"WHO",0,0,0,1,0,0
"Beatles",1,0,0,0,0,0
"Associates",0,0,1,0,0,0
"atthe",0,0,0,1,0,0
"New",0,0,1,0,0,0
"Hearst Corp",0,0,1,0,0,0
"1927and",0,0,0,1,0,0
"theshooting",0,0,0,1,0,0
"United",0,0,1,0,0,0
"Addis Wechsler AMP",0,0,0,1,0,0
"Holmenkollen",0,1,0,0,0,0
"Athletics",1,0,0,0,0,0
"Smithsonian Books",0,0,0,0,1,0
"MTI",0,0,0,0,1,0
"thecheapest",0,0,0,1,0,0
"Excite",0,0,0,0,1,0
"Petersburg's",0,0,0,1,0,0
"theonetime Madison Avenue",0,0,0,1,0,0
"Irish",0,0,1,0,0,0
"TargetCenter",0,0,0,0,1,0
"Preservation",0,0,1,0,0,0
"Nazis",1,0,0,0,0,0
"Corriere della Sera",0,0,0,0,1,0
"SwissNational Bank",1,0,0,0,0,0
"Eisenhower Medical Center",1,0,0,0,0,0
"The Legend",0,0,0,0,1,0
"Treasury",1,0,0,0,0,0
"Corrieredella Sera",0,0,0,0,1,0
"Yankee",1,0,0,0,0,0
"Wrigley Field",0,0,0,1,0,0
"TinyLister",0,1,0,0,0,0
"General Electric Co",0,0,1,0,0,0
"theSwiss National Bank",0,0,1,0,0,0
"Supreme",0,0,1,0,0,0
"University of Utah",1,0,0,0,0,0
"Ronald Reagan WashingtonInternational Airport",0,1,0,0,0,0
"Hungary AP",0,0,1,0,0,0
"McGlashan &AMP; Sarrail",0,0,0,0,1,0
"HEERENVEEN",0,1,0,0,0,0
"Rock Entertainment",0,0,1,0,0,0
"LaborStatistics",0,0,1,0,0,0
"Selangor Malay Chamber",0,0,1,0,0,0
"Hertz",1,0,0,0,0,0
"American Federation of Musicians",0,0,1,0,0,0
"Guyana AP",0,0,1,0,0,0
"Duff AMP",0,0,0,1,0,0
"SmithsonianInstitution",0,0,0,0,1,0
"Protestant Ulster Unionist Party",0,0,1,0,0,0
"Radisson",0,0,1,0,0,0
"MetropolitanMuseum",0,0,0,0,1,0
"Texas andOklahoma",0,0,0,1,0,0
"Games",0,0,0,1,0,0
"Security Council",1,0,0,0,0,0
"TV",0,0,1,0,0,0
"kk",0,0,1,0,0,0
"Dallas",0,1,0,0,0,0
"Scotland AP",0,0,1,0,0,0
"thebudget",0,0,0,1,0,0
"GeneralAssembly",0,0,0,0,1,0
"Control",0,0,1,0,0,0
"British",0,0,1,0,0,0
"Hamas",1,0,0,0,0,0
"Tambun",0,1,0,0,0,0
"Barnett Capital Advisors Inc",0,0,1,0,0,0
"ata",0,0,1,0,0,0
"University of Miami",1,0,0,0,0,0
"GBQC",0,0,0,0,1,0
"Washington",0,1,0,0,0,0
"theNational Association of Home Builders",0,0,1,0,0,0
"Polish Solidarity union",0,0,1,0,0,0
"titans",0,0,0,1,0,0
"Ford",1,0,0,0,0,0
"Red Cross",1,0,0,0,0,0
"Russian",0,1,0,0,0,0
"National Trust",0,0,1,0,0,0
"Home Box Office",0,0,0,0,1,0
"APW19980424",0,0,1,0,0,0
"NATIONAL",0,0,1,0,0,0
"Commonwealth Games",0,0,1,0,0,0
"Metropolitan Opera",1,0,0,0,0,0
"United Engineers Malaysia",1,0,0,0,0,0
"Hertz Corp",0,0,1,0,0,0
"El Nino drivenrain",0,0,0,1,0,0
"National Capital",0,0,1,0,0,0
"Union Bank ofSwitzerland",1,0,0,0,0,0
"Bookswas",0,0,0,1,0,0
"Communist",1,0,0,0,0,0
"Georgia AP",0,0,1,0,0,0
"of Economic Advisers",0,0,1,0,0,0
"maturities",0,0,0,1,0,0
"Sony Corp",0,0,1,0,0,0
"University",0,0,1,0,0,0
"Bastille Opera",1,0,0,0,0,0
"British Empire",0,0,0,1,0,0
"National Federation of Independent Business",1,0,0,0,0,0
"Scribner",0,0,0,0,1,0
"Volkswagen",0,0,0,0,1,0
"ThePlayers",0,0,0,1,0,0
"Louvre",0,0,0,0,1,0
"BIG",0,0,0,1,0,0
"SatydeoSawh",0,1,0,0,0,0
"Kenya AP",0,0,1,0,0,0
"New York Stock Exchange",1,0,0,0,0,0
"WHYY",0,0,0,0,1,0
"Workers",0,0,0,1,0,0
"Georgia-Pacific",0,0,0,0,1,0
"theState University",0,0,0,1,0,0
"Golf",0,0,1,0,0,0
"KPMG PeatMarwick",1,0,0,0,0,0
"Folkways",1,0,0,0,0,0
"Social Democrats",1,0,0,0,0,0
"Consumer Affairs",0,0,0,1,0,0
"Malaysia Airlines",1,0,0,0,0,0
"theNational Bank",0,0,1,0,0,0
"Government",0,0,1,0,0,0
"Metropolitan Museum of Art",1,0,0,0,0,0
"Dow Jones Industrial",0,0,1,0,0,0
"Museum of Canadian",0,0,1,0,0,0
"Republicans",1,0,0,0,0,0
"P&AMP;G",0,0,0,0,1,0
"billings",0,0,0,1,0,0
"Credit Suisse First",0,0,1,0,0,0
"CUP",0,0,0,1,0,0
"theCanadian Museum of Civilization",0,0,1,0,0,0
"SMITHSONIAN",1,0,0,0,0,0
"Open Text",0,0,0,0,1,0
"League of AmericanProducers",0,0,1,0,0,0
"Hamptons",0,1,0,0,0,0
"Recordingscould",0,0,0,1,0,0
"Stores",0,0,1,0,0,0
"LittleRock Media Consortium",1,0,0,0,0,0
"avery",0,0,0,1,0,0
"withresolution",0,0,0,1,0,0
"Gamble",0,0,1,0,0,0
"SouthAfrican Broadcasting Corp",0,0,1,0,0,0
"Electronic Frontier Foundation",1,0,0,0,0,0
"American University",1,0,0,0,0,0
"hiscampaign",0,0,0,1,0,0
"allegedlyinsulting",0,0,0,1,0,0
"The WashingtonPost",0,0,0,0,1,0
"Guinness",1,0,0,0,0,0
"News Corp",0,0,1,0,0,0
"DavidWells",0,1,0,0,0,0
"Heritage Foundation",1,0,0,0,0,0
"Capital Markets",0,0,1,0,0,0
"Congress",1,0,0,0,0,0
"Opposition",0,0,0,0,1,0
"Kuantan Municipal",0,0,1,0,0,0
"Fresh",0,0,0,1,0,0
"World Trade Center",0,0,0,1,0,0
"Water Transport Engineering",0,0,1,0,0,0
"theTransportation",0,0,0,1,0,0
"Werner Herzog Filmproduktion",0,0,0,0,1,0
"Salomon Smith Barney",0,0,0,0,1,0
"Kremlin",0,0,0,0,1,0
"Society",0,0,1,0,0,0
"Nagano",0,1,0,0,0,0
"Chieftains",0,0,0,0,1,0
"Robert Wood Johnson Medical",0,0,1,0,0,0
"San Francisco",0,1,0,0,0,0
"Young Communist League",1,0,0,0,0,0
"Knicks",1,0,0,0,0,0
"British Museum",1,0,0,0,0,0
"Korea",0,1,0,0,0,0
"New York Medical Center",1,0,0,0,0,0
"Lufkin AMP",0,0,0,1,0,0
