Entity,COR,INC,PAR,SPU,MIS,IGN
"thelocal museum of natural history",0,0,0,0,0,1
"turtlesanctuary",0,0,0,0,0,1
"Cheyenne",0,0,0,0,0,1
"the al Khair Mosque",0,0,0,0,0,1
"11:07:00 Underground",0,0,0,0,0,1
"the International Tennis Center",0,0,0,0,0,1
"coldfront",0,0,0,0,0,1
"21:49:00",0,0,0,0,0,1
"Broadway",0,1,0,0,0,0
"11:49:00",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"the WestSide Highway",0,0,0,0,0,1
"theSmithsonian Collection of Recordings",0,0,0,0,0,1
"in1976",0,0,0,0,0,1
"White House",0,1,0,0,0,0
"Belle Epoque",0,0,0,0,0,1
"Mall",0,1,0,0,0,0
"newWoody Allen",0,0,0,0,0,1
"San Francisco SanJose",0,0,0,0,0,1
"Pechstein",0,1,0,0,0,0
"overallrelationship",0,0,0,0,0,1
"The Legend Resort",0,1,0,0,0,0
"Society",0,0,0,0,0,1
"aresidential street",0,0,0,0,0,1
"Cajunaccordion",0,0,0,0,0,1
"thirdround",0,0,0,0,0,1
"Del Ponte",0,1,0,0,0,0
"Capitol",0,1,0,0,0,0
"Usonian Houses",0,0,0,0,0,1
"theornate St. Catherine Hall",0,0,0,0,0,1
"Fridaynight",0,0,0,0,0,1
"Wrigley Field",0,0,0,0,0,1
"the Bastille Opera",0,0,0,0,0,1
"Israeliforces",0,0,0,0,0,1
"theonetime Madison Avenue",0,0,0,0,0,1
"The Grand Concourse",0,0,0,0,0,1
"theWashington Monument",0,0,0,0,0,1
"the newSwiss Garden",0,0,0,0,0,1
"79th Street",0,1,0,0,0,0
"MOSCOW AP _ Fire",0,0,0,0,0,1
"the White House",0,0,0,0,0,1
"Bistro",0,1,0,0,0,0
"Camden Yards",0,0,0,0,0,1
"Continental Arena",0,0,0,0,0,1
"Vatican",0,1,0,0,0,0
"St. Patrick's",0,0,0,0,0,1
"harbor bridge",0,0,0,0,0,1
"Jalan BukitKemuning",0,1,0,0,0,0
"the Metropolitan Opera",0,0,0,0,0,1
"Ilesha",0,1,0,0,0,0
"Hamptons",0,1,0,0,0,0
"BBDO South",0,1,0,0,0,0
"the Kamukunji Grounds",0,0,0,0,0,1
"WRIGLEY CHICAGO",0,0,0,0,0,1
"Thialf ice stadium",0,1,0,0,0,0
"Houston Street",0,1,0,0,0,0
*TOTAL*,0,17,0,0,0,39
