Entity,COR,INC,PAR,SPU,MIS,IGN
"theMediterranean",0,0,0,0,0,1
"Blackfoot",0,0,0,0,0,1
"Arabs",0,0,0,0,0,1
"Germans",0,0,0,0,0,1
"Yugoslav",0,0,0,0,0,1
"Swiss",0,0,0,0,0,1
"twoCatholic",0,0,0,0,0,1
"KosovoAlbanians",0,0,0,0,0,1
"Nazi",0,1,0,0,0,0
"English",0,0,0,0,0,1
"Ojibwa",0,0,0,0,0,1
"Jews",0,0,0,0,0,1
"10:41:00",0,0,0,0,0,1
"forstorytellers",0,0,0,0,0,1
"justfine",0,0,0,0,0,1
"Hutus",0,0,0,0,0,1
"MiddleAtlantic",0,0,0,0,0,1
"Somali",0,0,0,0,0,1
"Dutchie",0,1,0,0,0,0
"Victorians",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"Siberian",0,0,0,0,0,1
"11:33:00",0,0,0,0,0,1
"Kenyans",0,0,0,0,0,1
"Jewish Catholic",0,0,0,0,0,1
"Indian",0,0,0,0,0,1
"Italian",0,0,0,0,0,1
"aWagnerian",0,0,0,0,0,1
"Catholics",0,0,0,0,0,1
"Jewishgroups",0,0,0,0,0,1
"Democrat",0,0,0,0,0,1
"theEuropean",0,0,0,0,0,1
"lawin",0,0,0,0,0,1
"Norwegian",0,0,0,0,0,1
"pleasemusicians",0,0,0,0,0,1
"Plastika",0,1,0,0,0,0
"South American",0,0,0,0,0,1
"theUsonian",0,0,0,0,0,1
"Western",0,0,0,0,0,1
"Irish",0,0,0,0,0,1
"African Americans",0,0,0,0,0,1
"theAmerican",0,0,0,0,0,1
"Kosovo Serbs",0,0,0,0,0,1
"Santhi",0,1,0,0,0,0
"Norwegians",0,0,0,0,0,1
"Lebanese",0,0,0,0,0,1
"American",0,0,0,0,0,1
"communist",0,1,0,0,0,0
"crimeuses Swiss",0,0,0,0,0,1
"Christian",0,0,0,0,0,1
"Jordanian",0,0,0,0,0,1
"Albanian",0,0,0,0,0,1
"Republican",0,0,0,0,0,1
"Swedish",0,0,0,0,0,1
"Protestants",0,0,0,0,0,1
"Russians",0,0,0,0,0,1
"goverment",0,0,0,0,0,1
"Israeli",0,0,0,0,0,1
"Africans",0,0,0,0,0,1
"Klansmen",0,0,0,0,0,1
"multidisciplinarydilettantism",0,0,0,0,0,1
"Asian",0,0,0,0,0,1
"Parisian",0,0,0,0,0,1
"Israelites",0,0,0,0,0,1
"JAPANESE",0,0,0,0,0,1
"Nazis",0,1,0,0,0,0
"Serbroyalty",0,0,0,0,0,1
"21:43:00",0,0,0,0,0,1
"Indonesian",0,0,0,0,0,1
"Democratic",0,0,0,0,0,1
"Yankee",0,1,0,0,0,0
"Nordic",0,0,0,0,0,1
"rapiddomestic",0,0,0,0,0,1
"Amazonian",0,0,0,0,0,1
"a Native American",0,0,0,0,0,1
"numerousother Yoruba",0,0,0,0,0,1
"Westernobsession",0,0,0,0,0,1
"Muslim",0,0,0,0,0,1
"Hequotes",0,0,0,0,0,1
"Celtic",0,0,0,0,0,1
"Central Asian",0,0,0,0,0,1
"byDemocratic",0,0,0,0,0,1
"Cajun",0,0,0,0,0,1
"18:35:00",0,0,0,0,0,1
"Croats",0,0,0,0,0,1
"Kenyan",0,0,0,0,0,1
"Albanians",0,0,0,0,0,1
"Palestinian",0,0,0,0,0,1
"Semites",0,0,0,0,0,1
"incrementalists",0,0,0,0,0,1
"French",0,0,0,0,0,1
"loathto",0,0,0,0,0,1
"Canadian",0,0,0,0,0,1
"Thai",0,0,0,0,0,1
"nationalist",0,1,0,0,0,0
"Saharan African",0,0,0,0,0,1
"Jewish",0,0,0,0,0,1
"Catholic",0,0,0,0,0,1
"saleby",0,0,0,0,0,1
"Danish",0,0,0,0,0,1
"German",0,0,0,0,0,1
"Japanese",0,0,0,0,0,1
"Israelicities",0,0,0,0,0,1
"theChristian Democrat",0,0,0,0,0,1
"Croat",0,0,0,0,0,1
"apsychosomatic",0,0,0,0,0,1
"toPepperdine",0,0,0,0,0,1
"Belgian",0,0,0,0,0,1
"APW19980424",0,0,0,0,0,1
"programcan",0,0,0,0,0,1
"theInternet",0,0,0,0,0,1
"Hutu",0,0,0,0,0,1
"Corrieredella",0,0,0,0,0,1
"JEWS",0,0,0,0,0,1
"Indians",0,0,0,0,0,1
"African",0,0,0,0,0,1
"Yoruba",0,0,0,0,0,1
"anotheris",0,0,0,0,0,1
"Muslims",0,0,0,0,0,1
"Somalis",0,0,0,0,0,1
"South African",0,0,0,0,0,1
"democratic",0,0,0,0,0,1
"Serbian",0,0,0,0,0,1
"Russian",0,1,0,0,0,0
"Themore",0,0,0,0,0,1
"British",0,0,0,0,0,1
"Americans",0,0,0,0,0,1
"Victorian",0,0,0,0,0,1
"Nigerian",0,0,0,0,0,1
"Greek",0,0,0,0,0,1
"European",0,0,0,0,0,1
"Serbs",0,0,0,0,0,1
"Sumerians",0,0,0,0,0,1
"Baalbek",0,1,0,0,0,0
"andFrench",0,0,0,0,0,1
"N. D.",0,0,0,0,0,1
"Soviet",0,0,0,0,0,1
"Christians",0,0,0,0,0,1
"South Korean",0,0,0,0,0,1
"Mesopotamian",0,0,0,0,0,1
"Protestant",0,0,0,0,0,1
"Israelis",0,0,0,0,0,1
"Serb",0,0,0,0,0,1
"Creole",0,0,0,0,0,1
"Iranian",0,0,0,0,0,1
"Polish",0,0,0,0,0,1
"Celts",0,0,0,0,0,1
"Dutch",0,0,0,0,0,1
"thelower",0,0,0,0,0,1
"Communist",0,1,0,0,0,0
"Communists",0,1,0,0,0,0
"Argentine",0,0,0,0,0,1
"15:11:00 Russian",0,0,0,0,0,1
"Chinese",0,0,0,0,0,1
"Democrats",0,0,0,0,0,1
"Wagnerians",0,0,0,0,0,1
"Mormon",0,0,0,0,0,1
"mostdramatic",0,0,0,0,0,1
"theAssyrians",0,0,0,0,0,1
"Babylonians",0,0,0,0,0,1
"Syrian",0,0,0,0,0,1
*TOTAL*,0,13,0,0,0,148
