Entity,COR,INC,PAR,SPU,MIS,IGN
"CLINTON",1,0,0,0,0,0
"Justin Wilson",1,0,0,0,0,0
"Magnus Gustafsson",1,0,0,0,0,0
"The Man in the Iron Mask",0,0,0,1,0,0
"enoughbreakneck",0,0,0,1,0,0
"Michael Leavitt",1,0,0,0,0,0
"A.J. Johnson",0,0,0,0,1,0
"Caym",0,0,0,0,1,0
"Sani Abacha",1,0,0,0,0,0
"Erling Jevne",0,0,0,0,1,0
"Judy West",1,0,0,0,0,0
"TomGullikson",0,0,0,0,1,0
"Agassi",1,0,0,0,0,0
"Lorne Michaels",1,0,0,0,0,0
"thesmoke",0,0,0,1,0,0
"Weston",1,0,0,0,0,0
"MEISTERSINGER VON NURNBERG'",0,0,0,1,0,0
"A. J. C.",0,0,0,1,0,0
"Angela",1,0,0,0,0,0
"Arabianpeninsula",0,0,0,1,0,0
"Husni",1,0,0,0,0,0
"Prokurorov",1,0,0,0,0,0
"Romeo",0,0,0,0,1,0
"Louis XIV",0,0,0,0,1,0
"Rechnio",0,0,0,0,1,0
"Simeon Nyachaedelayed",0,0,1,0,0,0
"radioquoted Eli Bin",0,0,1,0,0,0
"Levine",1,0,0,0,0,0
"Wellswould",0,0,1,0,0,0
"Bess",1,0,0,0,0,0
"Kenneth Matiba",0,0,0,0,1,0
"aman",0,0,1,0,0,0
"Buechner",0,0,0,0,1,0
"Pepper Schwartz",1,0,0,0,0,0
"10:55:00",0,0,0,1,0,0
"mein",0,0,0,1,0,0
"XL",0,0,0,0,1,0
"Jay Leno",0,0,0,0,1,0
"Dan Burk",1,0,0,0,0,0
"Durbaba",1,0,0,0,0,0
"Andreotti",0,0,0,0,1,0
"Samuelson",1,0,0,0,0,0
"Felix",0,0,1,0,0,0
"VicePresident Al Gore",0,0,1,0,0,0
"Joseph Jacobson",1,0,0,0,0,0
"itinerantblack",0,0,0,1,0,0
"Wendy White",1,0,0,0,0,0
"Bill Gross",1,0,0,0,0,0
"laughor",0,0,0,1,0,0
"Datuk Hashim Meon orto",0,0,1,0,0,0
"Jack Ablin",1,0,0,0,0,0
"Cardinal",1,0,0,0,0,0
"Winslet",1,0,0,0,0,0
"Charles Johnson",1,0,0,0,0,0
"Ryutaro Hashimoto",1,0,0,0,0,0
"exposurein",0,0,0,1,0,0
"hiswidow",0,0,0,1,0,0
"G. Selvakumar",0,0,0,1,0,0
"Julia Chepalova",1,0,0,0,0,0
"havealready",0,0,0,1,0,0
"singlemom",0,0,0,1,0,0
"John Wren",0,0,0,0,1,0
"YevgenyKafelnikov",1,0,0,0,0,0
"Firoz Ali",1,0,0,0,0,0
"Douglas",1,0,0,0,0,0
"Januaryto",0,0,0,1,0,0
"Patrick",0,0,1,0,0,0
"Clintons",1,0,0,0,0,0
"Ice Cube",0,0,0,0,1,0
"saidit",0,0,0,1,0,0
"David Cone",1,0,0,0,0,0
"televisionprograms",0,0,0,1,0,0
"Christoph Langenkamp",0,0,0,0,1,0
"Beatles",0,1,0,0,0,0
"Bill Gates",1,0,0,0,0,0
"Humphrey Bogart",1,0,0,0,0,0
"Themain",0,0,0,1,0,0
"DiCaprio",1,0,0,0,0,0
"Celine Dion",0,0,0,0,1,0
"Dieter Dengler",1,0,0,0,0,0
"Roberto Sighel",1,0,0,0,0,0
"JamieFoxx Blue",0,0,1,0,0,0
"Adam Clayton Powell III",0,0,0,0,1,0
"Thecenter",0,0,0,1,0,0
"politicsmakes",0,0,0,1,0,0
"Ian Woosnam",1,0,0,0,0,0
"Mitchell",1,0,0,0,0,0
"U.",0,0,0,1,0,0
"LisaRaye Diamond",0,0,1,0,0,0
"Dewan",0,0,0,1,0,0
"RonaldReagan",1,0,0,0,0,0
"K.C.",0,0,0,0,1,0
"skatingpersonal",0,0,0,1,0,0
"Washington bureauchief",0,0,0,1,0,0
"Carl Craig",1,0,0,0,0,0
"Jonathan Zittrain",1,0,0,0,0,0
"we'renot",0,0,0,1,0,0
"hasalready",0,0,0,1,0,0
"Michael",1,0,0,0,0,0
"Suchissues",0,0,0,1,0,0
"thejudge",0,0,0,1,0,0
"Jihan El-Tahri",0,0,0,0,1,0
"Dieter",1,0,0,0,0,0
"Anthony Chan",1,0,0,0,0,0
"Beckmesser",0,0,0,0,1,0
"O'Neill",0,0,1,0,0,0
"advisedhim",0,0,0,1,0,0
"Wellsclosed",0,0,1,0,0,0
"Ronnie",0,0,0,0,1,0
"Lawrence Lessig",0,0,0,0,1,0
"Kivutha Kibwana",1,0,0,0,0,0
"Trevor Boddy",1,0,0,0,0,0
"Anita Moen-Guidon",0,0,0,0,1,0
"Chaym",1,0,0,0,0,0
"Alain Dejammet",1,0,0,0,0,0
"Charles Merrill",1,0,0,0,0,0
"Hjelmeseth",1,0,0,0,0,0
"Shakespeare",1,0,0,0,0,0
"localauthorities",0,0,0,1,0,0
"shouldgo",0,0,0,1,0,0
"FranceDavis",0,0,0,0,1,0
"11:55:00",0,0,0,1,0,0
"Fagbite Asamu",1,0,0,0,0,0
"thanI",0,0,0,1,0,0
"howoften",0,0,0,1,0,0
"Mchami",1,0,0,0,0,0
"weknew",0,0,0,1,0,0
"Stanley Levison",1,0,0,0,0,0
"Terry Gross",1,0,0,0,0,0
"Naomi Campbell",1,0,0,0,0,0
"ViktorChernomyrdin",1,0,0,0,0,0
"metersin",0,0,0,1,0,0
"Tony Blair",0,0,0,0,1,0
"thegovernment",0,0,0,1,0,0
"Wan Yeh Mahmood",1,0,0,0,0,0
"Wright",1,0,0,0,0,0
"tostop",0,0,0,1,0,0
"willstill",0,0,0,1,0,0
"thethree dimensional",0,0,0,1,0,0
"Lebed",1,0,0,0,0,0
"tojump",0,0,0,1,0,0
"John Munuve",1,0,0,0,0,0
"diminishedability",0,0,0,1,0,0
"Charles Nesson",1,0,0,0,0,0
"whetherthere",0,0,0,1,0,0
"Milica Boskovic",0,0,0,0,1,0
"Anderson",1,0,0,0,0,0
"cm kjd",0,0,0,1,0,0
"Williams",1,0,0,0,0,0
"Mitchelland",0,0,1,0,0,0
"Larry David",1,0,0,0,0,0
"Yuri Luzhkov",1,0,0,0,0,0
"Charles Murphy",0,0,0,0,1,0
"Ken Kaess",1,0,0,0,0,0
"Frank Sinatra",1,0,0,0,0,0
"Jacqueline Glover",1,0,0,0,0,0
"Dalzell",0,0,0,0,1,0
"Moe Foner",0,0,0,0,1,0
"theirimplications",0,0,0,1,0,0
"amendmentwould",0,0,0,1,0,0
"Ronn Riser",1,0,0,0,0,0
"thegroup",0,0,0,1,0,0
"isoverseen",0,0,0,1,0,0
"Martin Luther King Jr.",1,0,0,0,0,0
"Philippe",1,0,0,0,0,0
"John Sargeant proclaimedin Frank Lloyd Wright's",0,0,1,0,0,0
"McCourts",1,0,0,0,0,0
"Gurtner",0,0,0,0,1,0
"Americanarchitecture",0,0,0,1,0,0
"DavidWells",0,0,0,0,1,0
"George Steinbrenner",0,0,0,0,1,0
"Scott Rowe",1,0,0,0,0,0
"makingtargets",0,0,0,1,0,0
"Ask Hamstrup",1,0,0,0,0,0
"Rintje Ritsma",1,0,0,0,0,0
"Dean Wilson",1,0,0,0,0,0
"Tracy Jones",0,0,0,0,1,0
"Mel Gibson",1,0,0,0,0,0
"Conor McCourt",1,0,0,0,0,0
"Ramzi Yousef",1,0,0,0,0,0
"Tanczos",1,0,0,0,0,0
"Kafelnikov",1,0,0,0,0,0
"Ritsma",1,0,0,0,0,0
"Larissa Lazutina",1,0,0,0,0,0
"Leonore Tiefer",1,0,0,0,0,0
"George Mitchell",1,0,0,0,0,0
"beton",0,0,0,1,0,0
"Matthew",1,0,0,0,0,0
"Arturo Lindsay",1,0,0,0,0,0
"Duff AMP",0,0,0,1,0,0
"andlight",0,0,0,1,0,0
"Ronald L. Zarrella",0,0,1,0,0,0
"Americanmilitary",0,0,0,1,0,0
