Entity,COR,INC,PAR,SPU,MIS,IGN
"SammySosa",0,1,0,0,0,0
"theAmerican",0,0,0,0,0,1
"havinglaw",0,0,0,0,0,1
"Seinfeld",0,0,0,0,0,1
"theTankan",0,0,0,0,0,1
"APW19980314",0,0,0,0,0,1
"Hehad 801",0,0,0,0,0,1
"usto",0,0,0,0,0,1
"Usjingle",0,0,0,0,0,1
"NYT19980407",0,0,0,0,0,1
"Grammy",0,0,0,0,0,1
"Guinness",0,1,0,0,0,0
"The Titanic''",0,0,0,0,0,1
"TextCorp",0,0,0,0,0,1
"Volk",0,1,0,0,0,0
"BBDOSouth",0,1,0,0,0,0
"Legend",0,0,0,0,0,1
"it'simpossible",0,0,0,0,0,1
"apress",0,0,0,0,0,1
"toycar",0,0,0,0,0,1
"Ids",0,1,0,0,0,0
"themask",0,0,0,0,0,1
"Cruise",0,1,0,0,0,0
"Cardinal",0,1,0,0,0,0
"Goto",0,0,0,0,0,1
"My Heart",0,0,0,0,0,1
"AlanBraverman",0,1,0,0,0,0
"ownEuropean",0,0,0,0,0,1
"thatI",0,0,0,0,0,1
"Lexus,''he",0,0,0,0,0,1
"Lohengrin",0,0,0,0,0,1
"betweenRM120,000",0,0,0,0,0,1
"Titanic",0,0,0,0,0,1
"APW19980424",0,0,0,0,0,1
"butby",0,0,0,0,0,1
"Kosmos 2350",0,0,0,0,0,1
"Shoals",0,1,0,0,0,0
"Noble",0,0,0,0,0,1
"Viagra",0,0,0,0,0,1
"peoplecould",0,0,0,0,0,1
*TOTAL*,0,9,0,0,0,31
