Entity,COR,INC,PAR,SPU,MIS,IGN
"Night Live",0,0,0,0,0,1
"Primitive Art",0,0,0,0,0,1
"The Gifts of the Jews",0,0,0,0,0,1
"SEINFELD",0,0,0,0,0,1
"Clintonmade",0,0,0,0,0,1
"A Declaration of the Independence of Cyberspace,''which",0,0,0,0,0,1
"All Things Considered",0,0,0,0,0,1
"19:17:00 COMMENTARY:",0,0,0,0,0,1
"Niemann",0,1,0,0,0,0
"Kate Winslet of Titanic",0,0,0,0,0,1
"the Titanic''",0,0,0,0,0,1
"Show Me da Money",0,0,0,0,0,1
"The American Experience",0,0,0,0,0,1
"BLANTYRE",0,1,0,0,0,0
"Breathing Lessons: The Life and Work of Mark O'Brien",0,0,0,0,0,1
"Things That Think and News",0,0,0,0,0,1
"We Be",0,0,0,0,0,1
"The Human Zamboni",0,0,0,0,0,1
"Privacy in Cyberspace",0,0,0,0,0,1
"03/15/1998 17:36:00",0,0,0,0,0,1
"THE GIFTS OF THE JEWS':",0,0,0,0,0,1
"Oscar",0,0,0,0,0,1
"Books",0,0,0,0,0,1
"the Titanic",0,0,0,0,0,1
"theHouse",0,0,0,0,0,1
"Soul Food",0,0,0,0,0,1
"Growing Pains",0,0,0,0,0,1
"The Gifts of the Jews'",0,0,0,0,0,1
"Master Hand:",0,0,0,0,0,1
"This Boy's Life'' 1993",0,0,0,0,0,1
"The Magic",0,0,0,0,0,1
"Dreamers",0,0,0,0,0,1
"The Gifts ofthe Jews",0,0,0,0,0,1
"Whores in the House",0,0,0,0,0,1
"forCanaan",0,0,0,0,0,1
"Paradise Lost'",0,0,0,0,0,1
"Look out, Provocation",0,0,0,0,0,1
"Arkan",0,1,0,0,0,0
"the Guinness Book of World Records",0,0,0,0,0,1
"The Man in the IronMask",0,0,0,0,0,1
"Utah State UniversityPress",0,1,0,0,0,0
"Go forth'",0,0,0,0,0,1
"The Face of Russia",0,0,0,0,0,1
"Salleh",0,1,0,0,0,0
"Cajun norCreole",0,0,0,0,0,1
"moremoney",0,0,0,0,0,1
"Take Me Out to the Ball Game",0,0,0,0,0,1
"Academy Award",0,0,0,0,0,1
"Lohengrin",0,0,0,0,0,1
"Juliet",0,0,0,0,0,1
"03/15/1998 17:28:00 COMING SOON:",0,0,0,0,0,1
"Bible",0,0,0,0,0,1
"Arating",0,0,0,0,0,1
"Middle Passage'",0,0,0,0,0,1
*TOTAL*,0,5,0,0,0,49
