Entity,COR,INC,PAR,SPU,MIS,IGN
"SammySosa",0,1,0,0,0,0
"Grill",0,0,0,0,0,1
"Clairol HerbalEssences",0,0,0,0,0,1
"Hashimoto",0,1,0,0,0,0
"Guinness",0,1,0,0,0,0
"onMay 14",0,0,0,0,0,1
"Volk",0,1,0,0,0,0
"Oscar",0,0,0,0,0,1
"Books",0,0,0,0,0,1
"Registrar",0,1,0,0,0,0
"toycar",0,0,0,0,0,1
"Ids",0,1,0,0,0,0
"asurvey",0,0,0,0,0,1
"Fridaynight",0,0,0,0,0,1
"Cruise",0,1,0,0,0,0
"Evaat Walther",0,0,0,0,0,1
"Caray",0,1,0,0,0,0
"LisaRaye Diamond",0,0,0,0,0,1
"the FrederickDouglass Circle",0,0,0,0,0,1
"Genesis",0,0,0,0,0,1
"Salleh",0,1,0,0,0,0
"My Heart WillGo",0,0,0,0,0,1
"Copies",0,0,0,0,0,1
"801",0,1,0,0,0,0
"Ice Cube",0,1,0,0,0,0
"betweenRM120,000",0,0,0,0,0,1
"supplyin",0,0,0,0,0,1
"Titanic",0,0,0,0,0,1
"Kosmos 2350",0,0,0,0,0,1
"andWright",0,0,0,0,0,1
"Viagra",0,0,0,0,0,1
*TOTAL*,0,11,0,0,0,20
