Entity,COR,INC,PAR,SPU,MIS,IGN
"Primitive Art",0,0,0,0,0,1
"cyberlaw",0,0,0,0,0,1
"Salome",0,0,0,0,0,1
"A Declaration of the Independence of Cyberspace,''which",0,0,0,0,0,1
"Saturday Night Live",0,0,0,0,0,1
"Master Hand''",0,0,0,0,0,1
"The American Experience''",0,0,0,0,0,1
"Show Me da Money",0,0,0,0,0,1
"STORY CAN END HERE",0,0,0,0,0,1
"Breathing Lessons: The Life and Work of Mark O'Brien",0,0,0,0,0,1
"The Magic Flute''several years ago",0,0,0,0,0,1
"This Boy's Life",0,0,0,0,0,1
"Books Do Furnish a Room",0,0,0,0,0,1
"The Human Zamboni",0,0,0,0,0,1
"Hebrew",0,0,0,0,0,1
"Legend",0,0,0,0,0,1
"' Go",0,0,0,0,0,1
"Riverdance",0,0,0,0,0,1
"Davissaid",0,0,0,0,0,1
"thejudge",0,0,0,0,0,1
"The Legend Resort",0,1,0,0,0,0
"Middle Passage'",0,0,0,0,0,1
"sectionfor",0,0,0,0,0,1
"Soul Food",0,0,0,0,0,1
"Master Hand:",0,0,0,0,0,1
"The Gifts ofthe Jews",0,0,0,0,0,1
"Paradise Lost",0,0,0,0,0,1
"The Man in the IronMask",0,0,0,0,0,1
"Gilmour",0,1,0,0,0,0
"The Face of Russia",0,0,0,0,0,1
"The Man in the Iron Mask''and",0,0,0,0,0,1
"Take Me Out to the Ball Game",0,0,0,0,0,1
"Abrahamwent",0,0,0,0,0,1
"0895 NEWS STORY",0,0,0,0,0,1
"NYT19980403",0,0,0,0,0,1
"The Gifts of the Jews''",0,0,0,0,0,1
"In Our Times",0,0,0,0,0,1
"The Man in the Iron",0,0,0,0,0,1
"You Can Call Me Al''",0,0,0,0,0,1
"Titanic",0,0,0,0,0,1
"The Man in the Iron Mask",0,0,0,0,0,1
"Bible",0,0,0,0,0,1
"Growing Pains",0,0,0,0,0,1
"Noble",0,0,0,0,0,1
*TOTAL*,0,2,0,0,0,42
