Entity,COR,INC,PAR,SPU,MIS,IGN
"The Kenya Open",0,0,0,0,0,1
"The Second Army Batallion",0,0,0,0,0,1
"18:35:00 SMITHSONIAN CLOSES BOOK AND RECORD UNITS",0,0,0,0,0,1
"the World Cup",0,0,0,0,0,1
"the Second VaticanCouncil",0,0,0,0,0,1
"World War IIWright",0,0,0,0,0,1
"the GorkyInstitute of Water Transport Engineering",0,0,0,0,0,1
"Classic India Open",0,0,0,0,0,1
"Women's World Cup",0,0,0,0,0,1
"the Cold War",0,0,0,0,0,1
"men's World Cup",0,0,0,0,0,1
"Commonwealth Games inSeptember",0,0,0,0,0,1
"10:53:00 Fire",0,0,0,0,0,1
"the 1992",0,0,0,0,0,1
"the French Quarter",0,0,0,0,0,1
"World Cup",0,0,0,0,0,1
"World War II",0,0,0,0,0,1
"Cup",0,0,0,0,0,1
"the 1994 World Cup",0,0,0,0,0,1
"the Nagano Olympics",0,0,0,0,0,1
"the Winter Olympics",0,0,0,0,0,1
"Talese/Doubleday",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,22
