Entity,COR,INC,PAR,SPU,MIS,IGN
"the Smithsonian Collection of Recordingscould",0,0,0,0,0,1
"the Bill of Rights",0,0,0,0,0,1
"the Penal Code",0,0,0,0,0,1
"THE Companies Act",0,0,0,0,0,1
"the Internet Tax Freedom Act",0,0,0,0,0,1
"the First Amendment _",0,0,0,0,0,1
"the State TechnicalCommittee on Water",0,0,0,0,0,1
"Constitution",0,0,0,0,0,1
"Section 11",0,0,0,0,0,1
"the Hebrew Bible",0,0,0,0,0,1
"secondto fifth",0,0,0,0,0,1
"the Companies Amendment No",0,0,0,0,0,1
"The American Experience''",0,0,0,0,0,1
"section 38 of the Water SupplyAct 1997",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,14
