Entity,COR,INC,PAR,SPU,MIS,IGN
"Shah Alam",0,0,0,0,1,0
"Azerbaijan",0,0,0,0,1,0
"Rockies",1,0,0,0,0,0
"N.J.",0,0,0,0,1,0
"Santhi Jayadhan",0,1,0,0,0,0
"Santa Fe",0,0,0,0,1,0
"asthe Meru Valley Golf Club",0,0,0,1,0,0
"DUNBLANE",0,0,0,0,1,0
"onEast Coast",0,0,0,1,0,0
"Waterford",0,0,0,0,1,0
"Rose Garden",0,0,0,1,0,0
"NewJersey",0,0,0,0,1,0
"Cukai",0,0,0,0,1,0
"ROME",0,0,0,0,1,0
"PRICE",0,0,0,0,1,0
"Sojod",0,0,0,0,1,0
"the Black Sea",0,0,1,0,0,0
"COPENHAGEN",0,0,0,0,1,0
"Wild West",0,0,0,1,0,0
"Southwest",0,0,0,1,0,0
"601Riverview Dr.",0,0,0,0,1,0
"Jerusalem",0,0,0,0,1,0
"Oceania",1,0,0,0,0,0
"Jalan Gambus",0,0,0,0,1,0
"Montreal",0,0,0,0,1,0
"West Coast",0,0,0,1,0,0
"Grand Concourse",0,0,0,0,1,0
"Silicon Valley",1,0,0,0,0,0
"Lake Michigan",1,0,0,0,0,0
"Tyre",0,0,0,0,1,0
"LadyFrom the Sea''",0,0,0,1,0,0
"BELFAST",0,0,0,0,1,0
"GowanusExpressway",0,0,0,0,1,0
"Nurnberg",0,0,0,0,1,0
"Dunblane",0,0,0,0,1,0
"Mississippi Valley",1,0,0,0,0,0
"GEORGETOWN",0,0,0,0,1,0
"Pulau Ular",0,0,0,0,1,0
"TBILISI",0,0,0,0,1,0
"the Price River",0,0,1,0,0,0
"Rantau Abang",0,0,0,0,1,0
"Tiananmen Square",0,0,0,0,1,0
"BEIJING",0,0,0,0,1,0
"HEERENVEEN",0,0,0,0,1,0
"ofEastern Slavonia",0,0,1,0,0,0
"Western Europe's",0,0,1,0,0,0
"Appalachians",0,0,0,0,1,0
"Tanjung",0,0,0,0,1,0
"Central Park",1,0,0,0,0,0
"Dupont Circle",0,0,0,0,1,0
"Oklahoma",0,0,0,0,1,0
"Cherating River",1,0,0,0,0,0
"Mircea Eliade",0,1,0,0,0,0
"Asia",1,0,0,0,0,0
"Arctic Circle",0,0,0,0,1,0
"DETROIT",0,0,0,0,1,0
"Nabatiyeh",0,0,0,0,1,0
"theInternet",0,0,0,1,0,0
"Great Lakes",0,0,0,0,1,0
"Canaan",0,0,0,0,1,0
"Perak",0,0,0,0,1,0
"CHICAGO",0,0,0,0,1,0
"Arctic",0,0,0,0,1,0
"Baku",0,0,0,0,1,0
"inthe Middle Atlantic States",0,0,1,0,0,0
"STONE MOUNTAIN",0,0,0,0,1,0
"MINNEAPOLIS",0,0,0,0,1,0
"Southeast Asia",1,0,0,0,0,0
"N.D.",0,0,0,0,1,0
"HOLLYWOOD",0,0,0,0,1,0
"the Cherating River",0,0,1,0,0,0
"the North Pole",0,0,1,0,0,0
"SAN`A",0,0,0,0,1,0
"Broadway",0,0,0,0,1,0
"Linden",0,0,0,0,1,0
"the Middle Atlantic",0,0,1,0,0,0
"Hillsborough",0,0,0,0,1,0
"San`a",0,0,0,0,1,0
"the McGlashan AMP",0,0,0,1,0,0
"New England",1,0,0,0,0,0
"Israelicities",0,0,1,0,0,0
"Malawi",0,0,0,0,1,0
"Baalbek",0,0,0,0,1,0
"Ise",0,0,0,0,1,0
"NAIROBI",0,0,0,0,1,0
"Club Med",0,1,0,0,0,0
"Africa",1,0,0,0,0,0
"Poland",0,0,0,0,1,0
