Entity,COR,INC,PAR,SPU,MIS,IGN
"tens ofthousands of dollars",1,0,0,0,0,0
"more than 40 million",0,0,0,1,0,0
"$2 billion",0,0,0,0,1,0
"$23.50",0,0,0,0,1,0
"dlrs 25",0,0,0,0,1,0
"3 per cent",0,0,0,1,0,0
"millions of ringgit",0,0,0,0,1,0
"93 per cent",0,0,0,1,0,0
"6 cents",1,0,0,0,0,0
"RM10",0,0,0,0,1,0
"half-a millionringgit",0,0,0,0,1,0
"$552million",0,0,0,0,1,0
"8 cents",1,0,0,0,0,0
"billions of dollars",0,0,1,0,0,0
"$58 million",0,0,0,0,1,0
"RM2billion",0,0,0,0,1,0
"several thousand dollars",1,0,0,0,0,0
"dlrs 18",0,0,0,0,1,0
"104",0,0,0,0,1,0
"4 cents",1,0,0,0,0,0
"hundreds ofmillions of dollars",0,0,0,0,1,0
"$40.2million",0,0,0,0,1,0
"15,517.78",0,0,0,0,1,0
"$600billion",0,0,0,0,1,0
"$500,000",0,0,0,0,1,0
"77 per cent",0,0,0,1,0,0
"$20 billion",0,0,0,0,1,0
"penny",1,0,0,0,0,0
"up toa half million",0,0,0,1,0,0
"42 yen",0,0,1,0,0,0
"several tens of million",0,1,0,0,0,0
"$2-million",0,0,0,0,1,0
"2 p. m.",0,0,0,1,0,0
"2 million",0,0,1,0,0,0
"$1 billion",0,0,0,0,1,0
"$500",0,0,0,0,1,0
"PENNY",0,0,0,0,1,0
"$4-billion",0,0,0,0,1,0
"$1,000",0,0,0,0,1,0
"up to one million dollars",0,0,1,0,0,0
"$8-billion",0,0,0,0,1,0
"dlrs 100",0,0,0,0,1,0
"dlrs 36",0,0,0,0,1,0
"$6 million",0,0,0,0,1,0
"$23",0,0,0,0,1,0
"5 billion",0,0,1,0,0,0
"dime",0,0,0,0,1,0
"$180-million",0,0,0,0,1,0
"5 per cent",0,0,0,1,0,0
"2 kroner 28 cents",0,0,1,0,0,0
"7 per cent",0,0,0,1,0,0
"34 per cent",0,0,0,1,0,0
"almost 1 billion",0,0,0,1,0,0
*TOTAL*,6,1,6,10,60,0
