Entity,COR,INC,PAR,SPU,MIS,IGN
"Arabs",0,0,0,0,0,1
"Germans",0,0,0,0,0,1
"Yugoslav",0,0,0,0,0,1
"Swiss",0,0,0,0,0,1
"twoCatholic",0,0,0,0,0,1
"KosovoAlbanians",0,0,0,0,0,1
"Nazi",0,1,0,0,0,0
"Appalachians",0,1,0,0,0,0
"English",0,0,0,0,0,1
"Jews",0,0,0,0,0,1
"Excite",0,1,0,0,0,0
"the Social Democrats",0,0,0,0,0,1
"NORSI",0,1,0,0,0,0
"Somali",0,0,0,0,0,1
"Social Democrats",0,1,0,0,0,0
"neededto",0,0,0,0,0,1
"Victorians",0,0,0,0,0,1
"anAlbanian",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"Hadatha",0,1,0,0,0,0
"Siberian",0,0,0,0,0,1
"andSyrian",0,0,0,0,0,1
"Kenyans",0,0,0,0,0,1
"toprovide",0,0,0,0,0,1
"Jewish Catholic",0,0,0,0,0,1
"Indian",0,0,0,0,0,1
"Italian",0,0,0,0,0,1
"aWagnerian",0,0,0,0,0,1
"ownEuropean",0,0,0,0,0,1
"Catholics",0,0,0,0,0,1
"Jewishgroups",0,0,0,0,0,1
"Democrat",0,0,0,0,0,1
"Gifts",0,0,0,0,0,1
"ofMuslims",0,0,0,0,0,1
"theEuropean",0,0,0,0,0,1
"Norwegian",0,0,0,0,0,1
"South American",0,0,0,0,0,1
"theUsonian",0,0,0,0,0,1
"Irish",0,0,0,0,0,1
"Albanianacquaintances",0,0,0,0,0,1
"African Americans",0,0,0,0,0,1
"Kosovo Serbs",0,0,0,0,0,1
"communist",0,1,0,0,0,0
"Norwegians",0,0,0,0,0,1
"Lebanese",0,0,0,0,0,1
"American",0,0,0,0,0,1
"theAmerican",0,0,0,0,0,1
"Christian",0,0,0,0,0,1
"Jordanian",0,0,0,0,0,1
"Albanian",0,0,0,0,0,1
"Republican",0,0,0,0,0,1
"Swedish",0,0,0,0,0,1
"communists",0,1,0,0,0,0
"Protestants",0,0,0,0,0,1
"Russians",0,0,0,0,0,1
"Israeli",0,0,0,0,0,1
"Africans",0,0,0,0,0,1
"Asian",0,0,0,0,0,1
"Parisian",0,0,0,0,0,1
"NoJapanese",0,0,0,0,0,1
"oppositionpolitician",0,0,0,0,0,1
"Israelites",0,0,0,0,0,1
"JAPANESE",0,0,0,0,0,1
"Nazis",0,1,0,0,0,0
"Israeliforces",0,0,0,0,0,1
"Arkan",0,1,0,0,0,0
"Shake",0,0,0,0,0,1
"Indonesian",0,0,0,0,0,1
"Democratic",0,0,0,0,0,1
"Yankee",0,1,0,0,0,0
"Amazonian",0,0,0,0,0,1
"a Native American",0,0,0,0,0,1
"andChristian Democrats",0,0,0,0,0,1
"hark",0,0,0,0,0,1
"Muslim",0,0,0,0,0,1
"Hequotes",0,0,0,0,0,1
"Celtic",0,0,0,0,0,1
"ofsectarian",0,0,0,0,0,1
"Central Asian",0,0,0,0,0,1
"Cajun",0,0,0,0,0,1
"Kenyan",0,0,0,0,0,1
"Albanians",0,0,0,0,0,1
"septuagenarian",0,0,0,0,0,1
"Palestinian",0,0,0,0,0,1
"Semites",0,0,0,0,0,1
"French",0,0,0,0,0,1
"Canadian",0,0,0,0,0,1
"Thai",0,0,0,0,0,1
"Olympian",0,0,0,0,0,1
"nationalist",0,1,0,0,0,0
"Saharan African",0,0,0,0,0,1
"Jewish",0,0,0,0,0,1
"Catholic",0,0,0,0,0,1
"Danish",0,0,0,0,0,1
"toAfrican",0,0,0,0,0,1
"thanI",0,0,0,0,0,1
"German",0,0,0,0,0,1
"Japanese",0,0,0,0,0,1
"theChristian Democrat",0,0,0,0,0,1
"Herzog",0,1,0,0,0,0
"greens",0,0,0,0,0,1
"Semitism",0,0,0,0,0,1
"Belgian",0,0,0,0,0,1
"Indians",0,0,0,0,0,1
"African",0,0,0,0,0,1
"Muslims",0,0,0,0,0,1
"Somalis",0,0,0,0,0,1
"mindedlibertarians",0,0,0,0,0,1
"South African",0,0,0,0,0,1
"democratic",0,0,0,0,0,1
"Serbian",0,0,0,0,0,1
"Russian",0,1,0,0,0,0
"Serbultranationalist",0,0,0,0,0,1
"Marian",0,0,0,0,0,1
"British",0,0,0,0,0,1
"Americans",0,0,0,0,0,1
"Victorian",0,0,0,0,0,1
"Caspian",0,1,0,0,0,0
"Nigerian",0,0,0,0,0,1
"Greek",0,0,0,0,0,1
"European",0,0,0,0,0,1
"Serbs",0,0,0,0,0,1
"Sumerians",0,0,0,0,0,1
"andFrench",0,0,0,0,0,1
"Christians",0,0,0,0,0,1
"Soviet",0,0,0,0,0,1
"South Korean",0,0,0,0,0,1
"butit",0,0,0,0,0,1
"Mesopotamian",0,0,0,0,0,1
"theAlbanians",0,0,0,0,0,1
"Protestant",0,0,0,0,0,1
"Israelis",0,0,0,0,0,1
"Serb",0,0,0,0,0,1
"utopian",0,0,0,0,0,1
"Clippers",0,1,0,0,0,0
"Theorchestra",0,0,0,0,0,1
"Iranian",0,0,0,0,0,1
"Polish",0,0,0,0,0,1
"broccoli",0,0,0,0,0,1
"Dutch",0,0,0,0,0,1
"wasBritish",0,0,0,0,0,1
"Communist",0,1,0,0,0,0
"Communists",0,1,0,0,0,0
"Argentine",0,0,0,0,0,1
"theSmithsonian",0,0,0,0,0,1
"Chinese",0,0,0,0,0,1
"Wagnerians",0,0,0,0,0,1
"Conradian",0,0,0,0,0,1
"Babylonians",0,0,0,0,0,1
"Florence",0,1,0,0,0,0
"Syrian",0,0,0,0,0,1
*TOTAL*,0,20,0,0,0,131
