Entity,COR,INC,PAR,SPU,MIS,IGN
"Manpower Inc.",1,0,0,0,0,0
"the Universityof Maryland",0,0,1,0,0,0
"Titanic",0,0,0,1,0,0
"bythe Supreme Court",0,0,1,0,0,0
"DieMeistersinger''",0,0,0,1,0,0
"Sometimespublic",0,0,0,1,0,0
"Lorne Michaels",0,1,0,0,0,0
"JamesBoyle",0,1,0,0,0,0
"IsuzuMotors Ltd.",1,0,0,0,0,0
"the Kuantan Municipal Council",0,0,1,0,0,0
"Sani Abacha",0,1,0,0,0,0
"Weston",0,1,0,0,0,0
"them,''he",0,0,0,1,0,0
"MIT",1,0,0,0,0,0
"SouthAfrican Broadcasting Corp. 's",0,0,1,0,0,0
"Ketuvim orWritings",0,0,0,1,0,0
"Heineken USA Inc.",1,0,0,0,0,0
"Husni",0,1,0,0,0,0
"asa",0,0,0,1,0,0
"Dupont Circle",0,1,0,0,0,0
"Olympic",0,0,0,1,0,0
"Moody's Investors Service",1,0,0,0,0,0
"J. Walter",0,0,1,0,0,0
"the Paramount Motion Picture Group",0,0,1,0,0,0
"Red Brigade",1,0,0,0,0,0
"Samuelson",0,1,0,0,0,0
"Senate",1,0,0,0,0,0
"the LVMH Louis VuittonMoet Hennesy",0,0,1,0,0,0
"Yablocko Party",1,0,0,0,0,0
"RoseGarden",0,0,0,1,0,0
"TREASURY",1,0,0,0,0,0
"NBC",1,0,0,0,0,0
"AmericanLeague",1,0,0,0,0,0
"Cardinal",0,1,0,0,0,0
"Nordic",0,0,0,1,0,0
"the Communist Party",0,0,1,0,0,0
"Castle Rock Entertainment",1,0,0,0,0,0
"andthen",0,0,0,1,0,0
"the Cyberspace Law Institute",0,0,1,0,0,0
"Chaympresented",0,0,0,1,0,0
"The Associated Press",1,0,0,0,0,0
"EppieLederer",0,1,0,0,0,0
"HOUSE",0,0,0,0,1,0
"Associates",0,0,1,0,0,0
"Trophy Lalique",0,0,0,1,0,0
"JeffreyDonaldson",0,1,0,0,0,0
"Partners ofNew York and Tobey",0,0,1,0,0,0
"Georgia Pacific Corp.",0,0,0,1,0,0
"Utah Fuel Co. Duringan",0,0,1,0,0,0
"NewBrunswick",0,1,0,0,0,0
"Mitchell",0,1,0,0,0,0
"RickYorn",0,1,0,0,0,0
"WORLD TIMES, INC",0,0,1,0,0,0
"the All ThingsConsidered''",0,0,0,1,0,0
"WELLS BDDP",1,0,0,0,0,0
"Procter &AMP; Gamble",0,0,0,0,1,0
"Addis Wechsler AMP",0,0,0,1,0,0
"Cajun nor Creole",0,0,0,1,0,0
"Athletics",1,0,0,0,0,0
"the House Transportation Committee",0,0,1,0,0,0
"N. Security Council",0,0,1,0,0,0
"the World Trade Center",0,0,0,1,0,0
"BBDOSouth",1,0,0,0,0,0
"Excite",0,0,0,0,1,0
"the Toys R''",0,0,0,1,0,0
"Microsoft",0,0,0,0,1,0
"the Young Communist League",0,0,1,0,0,0
"Hinges of History'",0,0,0,1,0,0
"Treasury",1,0,0,0,0,0
"the League of AmericanProducers and Theater Owners",0,0,1,0,0,0
"the LittleRock Media Consortium",0,0,1,0,0,0
"Lebed",0,1,0,0,0,0
"NEWS STORY 04/07/1998",0,0,0,1,0,0
"DAP Teluk Intan",0,0,1,0,0,0
"Open Text",1,0,0,0,0,0
"Price",0,1,0,0,0,0
"theU. S. Federal Reserve",0,0,1,0,0,0
"the Museum of Canadian Civilization",0,0,1,0,0,0
"Anderson",0,1,0,0,0,0
"New World",0,1,0,0,0,0
"Charlotte Forest",0,1,0,0,0,0
"Time Rocker''at",0,0,0,1,0,0
"Swiss Thomas Gurtner",0,0,0,1,0,0
"Asianmarkets",0,0,0,1,0,0
"theSwiss National Bank",0,0,1,0,0,0
"University of Utah",1,0,0,0,0,0
"TBILISI",0,1,0,0,0,0
"the Supreme Court",0,0,1,0,0,0
"New Line Cinema",1,0,0,0,0,0
"the Economic Planning Agency",0,0,1,0,0,0
"The International Monetary Fund",0,0,1,0,0,0
"Northwest",0,0,0,1,0,0
"the British Museum",0,0,1,0,0,0
"U. Library",0,0,0,1,0,0
"The Labor Department",0,0,1,0,0,0
"NativeAmerican",0,0,0,1,0,0
"Hertz",1,0,0,0,0,0
"Scott Rowe",0,1,0,0,0,0
"11:30:00 Town",0,0,0,1,0,0
"Holocaustsurvivors",0,0,0,1,0,0
"TimStraub",0,1,0,0,0,0
"ofWembley Industries Holdings Bhd",0,0,1,0,0,0
"Legacy",1,0,0,0,0,0
"the Sony Corporation",0,0,1,0,0,0
"Promise Keepersconventioneers",0,0,1,0,0,0
"Swedenbeat Kenneth Carlsen",0,0,0,1,0,0
"IrishRepublic",0,1,0,0,0,0
"wasa",0,0,0,1,0,0
"Opposition",1,0,0,0,0,0
"the Dewan Rakyat",0,0,1,0,0,0
"Celts",0,0,0,1,0,0
"Security Council",1,0,0,0,0,0
"Games",0,0,0,1,0,0
"PUBLIC RADIO HOSTS",0,0,0,1,0,0
"Emeril Legasse",0,1,0,0,0,0
"the National Federation of Independent Business",0,0,1,0,0,0
"CNN",0,0,1,0,0,0
"CBS StudioCenter",1,0,0,0,0,0
"Asiasituation",0,0,0,1,0,0
"Seton HallUniversity",1,0,0,0,0,0
"the Oval Office",0,0,0,1,0,0
"Idealab",1,0,0,0,0,0
"Herzog",0,1,0,0,0,0
"Broadway Video Inc.",1,0,0,0,0,0
"Jalan BukitKemuning",0,1,0,0,0,0
"the rulingCommunist Party",0,0,1,0,0,0
"Hamas",1,0,0,0,0,0
"the Red Brigades",0,0,1,0,0,0
"Unionist Party",1,0,0,0,0,0
"the United Statesto",0,0,0,1,0,0
"Merrill Lynch's",0,0,1,0,0,0
"Baku",0,1,0,0,0,0
"the National Public Radio news",0,0,1,0,0,0
"TRANSPORT",0,0,0,1,0,0
"theNational Association of Home Builders",0,0,1,0,0,0
"ChaseManhattan Corp.",1,0,0,0,0,0
"YELTSIN STRIKES POSE OF POWER FOR",0,0,0,1,0,0
"Ford",1,0,0,0,0,0
"the Convention andVisitors Bureau",0,0,1,0,0,0
"Red Cross",1,0,0,0,0,0
"La Scala",0,0,0,0,1,0
"Westernobsession",0,0,0,1,0,0
"SenateJudiciary Committee",0,0,1,0,0,0
"the local'sexecutive board",0,0,0,1,0,0
"the Irish Republican Army",0,0,1,0,0,0
"TomGullikson",0,1,0,0,0,0
"NEW YORK PLEASED",0,0,0,1,0,0
"Eppie",0,1,0,0,0,0
"the Calspan University of BuffaloResearch Center",0,0,1,0,0,0
"GGT Group PLC",1,0,0,0,0,0
"Hyperion",1,0,0,0,0,0
"Moody's",1,0,0,0,0,0
"Standard AMP",0,0,0,1,0,0
"Middle Passage''",0,0,0,1,0,0
"the federal Commission ofFine Arts",0,0,1,0,0,0
"The White Housecorrespondent",0,0,1,0,0,0
"the World Jewish Congress",0,0,1,0,0,0
"Usjingle",0,0,0,1,0,0
"NORSI",0,0,0,0,1,0
"asan",0,0,0,1,0,0
"United Engineers Malaysia",1,0,0,0,0,0
"Andreotti",0,1,0,0,0,0
"the Big Board",0,0,1,0,0,0
"States",0,0,0,1,0,0
"STORY",0,0,0,1,0,0
"Hans Sachs",0,1,0,0,0,0
"the Labor Department",0,0,1,0,0,0
"U. News AMP",0,0,0,1,0,0
"Design for America",0,0,0,1,0,0
"Wells BDDP",1,0,0,0,0,0
"LittleDieter",0,0,0,1,0,0
"House",1,0,0,0,0,0
"theCanadian Museum of Civilization in Hull",0,0,1,0,0,0
"GowanusExpressway",0,1,0,0,0,0
"Cinemax ReelLife'",0,0,1,0,0,0
"Muthaiga Golf Club",1,0,0,0,0,0
"the NationalCenter for Heritage Development",0,0,1,0,0,0
"the Culinary Institute ofAmerica",0,0,1,0,0,0
"the National Trust forHistoric Preservation",0,0,1,0,0,0
"Scribner",0,0,0,0,1,0
"The Front Page''",0,0,0,1,0,0
"Imagine Radio",0,0,0,1,0,0
"Volkswagen",0,0,0,0,1,0
"Louvre",0,0,0,0,1,0
"CLOSE NEW YORK",0,0,0,1,0,0
"The British Museum",0,0,1,0,0,0
"Residence Inn",0,0,0,0,1,0
"Dow Jones",0,0,0,0,1,0
"the White Housewhen",0,0,1,0,0,0
"TBWA Chiat/Day",1,0,0,0,0,0
"the University ofWashington",0,0,1,0,0,0
"MTV",1,0,0,0,0,0
"J. P. Morgan Securities Inc.",0,0,0,1,0,0
"the Bureau of LaborStatistics",0,0,1,0,0,0
"Institute of Urban Studies",1,0,0,0,0,0
"the Center for Transportation Injury Research",0,0,1,0,0,0
"Smithsonian Books",1,0,0,0,0,0
"theYankees",0,0,1,0,0,0
"JimmyCarter",0,1,0,0,0,0
"Los AngelesClippers",0,0,0,0,1,0
"Beckmesser",0,1,0,0,0,0
"Time",0,0,1,0,0,0
"March1999",0,1,0,0,0,0
"Blantyre High Court",0,0,0,0,1,0
"the Labor Department's",0,0,1,0,0,0
"Georgia-Pacific",0,0,0,0,1,0
"KPMG PeatMarwick",1,0,0,0,0,0
"Kate Winslet of Titanic",0,0,0,1,0,0
"Folkways",1,0,0,0,0,0
"The American Experience",0,0,0,1,0,0
"TargetCenter",1,0,0,0,0,0
"Whitewater",0,0,0,1,0,0
"Malaysia Airlines",1,0,0,0,0,0
"Mildred",0,1,0,0,0,0
"theNational Bank",0,0,1,0,0,0
"Lacroix",0,1,0,0,0,0
"P&AMP;G",0,0,0,0,1,0
"fromFlorida",0,0,0,1,0,0
"hundreds,''she",0,0,0,1,0,0
"NEWS STORY",0,0,0,1,0,0
"Nikkei",0,0,0,0,1,0
"Commission for Relations with Judaism",0,0,0,0,1,0
"the SwissNational Bank",0,0,1,0,0,0
"OccupiedSouthern Lebanon",0,0,1,0,0,0
"Procter AMP;Gamble Co.",0,0,0,1,0,0
"Titanic''",0,0,0,1,0,0
"Ford Motor Co.",1,0,0,0,0,0
"SMITHSONIAN",1,0,0,0,0,0
"the Last Tango",0,0,0,1,0,0
"St. Louis University",1,0,0,0,0,0
"a National Water Council",0,0,1,0,0,0
"the Berkeley Center for Law and Technology",0,0,1,0,0,0
"American University",1,0,0,0,0,0
"SupremeCourt",0,0,0,0,1,0
"K",0,0,1,0,0,0
"Guinness",1,0,0,0,0,0
"the Swiss Bank Corp.",0,0,1,0,0,0
"Eppie Lederer",0,1,0,0,0,0
"DavidWells",0,1,0,0,0,0
"Paribas Capital Markets Ltd.",0,0,0,0,1,0
"Congress",1,0,0,0,0,0
"Good Friday",0,1,0,0,0,0
"theKrasnoye Sormovo",0,0,1,0,0,0
"RichardStrauss' Salome''",0,0,0,1,0,0
"Goldman",0,1,0,0,0,0
"apartfrom court action",0,0,0,1,0,0
"NAIROBI",0,1,0,0,0,0
"army radio",0,0,1,0,0,0
"Kaplan Thaler Group",1,0,0,0,0,0
"PresspassStadium",0,0,0,1,0,0
"TV Books",1,0,0,0,0,0
"Porsche AG",1,0,0,0,0,0
"NBCalone",0,0,1,0,0,0
"Fannie Mae",1,0,0,0,0,0
"Titanic'",0,0,0,1,0,0
"Smithsonian Collectionof Recordings",0,0,0,0,1,0
"GeneralAssembly",1,0,0,0,0,0
"BDDP",1,0,0,0,0,0
"the Angels inAnaheim",0,0,1,0,0,0
"GreatDepression",0,0,0,1,0,0
"the China Democratic Justice",0,0,0,1,0,0
"Germanchildhood",0,0,0,1,0,0
"Jones",0,1,0,0,0,0
"Knicks",1,0,0,0,0,0
"MOODY'S",0,0,0,0,1,0
"GBQC",1,0,0,0,0,0
"Wilson",0,1,0,0,0,0
"EricClapton",0,1,0,0,0,0
"the United Nations",0,0,1,0,0,0
"New York Medical Center",1,0,0,0,0,0
"Pilgrim",0,0,0,1,0,0
"BMW",1,0,0,0,0,0
"NPR",1,0,0,0,0,0
"Home Box Office",1,0,0,0,0,0
"BALKS",0,0,0,1,0,0
"Chicken",0,0,0,1,0,0
"NATIONAL INDIAN MUSEUM",0,0,0,0,1,0
"Barnett Capital Advisors Inc.",1,0,0,0,0,0
"Nets",1,0,0,0,0,0
"MuscleShoals",0,1,0,0,0,0
"Credit Suisse First Boston",1,0,0,0,0,0
"the Electronic Advertising andMarketplace Report",0,0,1,0,0,0
"TheSun Advocate",1,0,0,0,0,0
"Horn",0,1,0,0,0,0
"Hamlet",0,0,0,1,0,0
"Eastern Conference",0,0,0,0,1,0
"Pepsico",0,0,0,0,1,0
"Philip Morris Cos.",1,0,0,0,0,0
"WPP Group",1,0,0,0,0,0
"Labor",0,0,1,0,0,0
"IRA",1,0,0,0,0,0
"Kwan",0,1,0,0,0,0
"the Rosenbaum House",0,0,1,0,0,0
"Castle Rock",1,0,0,0,0,0
"Ms.",0,0,0,1,0,0
"Pfizer",1,0,0,0,0,0
"the Media Laboratory",0,0,1,0,0,0
"LindaTripp",0,1,0,0,0,0
"Forestry Commission",1,0,0,0,0,0
"public radio",0,0,0,0,1,0
"Swiss Federal ProsecutorCarla del Ponte",0,0,1,0,0,0
"Hutuextremists",0,0,0,1,0,0
"the NationalConvention Assembly",0,0,1,0,0,0
"the Computers, Freedom and Privacy",0,0,0,1,0,0
"Clairol HerbalEssences",0,0,1,0,0,0
"the World JewishCongress",0,0,1,0,0,0
"Disney",0,0,0,0,1,0
"TurkishMediterranean",0,0,0,1,0,0
"Usonian,''Cambridge University",0,0,1,0,0,0
"the European Challenge Tour",0,0,0,1,0,0
"Actto",0,0,0,1,0,0
"Kaplan Thalerhad",0,0,0,1,0,0
"the Boston University School of Medicine",0,0,1,0,0,0
"Mercedes",0,0,0,1,0,0
"the TokyoElectric Power Company",0,0,1,0,0,0
"BY WORLDSOURCES",0,0,0,1,0,0
"Federal Loan Home Mortgage Corp.",1,0,0,0,0,0
"Garantia",1,0,0,0,0,0
"States, theHouse",0,0,1,0,0,0
"lower house",0,0,0,0,1,0
"APPEALS COURT",0,0,1,0,0,0
"the National Housing Corporation",0,0,1,0,0,0
"the Swiss National Bank",0,0,1,0,0,0
"ofSmithsonian Press/Smithsonian Productions",0,0,1,0,0,0
"the Metropolitan Museum of Art",0,0,1,0,0,0
"theState University at Buffalo",0,0,1,0,0,0
"the Robert Wood Johnson Medical School",0,0,1,0,0,0
"Mergess",0,1,0,0,0,0
"the Media Lab",0,0,1,0,0,0
"Baalbek",0,1,0,0,0,0
"Moro",0,1,0,0,0,0
"NewYork",0,1,0,0,0,0
"MorningEdition",0,0,0,1,0,0
"Liberty Mutual Insurance Co.",1,0,0,0,0,0
"AlvinRosenbaum",0,1,0,0,0,0
"AP",1,0,0,0,0,0
"PBS",0,0,0,0,1,0
"AbeKleinfield",0,1,0,0,0,0
"Primitive Art",0,0,0,1,0,0
"Moody",0,0,1,0,0,0
"THE McCOURTS OF LIMERICK'",0,0,0,1,0,0
"Abgal",0,0,0,1,0,0
"KWAN",0,1,0,0,0,0
"Lipinski",0,1,0,0,0,0
"11:55:00 Security Council",0,0,1,0,0,0
"the Eisenhower Medical Center",0,0,1,0,0,0
"Gilgamesh",0,0,0,1,0,0
"Cowen &AMP; Co.",0,0,0,0,1,0
"The Irishin America",0,0,0,1,0,0
"Husni Hanadzlah BN Tambun",0,0,1,0,0,0
"the American Federation of Musicians",0,0,1,0,0,0
"bySwitzerland",0,0,0,1,0,0
"JamieFoxx Blue",0,0,0,1,0,0
"oneof",0,0,0,1,0,0
"Fordham",1,0,0,0,0,0
"Freddie Mac",1,0,0,0,0,0
"Firsteditions Rare",0,0,0,1,0,0
"theUniversity of Chicago Law Review",0,0,1,0,0,0
"communists",0,0,0,0,1,0
"the State University",0,0,0,1,0,0
"GGT",1,0,0,0,0,0
"Audi AG",0,0,0,0,1,0
"News Corp.",1,0,0,0,0,0
"Merrill Lynch AMP; Co.",0,0,1,0,0,0
"the Smithsonian Institution",0,0,1,0,0,0
"General MotorsCorp",0,0,1,0,0,0
"Wagram dance hall",0,0,0,0,1,0
"Trimble",0,1,0,0,0,0
"theTransportation Committee",0,0,1,0,0,0
"business school",0,0,0,0,1,0
"Georgia Pacific",0,0,0,1,0,0
"UnitedNations",1,0,0,0,0,0
"Clippers",0,0,0,0,1,0
"the State Waterworks Department",0,0,1,0,0,0
"Werner Herzog Filmproduktion",1,0,0,0,0,0
"Rosenbaum",0,1,0,0,0,0
"VATICAN CITY AP",0,0,1,0,0,0
"Nostra Aetate'",0,0,0,1,0,0
"forGeorgia Pacific",0,0,0,1,0,0
"theSecurity Council",0,0,1,0,0,0
"Salomon Smith Barney",1,0,0,0,0,0
"Muthaiga",0,0,0,0,1,0
"Barnes &AMP; Noble",0,0,0,0,1,0
"GM",1,0,0,0,0,0
"American Stock Exchanges",1,0,0,0,0,0
"20th Century Fox",0,0,0,0,1,0
"Merrill",1,0,0,0,0,0
"Microsoft Corp.",1,0,0,0,0,0
"the University of Miami",0,0,1,0,0,0
"Ewing",0,1,0,0,0,0
"Chieftains",1,0,0,0,0,0
"TVcompany",0,0,0,1,0,0
"Postma clocked1:48",0,0,0,1,0,0
"the Electronic Frontier Foundation",0,0,1,0,0,0
"theUniversity of Michigan's",0,0,1,0,0,0
"WEATHER Strong",0,0,0,1,0,0
"the History Channel",0,0,1,0,0,0
"Bayona",1,0,0,0,0,0
"Croats",0,0,0,1,0,0
"INC",0,0,1,0,0,0
"ThePrice Sun",1,0,0,0,0,0
"AntonioMonteiro",0,1,0,0,0,0
"General Electric Co.",1,0,0,0,0,0
"BBDO Worldwide",1,0,0,0,0,0
"National Historic Landmark",0,0,0,1,0,0
"AliMahdi Mohamed",0,1,0,0,0,0
"in1985",0,0,0,1,0,0
"Parliament",1,0,0,0,0,0
"Treasuries",0,0,0,0,1,0
"GermanChristoph Langenkamp",0,0,0,1,0,0
"8th Circuit",1,0,0,0,0,0
"Infoseek",1,0,0,0,0,0
"Yale",1,0,0,0,0,0
"Bayer",0,0,0,0,1,0
"Kaufman",0,1,0,0,0,0
"Swiss National Bank",1,0,0,0,0,0
"HistoryChannel",1,0,0,0,0,0
"Soldier",0,0,0,1,0,0
"Celebrity",0,0,0,1,0,0
"Jalan Gambus",0,1,0,0,0,0
"the National League",0,0,1,0,0,0
"Frank LloydWright Rosenbaum House Foundation",1,0,0,0,0,0
"The Security Council",0,0,1,0,0,0
"A&AMP;E",0,0,0,0,1,0
"McDonald's",1,0,0,0,0,0
"FinanceMinistry",0,0,0,0,1,0
"IMF",1,0,0,0,0,0
"Hashim Ismail BN Ledang",0,0,1,0,0,0
"Sun Metal Works Sdn Bhd",1,0,0,0,0,0
"Celtic New Age",0,0,0,1,0,0
"El Nino",0,0,0,1,0,0
"forDDB Needham",0,0,1,0,0,0
"U.",0,0,1,0,0,0
"Yousef",0,1,0,0,0,0
"Cecil Fielder",0,1,0,0,0,0
"General Motors",1,0,0,0,0,0
"Olabiyi Babalola Yai",0,1,0,0,0,0
"HarperCollins",1,0,0,0,0,0
"VicePresident",0,0,0,1,0,0
"Bookstores Remainders",0,0,0,1,0,0
"European Tour",0,0,0,1,0,0
"communist",0,0,0,0,1,0
"Academy Award",0,0,0,1,0,0
"Royal Calcutta Golf Club",0,0,0,0,1,0
"Lincoln",0,0,0,1,0,0
"TheLegend",1,0,0,0,0,0
"Kosmos",0,0,0,1,0,0
"Radio Lagos",0,0,0,0,1,0
"Procter &AMP;Gamble Co.",0,0,0,0,1,0
"U. S. commission",0,0,0,1,0,0
"Ashby",0,1,0,0,0,0
"Resolution 425",0,0,0,1,0,0
"EU",1,0,0,0,0,0
"Hehad",0,0,0,1,0,0
"Sahabat Alam Malaysia",0,0,0,0,1,0
"Sinn Fein''",0,0,1,0,0,0
"1199",0,0,0,0,1,0
"Justice",0,0,1,0,0,0
"Hertz Corp.",1,0,0,0,0,0
"the National Museum of African Art",0,0,1,0,0,0
"Pechstein",0,1,0,0,0,0
"Radisson Hotel",1,0,0,0,0,0
"BrookingsInstitution",1,0,0,0,0,0
"TVBooks",0,0,0,0,1,0
"the Institute of Jazz Studies",0,0,1,0,0,0
"Lycos",1,0,0,0,0,0
"Merrill Lynch",1,0,0,0,0,0
"King's",0,0,0,1,0,0
"Goldman, Sachs &AMP; Co.",0,0,0,0,1,0
"Siegel",0,1,0,0,0,0
"Vanity Fair",1,0,0,0,0,0
"Georgia-Pacific Corp.",0,0,0,0,1,0
"the Union Bank ofSwitzerland",0,0,1,0,0,0
"Credit Suisse",1,0,0,0,0,0
"National Center for Earthquake Engineering Research",1,0,0,0,0,0
"FBI",0,0,0,0,1,0
"Pahang",0,1,0,0,0,0
"NorthPacific",0,1,0,0,0,0
"Temple University Law School",1,0,0,0,0,0
"the Ku Klux Klan",0,0,1,0,0,0
"Goldman,Sachs &AMP; Co.",0,0,0,0,1,0
"Wren",0,1,0,0,0,0
"theWashington Monument",0,0,0,1,0,0
"RutgersUniversity",1,0,0,0,0,0
"the U. N. peacekeepingoperation",0,0,0,1,0,0
"Sinn Fein",1,0,0,0,0,0
"Subramaniam",0,1,0,0,0,0
"Lebanese Resistance Brigadessaid",0,0,1,0,0,0
"Homestead Editorial",1,0,0,0,0,0
"MALAYSIA",0,1,0,0,0,0
"IfMarshall",0,0,0,1,0,0
"Brooklyn Academy of Music",0,0,0,0,1,0
"of7",0,0,0,1,0,0
"WGBH",1,0,0,0,0,0
"Anaheim",0,1,0,0,0,0
"United Artists",1,0,0,0,0,0
"Fresh Air",0,0,0,1,0,0
"Safeway Stores",1,0,0,0,0,0
"del Ponte and Skuratov",0,0,0,1,0,0
"Welshman",0,0,0,1,0,0
"Volvosales",0,0,1,0,0,0
"Vita",1,0,0,0,0,0
"Abacha",0,1,0,0,0,0
"Education",0,0,0,1,0,0
"Chrysler",0,0,1,0,0,0
"Schenk",0,1,0,0,0,0
"the White House",0,0,1,0,0,0
"MerrillLynch &AMP; Co.",0,0,0,0,1,0
"The Suzuki Motor Corp.",0,0,1,0,0,0
"Harvard",1,0,0,0,0,0
"Imagine Media",1,0,0,0,0,0
"Frank Lloyd WrightFoundation",1,0,0,0,0,0
"PatriciaCharbonnet",0,1,0,0,0,0
"SocialSecurity",0,0,0,1,0,0
"Sports",0,0,0,1,0,0
"COPENHAGEN",0,1,0,0,0,0
"the Council of Economic Advisers",0,0,1,0,0,0
"Club Med",0,0,0,0,1,0
"Housing and Local",0,0,1,0,0,0
"the Yellow Pages",0,0,0,1,0,0
"Governmentintended",0,0,0,1,0,0
"TREASURIES",0,0,0,0,1,0
"MGM",1,0,0,0,0,0
"Registrar of Companies",0,0,0,0,1,0
"Walt Disney Co.",1,0,0,0,0,0
"BjornDahlie",0,1,0,0,0,0
"Rosenbaum house",0,0,0,1,0,0
"Finance",1,0,0,0,0,0
"Folkways Recordings",1,0,0,0,0,0
"Berkeley",1,0,0,0,0,0
"asky blue lace",0,0,0,1,0,0
"Vatican",1,0,0,0,0,0
"ClaireDanes",0,1,0,0,0,0
"the Supreme Courtruling",0,0,1,0,0,0
