Entity,COR,INC,PAR,SPU,MIS,IGN
"CLINTON",1,0,0,0,0,0
"Magnus Gustafsson",1,0,0,0,0,0
"Nina Totenberg",0,0,0,0,1,0
"GaryDiSarcina",0,0,0,0,1,0
"Philip Glass",0,0,0,0,1,0
"William Headline,",0,0,1,0,0,0
"Michael Leavitt",1,0,0,0,0,0
"A.J. Johnson",0,0,0,0,1,0
"Caym",0,0,0,0,1,0
"Sani Abacha",1,0,0,0,0,0
"Agassi",1,0,0,0,0,0
"Weston",1,0,0,0,0,0
"Husni",1,0,0,0,0,0
"Prokurorov",1,0,0,0,0,0
"Rechnio",0,0,0,0,1,0
"Simeon Nyachaedelayed",0,0,1,0,0,0
"Levine",1,0,0,0,0,0
"Kenneth Matiba",0,0,0,0,1,0
"Buechner",0,0,0,0,1,0
"XL",0,0,0,0,1,0
"Jay Leno",0,0,0,0,1,0
"Dan Burk",1,0,0,0,0,0
"Gabor",0,0,1,0,0,0
"Samuelson",1,0,0,0,0,0
"Felix",0,0,1,0,0,0
"J. Jackson Walter,",0,0,1,0,0,0
"Wendy White",1,0,0,0,0,0
"Alan Brody",0,0,0,0,1,0
"Adriana Bosch",0,0,0,0,1,0
"Winslet",1,0,0,0,0,0
"Charles Johnson",1,0,0,0,0,0
"G. Selvakumar",0,0,0,1,0,0
"Julia Chepalova",1,0,0,0,0,0
"John Wren",0,0,0,0,1,0
"Jed Bernstein",0,0,0,0,1,0
"L'il Man",0,0,0,0,1,0
"Firoz Ali",1,0,0,0,0,0
"Douglas",1,0,0,0,0,0
"Martin",0,0,1,0,0,0
"Christoph Langenkamp",0,0,0,0,1,0
"Ice Cube",0,0,0,0,1,0
"DiCaprio",1,0,0,0,0,0
"Celine Dion",0,0,0,0,1,0
"Dieter Dengler",1,0,0,0,0,0
"Roberto Sighel",1,0,0,0,0,0
"Bracken",0,0,1,0,0,0
"JamieFoxx Blue",0,0,1,0,0,0
"Adam Clayton Powell III",0,0,0,0,1,0
"Pamela Bethel",0,0,0,0,1,0
"William Gale,",0,0,1,0,0,0
"Mitchell",1,0,0,0,0,0
"U.",0,0,0,1,0,0
"LisaRaye Diamond",0,0,1,0,0,0
"K.C.",0,0,0,0,1,0
"SatydeoSawh",0,0,0,0,1,0
"Carl Craig",1,0,0,0,0,0
"Werner Abegg",0,0,0,0,1,0
"Jones'",0,0,1,0,0,0
"Gross'",0,0,1,0,0,0
"Michael",1,0,0,0,0,0
"Jihan El-Tahri",0,0,0,0,1,0
"MARTIN LUTHER KING",0,0,0,0,1,0
"Edmonds",1,0,0,0,0,0
"Beckmesser",0,0,0,0,1,0
"Hoover",1,0,0,0,0,0
"Laura Ziskin",0,0,0,0,1,0
"Anders Aukland",0,0,0,0,1,0
"O'Neill",0,0,1,0,0,0
"Ronnie",0,0,0,0,1,0
"Trevor Boddy",1,0,0,0,0,0
"Anita Moen-Guidon",0,0,0,0,1,0
"Chaym",1,0,0,0,0,0
"Jack Ablin,",0,0,1,0,0,0
"Del Ponte",1,0,0,0,0,0
"Shakespeare",1,0,0,0,0,0
"FranceDavis",0,0,0,0,1,0
"Tara Lipinski",0,0,0,0,1,0
"Fagbite Asamu",1,0,0,0,0,0
"Jean Jacques",0,0,0,1,0,0
"Bob",0,0,0,0,1,0
"Lamidi Fakeye",0,0,0,0,1,0
"Terry Gross",1,0,0,0,0,0
"Jennifer Berman,",0,0,1,0,0,0
"Monica Lewinsky,",0,0,1,0,0,0
"Al Gore,",0,0,1,0,0,0
"Wan Yeh Mahmood",1,0,0,0,0,0
"Drudge",1,0,0,0,0,0
"Wright",1,0,0,0,0,0
"Michael Hausfeld,",0,0,1,0,0,0
"Lebed",1,0,0,0,0,0
"Yoruba",0,0,0,1,0,0
"Ron Wyden",0,0,0,0,1,0
"Marian Thomas Griffin;",0,0,1,0,0,0
"Larry David,",0,0,1,0,0,0
"David Umansky",0,0,0,0,1,0
"Glen Scantlebury",0,0,0,0,1,0
"Ronn Riser Professor Mills",0,0,1,0,0,0
"Williams",1,0,0,0,0,0
"Charles Murphy",0,0,0,0,1,0
"Seve Ballesteros, Jose MariaCanizares",0,0,1,0,0,0
"Frank Sinatra",1,0,0,0,0,0
"Moe Foner",0,0,0,0,1,0
"Kevin Ashby,",0,0,1,0,0,0
"Ola Skuterud",0,0,0,0,1,0
"Magdalene",0,0,0,0,1,0
"Ronald Reagan WashingtonInternational Airport",0,1,0,0,0,0
"Martin Luther King Jr.",1,0,0,0,0,0
"DavidWells",0,0,0,0,1,0
"Eldon Dorman,",0,0,0,1,0,0
"Scott Rowe",1,0,0,0,0,0
"U. N. ambassador, Alain Dejammet,",0,0,1,0,0,0
"Dean Wilson",1,0,0,0,0,0
"Tracy Jones",0,0,0,0,1,0
"Charlie Ward",0,0,0,0,1,0
"Mel Gibson",1,0,0,0,0,0
"Robi Byrd",0,0,0,0,1,0
"Conor McCourt",1,0,0,0,0,0
"Ramzi Yousef",1,0,0,0,0,0
"Charles Johnson,",0,0,1,0,0,0
