Entity,COR,INC,PAR,SPU,MIS,IGN
"Copenhagen",1,0,0,0,0,0
"Nanook",0,0,0,1,0,0
"Warsaw",1,0,0,0,0,0
"anAlbanian",0,0,1,0,0,0
"theRepublic of Congo",0,0,1,0,0,0
"DAVIS",0,0,0,1,0,0
"Israel",1,0,0,0,0,0
"INC",0,0,0,1,0,0
"Arabianpeninsula",0,0,0,1,0,0
"Dupont Circle",1,0,0,0,0,0
"Arlington",1,0,0,0,0,0
"PRICE",0,0,0,0,1,0
"Guyana",1,0,0,0,0,0
"Israel'sproposal",0,0,1,0,0,0
"Paris",1,0,0,0,0,0
"inFrance",0,0,1,0,0,0
"Baltimore",1,0,0,0,0,0
"Jerusalem",0,0,0,0,1,0
"Kuala Pilah",1,0,0,0,0,0
"Salt Lake City's",0,0,1,0,0,0
"West Coast",0,0,0,1,0,0
"Nabatiyeh",1,0,0,0,0,0
"LOS ANGELES",1,0,0,0,0,0
"Januaryto",0,0,0,1,0,0
"BELFAST",0,0,0,0,1,0
"The United States",0,0,1,0,0,0
"NewBrunswick",1,0,0,0,0,0
"Somalia",1,0,0,0,0,0
"Holmenkollen",1,0,0,0,0,0
"TheNorthern Ireland",0,0,1,0,0,0
"England",0,0,0,0,1,0
"Yugoslavia",1,0,0,0,0,0
"Reston",1,0,0,0,0,0
"Ottawa",1,0,0,0,0,0
"Tiananmen Square",0,0,0,0,1,0
"NEW ORLEANS",0,0,0,0,1,0
"Belle Plaine",1,0,0,0,0,0
"D",0,0,1,0,0,0
"Little Rock's",0,0,1,0,0,0
"Januaryand",0,0,0,1,0,0
"Koermend",1,0,0,0,0,0
"Tanjung",0,0,0,0,1,0
"HEAT NEW YORK",0,0,1,0,0,0
"Hjelmeseth",0,1,0,0,0,0
"Santa Clara",1,0,0,0,0,0
"Canada",1,0,0,0,0,0
"San aFriday",0,0,0,1,0,0
"Terengganuthat",0,0,1,0,0,0
"Cuba",1,0,0,0,0,0
"Jonestown",1,0,0,0,0,0
"Manhattan",1,0,0,0,0,0
"Marlboro",1,0,0,0,0,0
"Tenn",0,0,1,0,0,0
"Salt LakeCity",1,0,0,0,0,0
"TBILISI",1,0,0,0,0,0
"Budapest",1,0,0,0,0,0
"Britain",1,0,0,0,0,0
"SAN`A",0,0,0,0,1,0
"Broadway",0,0,0,0,1,0
"Beach",1,0,0,0,0,0
"N. J.",0,0,0,1,0,0
"Guyana AP",0,0,1,0,0,0
"the Soviet Union",0,0,1,0,0,0
"SanJose",1,0,0,0,0,0
"Des Moines",1,0,0,0,0,0
"Ife",1,0,0,0,0,0
"Dallas",1,0,0,0,0,0
"sun",0,0,0,0,1,0
"Jacksonville",1,0,0,0,0,0
"Oneida County",1,0,0,0,0,0
"Ceyhan",1,0,0,0,0,0
"Uganda",1,0,0,0,0,0
"Columbus",1,0,0,0,0,0
"Saigon",1,0,0,0,0,0
"theWest Coast",0,0,0,1,0,0
"Baku",1,0,0,0,0,0
"Memphis",1,0,0,0,0,0
"UTAH",0,0,0,0,1,0
"Washington",1,0,0,0,0,0
"Israel andBelgium",0,0,1,0,0,0
"Yaleis",0,0,0,1,0,0
"Iowa",1,0,0,0,0,0
"Mass",0,0,1,0,0,0
"Bosnia",1,0,0,0,0,0
"ROC",0,1,0,0,0,0
"N.Y.",0,0,0,0,1,0
"OAKLAND",1,0,0,0,0,0
"Rome",1,0,0,0,0,0
"Tyre",1,0,0,0,0,0
"Cascades",0,0,0,0,1,0
"Kuantan",1,0,0,0,0,0
"Dublin",1,0,0,0,0,0
"Alabama",1,0,0,0,0,0
"Ontario",1,0,0,0,0,0
"N.M.",0,0,0,0,1,0
"BIG",0,0,0,1,0,0
"Norio",0,0,0,1,0,0
"Klang",1,0,0,0,0,0
"Tuscumbia",1,0,0,0,0,0
"Miss.",1,0,0,0,0,0
"Minn.",1,0,0,0,0,0
"South Africa",1,0,0,0,0,0
"Tokyo",1,0,0,0,0,0
"CAMBRIDGE",1,0,0,0,0,0
"Sidon",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"NAIROBI, Kenya",0,0,1,0,0,0
"Hollywood",1,0,0,0,0,0
"Scarsdale",1,0,0,0,0,0
"Baikonur",1,0,0,0,0,0
"Switzerland",1,0,0,0,0,0
"Lebanon",1,0,0,0,0,0
"N. D.",0,0,0,1,0,0
"London",1,0,0,0,0,0
"New Orleans",1,0,0,0,0,0
"Perak",1,0,0,0,0,0
"Netherlands",1,0,0,0,0,0
"Hamptons",1,0,0,0,0,0
"HEERENVEEN",0,0,0,0,1,0
"DUNBLANE",1,0,0,0,0,0
"New York City",1,0,0,0,0,0
"Hillsborough",1,0,0,0,0,0
"Cukai",1,0,0,0,0,0
"Boston",1,0,0,0,0,0
"Kazakstan",1,0,0,0,0,0
"ofLinden",0,0,1,0,0,0
"NAIROBI",1,0,0,0,0,0
"KRASNOYARSK",0,0,0,0,1,0
"Singapore",1,0,0,0,0,0
"PresspassStadium",0,0,0,1,0,0
"China",1,0,0,0,0,0
"the U. N.",0,0,0,1,0,0
"Eritrea",1,0,0,0,0,0
"Nagano",1,0,0,0,0,0
"Cheyenne",0,0,0,1,0,0
"TRANSPORT WASHINGTON",0,0,1,0,0,0
"Jalan BukitKemuning",0,0,0,0,1,0
"San Francisco",1,0,0,0,0,0
"Knin",1,0,0,0,0,0
"Ohio",1,0,0,0,0,0
"Korea",1,0,0,0,0,0
"overCalifornia",0,0,1,0,0,0
"San Mateo",1,0,0,0,0,0
"Denmark",1,0,0,0,0,0
"San`a",0,0,0,0,1,0
"New England",1,0,0,0,0,0
"St. Louis",1,0,0,0,0,0
"Ireland",1,0,0,0,0,0
"Lebed'sname",0,0,0,1,0,0
"Oakland",1,0,0,0,0,0
"Kosovo",1,0,0,0,0,0
"Kuala Kemaman",1,0,0,0,0,0
"Serbia",1,0,0,0,0,0
"MOSCOW",1,0,0,0,0,0
"Mogadishuin",0,0,1,0,0,0
"STONE MOUNTAIN",1,0,0,0,0,0
"Beijing",1,0,0,0,0,0
"Johor",0,0,0,0,1,0
"fromAzerbaijan",0,0,1,0,0,0
"California",1,0,0,0,0,0
"Los Angeles",1,0,0,0,0,0
"Scotland",1,0,0,0,0,0
"INC.",0,0,0,1,0,0
"Brooklyn",1,0,0,0,0,0
"Tyler",1,0,0,0,0,0
"Va.",1,0,0,0,0,0
"Zion",0,0,0,1,0,0
"Parislast",0,0,1,0,0,0
"Norway",1,0,0,0,0,0
"Mentakab",0,0,0,0,1,0
"ROME",1,0,0,0,0,0
"the U. S.",0,0,0,1,0,0
"FLORENCE",1,0,0,0,0,0
"ULSTER",0,0,0,0,1,0
"earth",0,0,0,0,1,0
"India",1,0,0,0,0,0
"Baalbek",1,0,0,0,0,0
"NewYork",1,0,0,0,0,0
"LITTLE ROCK",1,0,0,0,0,0
"Florida",1,0,0,0,0,0
"ofSidon",0,0,1,0,0,0
"fromNorthern Ireland",0,0,1,0,0,0
"Amsterdam",0,0,0,0,1,0
"milky way",0,0,0,0,1,0
"Nairobi",0,0,0,0,1,0
"Stirto",0,0,0,1,0,0
"Brisbane",1,0,0,0,0,0
"Zurich",1,0,0,0,0,0
"Waterloo",1,0,0,0,0,0
"St. Petersburg's",0,0,1,0,0,0
"Congo",1,0,0,0,0,0
"Teluk Intan",0,0,0,0,1,0
"N.J.",0,0,0,0,1,0
"Geneva",1,0,0,0,0,0
"NewYork City",1,0,0,0,0,0
"Burundi",1,0,0,0,0,0
"Waterford",0,0,0,0,1,0
"Fla.",1,0,0,0,0,0
"Georgetown",1,0,0,0,0,0
"France",1,0,0,0,0,0
"Sioux City",1,0,0,0,0,0
"Laos",1,0,0,0,0,0
"R Utica",0,0,1,0,0,0
"Hadatha",1,0,0,0,0,0
"Calif",0,0,1,0,0,0
"BEIRUT",0,0,0,0,1,0
"theNew York",0,0,1,0,0,0
"Italy",1,0,0,0,0,0
"R Miss.",0,0,1,0,0,0
"Harbin",1,0,0,0,0,0
"the Irish Republic's",0,0,1,0,0,0
"WASHINGTON",1,0,0,0,0,0
"Soweida",1,0,0,0,0,0
"Nigeria",1,0,0,0,0,0
"Bayona",0,1,0,0,0,0
"Houston Street",0,0,0,0,1,0
"Albania",1,0,0,0,0,0
"Calif.",1,0,0,0,0,0
"Atlanta",1,0,0,0,0,0
"Utica",1,0,0,0,0,0
"D Maine",0,0,1,0,0,0
"Changchun",1,0,0,0,0,0
"Georgia",1,0,0,0,0,0
"Fridaythat",0,0,0,1,0,0
"Malaysia",1,0,0,0,0,0
"Hull",1,0,0,0,0,0
"Sarawak",1,0,0,0,0,0
"El Nino",0,0,0,1,0,0
"Quebec",1,0,0,0,0,0
"Baarchit",1,0,0,0,0,0
"GEORGETOWN",1,0,0,0,0,0
"Bronx",1,0,0,0,0,0
"Arkansas",1,0,0,0,0,0
"Central Park",0,0,0,0,1,0
"Ga.",1,0,0,0,0,0
"Hardon",1,0,0,0,0,0
"Ala.",1,0,0,0,0,0
"Russia",1,0,0,0,0,0
"Croatia",1,0,0,0,0,0
"U. N",0,0,0,1,0,0
"Pahang",1,0,0,0,0,0
"Virginia",0,0,0,0,1,0
"Seattle",1,0,0,0,0,0
"NEW YORK",1,0,0,0,0,0
"Nazi Germany",0,0,1,0,0,0
"Castel Gandolfo",1,0,0,0,0,0
"Kenya",1,0,0,0,0,0
"Buffalo",1,0,0,0,0,0
"MALAYSIA",1,0,0,0,0,0
"TOKYO",0,0,0,0,1,0
"U. S. N.",0,0,0,1,0,0
"the Irish Republic",0,0,1,0,0,0
"Nevada",1,0,0,0,0,0
"OSLO",0,0,0,0,1,0
"PARIS",0,0,0,0,1,0
"BLANTYRE",0,0,0,0,1,0
"Krasnoyarsk",0,0,0,0,1,0
"Sojod",1,0,0,0,0,0
"Lake Arrowhead",1,0,0,0,0,0
"Rwanda",1,0,0,0,0,0
"BONN",0,0,0,0,1,0
"the United States",0,0,1,0,0,0
"Zone A",0,0,0,1,0,0
"Governmentintended",0,0,0,1,0,0
"Carbon County",1,0,0,0,0,0
"Holland",1,0,0,0,0,0
"United States",1,0,0,0,0,0
"THE BUCK",0,0,0,1,0,0
"Missouri RiverValley",0,0,0,0,1,0
"Salt Lake City",1,0,0,0,0,0
"theUnited States",0,0,1,0,0,0
"Massachusetts",1,0,0,0,0,0
"Indian Wells",1,0,0,0,0,0
"Turkey",1,0,0,0,0,0
"PRISTINA",0,0,0,0,1,0
"Shah Alam",0,0,0,0,1,0
"Little Rock",1,0,0,0,0,0
"Rantau Abang",1,0,0,0,0,0
"BEIJING",1,0,0,0,0,0
"Santa Fe",0,0,0,0,1,0
"Moscow",1,0,0,0,0,0
"U. N.",0,0,0,1,0,0
"States",0,0,1,0,0,0
"Israelitown",0,0,1,0,0,0
"Louisiana",1,0,0,0,0,0
"Damascus",1,0,0,0,0,0
"St. Petersburg",1,0,0,0,0,0
"Djibouti",1,0,0,0,0,0
"N. Y",0,0,0,1,0,0
"Ark.",1,0,0,0,0,0
"Lagos",1,0,0,0,0,0
"N. Y.",0,0,0,1,0,0
"Portugal",1,0,0,0,0,0
"KualaLumpur",1,0,0,0,0,0
"San Diego",1,0,0,0,0,0
"HOLLYWOOD",1,0,0,0,0,0
"Philadelphia",1,0,0,0,0,0
"U. S.",0,0,0,1,0,0
"NewJersey",1,0,0,0,0,0
"D Buffalo",0,0,1,0,0,0
"New York",1,0,0,0,0,0
"LakeGeneva",1,0,0,0,0,0
"Oregon",1,0,0,0,0,0
"Belfast",1,0,0,0,0,0
"Studio City",1,0,0,0,0,0
"Afula",1,0,0,0,0,0
"Gorky",1,0,0,0,0,0
"Selangor",0,0,0,1,0,0
"Canaan",0,0,0,0,1,0
"Dunblane",1,0,0,0,0,0
"Ilesha",1,0,0,0,0,0
"TurkishMediterranean",0,0,1,0,0,0
"Cyberspace",0,0,0,1,0,0
"MINNEAPOLIS",0,0,0,0,1,0
"Tampa",1,0,0,0,0,0
"North Carolina",1,0,0,0,0,0
"Zaire",1,0,0,0,0,0
"JAPAN",1,0,0,0,0,0
"Mass.",1,0,0,0,0,0
"Kuantanairport",1,0,0,0,0,0
"America",1,0,0,0,0,0
"Poland",0,0,0,0,1,0
"CALCUTTA",0,0,0,0,1,0
"Starr'soffice",0,0,0,1,0,0
"Muskegon",1,0,0,0,0,0
"Boehlert",0,1,0,0,0,0
"Japan",1,0,0,0,0,0
"Texas",1,0,0,0,0,0
"Tanzania",1,0,0,0,0,0
"New World",0,0,0,0,1,0
"Tennessee",1,0,0,0,0,0
"Germany",1,0,0,0,0,0
"Mogadishu",1,0,0,0,0,0
"the MiddleAtlantic States",0,0,1,0,0,0
"Sukhumi",0,0,0,0,1,0
"Milan",1,0,0,0,0,0
"YORK",0,0,1,0,0,0
"Yemen",1,0,0,0,0,0
"Romeexpressway",0,0,1,0,0,0
"Limerick",0,0,0,0,1,0
"Malawi",1,0,0,0,0,0
"South Korea",1,0,0,0,0,0
"Utah",1,0,0,0,0,0
"PulauUlar",0,0,0,0,1,0
"JERUSALEM",0,0,0,0,1,0
"79th Street",0,0,0,0,1,0
"Terengganu",1,0,0,0,0,0
"asNizhny Novgorod",0,0,1,0,0,0
"Nebraska",1,0,0,0,0,0
"Beirut",1,0,0,0,0,0
"RobertWilson",0,1,0,0,0,0
"Cherating",1,0,0,0,0,0
"D Ore.",0,0,1,0,0,0
"Florence",1,0,0,0,0,0
"Chicago",1,0,0,0,0,0
*TOTAL*,217,5,45,36,104,0
