Entity,COR,INC,PAR,SPU,MIS,IGN
"tens ofthousands of dollars",1,0,0,0,0,0
"$2 billion",0,0,0,0,1,0
"$23.50",0,0,0,0,1,0
"8 billion",0,0,0,1,0,0
"dlrs 25",0,0,0,0,1,0
"millions of ringgit",1,0,0,0,0,0
"1. 73 trillion",0,0,0,1,0,0
"150,000",0,0,1,0,0,0
"6 cents",1,0,0,0,0,0
"RM10",0,0,0,0,1,0
"half-a millionringgit",0,0,0,0,1,0
"8 cents",1,0,0,0,0,0
"billions of dollars",0,0,1,0,0,0
"$58 million",0,0,0,0,1,0
"RM2billion",0,0,0,0,1,0
"several thousand dollars",1,0,0,0,0,0
"dlrs 18",0,0,0,0,1,0
"104",0,0,0,0,1,0
"4 cents",1,0,0,0,0,0
"hundreds ofmillions of dollars",1,0,0,0,0,0
"$40.2million",0,0,0,0,1,0
"7. 57 billion",0,0,0,1,0,0
"125 million_",0,0,0,1,0,0
"$500,000",0,0,0,0,1,0
"RM1",0,0,0,0,1,0
"$20 billion",0,0,0,0,1,0
"217 billion",0,0,1,0,0,0
"RM120,000",1,0,0,0,0,0
"hundreds of billions ofdollars",1,0,0,0,0,0
"42 yen",0,0,1,0,0,0
"1. 4billion",0,0,0,1,0,0
"penny",0,0,0,0,1,0
"hundreds of pounds",0,1,0,0,0,0
"$2-million",0,0,0,0,1,0
"$12.63",0,0,0,0,1,0
"$1.73 trillion",0,0,0,0,1,0
"$1 billion",0,0,0,0,1,0
"$500",0,0,0,0,1,0
"PENNY",0,0,0,0,1,0
"some 389 million worth",0,0,0,1,0,0
"$4-billion",0,0,0,0,1,0
"$1,000",0,0,0,0,1,0
"up to one million dollars",0,0,1,0,0,0
"$8-billion",0,0,0,0,1,0
"dlrs 100",0,0,0,0,1,0
"dlrs 36",0,0,0,0,1,0
"$6 million",0,0,0,0,1,0
"$23",0,0,0,0,1,0
"dime",0,0,0,0,1,0
"$180-million",0,0,0,0,1,0
"$1.4billion",0,0,0,0,1,0
"2 kroner 28 cents",0,0,1,0,0,0
*TOTAL*,9,1,6,6,60,0
