Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"FDCH",0,0,1,0,0,0
"theRegistrar of Companies",0,0,1,0,0,0
"the Universityof Maryland",0,0,1,0,0,0
"Manpower Inc.",1,0,0,0,0,0
"Titanic",0,0,0,1,0,0
"Komsomol",0,0,0,0,1,0
"Selangor Malay Chamber of Commerceand Industry",1,0,0,0,0,0
"bythe Supreme Court",0,0,1,0,0,0
"the Smithsonian Collection of Recordingscould",0,0,1,0,0,0
"Holocaust",0,0,0,1,0,0
"IsuzuMotors Ltd.",1,0,0,0,0,0
"the Kuantan Municipal Council",0,0,1,0,0,0
"Co.",0,0,1,0,0,0
"U. Library of Congress",0,0,1,0,0,0
"MIT",1,0,0,0,0,0
"SouthAfrican Broadcasting Corp. 's",0,0,1,0,0,0
"the Alabama Bureau ofTourism",0,0,0,1,0,0
"Heineken USA Inc.",1,0,0,0,0,0
"Registrar",1,0,0,0,0,0
"Moody's Investors Service",1,0,0,0,0,0
"Wellswould",0,0,1,0,0,0
"Noble",0,0,1,0,0,0
"the Paramount Motion Picture Group",0,0,1,0,0,0
"Red Brigade",1,0,0,0,0,0
"NORSI",1,0,0,0,0,0
"Senate",1,0,0,0,0,0
"Yablocko Party",1,0,0,0,0,0
"RoseGarden",0,0,0,1,0,0
"ROC",0,0,0,0,1,0
"the Clinton Administration",0,0,0,1,0,0
"ofFrank Assumma",0,0,0,1,0,0
"NBC",1,0,0,0,0,0
"AmericanLeague",1,0,0,0,0,0
"Cardinal",0,1,0,0,0,0
"Pepperdine",0,0,0,0,1,0
"the Communist Party",0,0,1,0,0,0
"Castle Rock Entertainment",1,0,0,0,0,0
"the South Koreangovernment",0,0,0,1,0,0
"SHAH ALAM, Thurs",0,0,0,1,0,0
"July12",0,1,0,0,0,0
"the Cyberspace Law Institute",0,0,1,0,0,0
"HOUSE",0,0,0,0,1,0
"The Associated Press",1,0,0,0,0,0
"Qradio",1,0,0,0,0,0
"Trophy Lalique",0,0,0,1,0,0
"Associates",0,0,1,0,0,0
"Georgia Pacific Corp.",0,0,0,1,0,0
"Utah Fuel Co. Duringan",0,0,1,0,0,0
"theTankan",0,0,0,1,0,0
"McGlashan AMP",0,0,0,1,0,0
"the Royal Calcutta Golf Club",0,0,1,0,0,0
"the All ThingsConsidered''",0,0,0,1,0,0
"WELLS BDDP",1,0,0,0,0,0
"Addis Wechsler AMP",0,0,0,1,0,0
