Entity,COR,INC,PAR,SPU,MIS,IGN
"Toys R",0,0,0,0,0,1
"Fresh Air''",0,0,0,0,0,1
"RM10",0,1,0,0,0,0
"30skaters",0,0,0,0,0,1
"Protonrocket",0,0,0,0,0,1
"The Human Zamboni",0,0,0,0,0,1
"Shorty",0,1,0,0,0,0
"Riverdance",0,0,0,0,0,1
"Moet Hennesy",0,0,0,0,0,1
"PacificStates",0,0,0,0,0,1
"Legacy",0,1,0,0,0,0
"SAN A",0,0,0,0,0,1
"Holocaustsurvivors",0,0,0,0,0,1
"Abgal",0,0,0,0,0,1
"Muthaiga",0,1,0,0,0,0
"fromAzerbaijan",0,0,0,0,0,1
"New Beetle",0,0,0,0,0,1
"likeAngel Soft",0,0,0,0,0,1
"Sparkle",0,0,0,0,0,1
"Lohengrin",0,0,0,0,0,1
"withWilliams",0,0,0,0,0,1
"Titanic",0,0,0,0,0,1
"Yemen AP",0,0,0,0,0,1
"Class A",0,0,0,0,0,1
"Kosmos 2350",0,0,0,0,0,1
"Arating",0,0,0,0,0,1
"Viagra",0,0,0,0,0,1
*TOTAL*,0,4,0,0,0,23
