Dataset,Group,Model,Category,TNNT-Category,Entity,COR,INC,PAR,SPU,MIS,IGN
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Charles E. Brinley",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","corre",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","George Town",0,1,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Michael Moretti",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Frank Wouters",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Chen Shuning",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Zhang Jilun",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Richard G. Page 12",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Frank Wouters SIGNED",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Hereinafter",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Richard Chleboski",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Chen Shuning Name",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","David Brooks",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","David",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","David Corre Fax",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Holder",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Agent",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","DFischer",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","By",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Bing Yu Tel",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Riemer Braunstein",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sidney X. Huang Address",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","David A. Ephraim",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Michael Morreti",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Telecopier",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Jonathan Medved Title",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Shi Rongbin",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lien",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","2 Bing Yu `` Borrower",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","lender",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Person",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","James P. Walker Title",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","David Fischer Name : David Fischer Title : Manager Signature",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sidney X . Huang",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","DEphraim",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Jonathan Medved",1,0,0,0,0,0
