Entity,COR,INC,PAR,SPU,MIS,IGN
"four 4",0,0,0,0,0,1
"303 858 7048",0,0,0,0,0,1
"19",0,0,0,0,0,1
"12",0,0,0,0,0,1
"500 , 000",0,0,0,0,0,1
"17",0,0,0,0,0,1
"700",0,0,0,0,0,1
"830",0,0,0,0,0,1
"00",0,0,0,0,0,1
"18",0,0,0,0,0,1
"10",0,0,0,0,0,1
"8",0,0,0,0,0,1
"6",0,0,0,0,0,1
"44",0,1,0,0,0,0
"7",0,0,0,0,0,1
"275",0,0,0,0,0,1
"11",0,0,0,0,0,1
"one 1",0,0,0,0,0,1
"at least fifty thousand 50 , 000",0,0,0,0,0,1
"16",0,0,0,0,0,1
"4",0,0,0,0,0,1
"22",0,0,0,0,0,1
"3",0,0,0,0,0,1
"5 5",0,0,0,0,0,1
"02108",0,0,0,0,0,1
"972 2 991 3382",0,0,0,0,0,1
"2",0,0,0,0,0,1
"203",0,0,0,0,0,1
"1",0,0,0,0,0,1
"100",0,0,0,0,0,1
"more than one",0,0,0,0,0,1
"at least two 2",0,0,0,0,0,1
"four",0,0,0,0,0,1
"00 100",0,0,0,0,0,1
"one Party",0,0,0,0,0,1
"20",0,0,0,0,0,1
"15",0,0,0,0,0,1
"200",0,0,0,0,0,1
"nine",0,0,0,0,0,1
"000",0,0,0,0,0,1
"5",0,0,0,0,0,1
"500",0,0,0,0,0,1
"three",0,0,0,0,0,1
"05",0,0,0,0,0,1
"9",0,0,0,0,0,1
"43",0,0,0,0,0,1
"30",0,0,0,0,0,1
"three 3 Business Day",0,0,0,0,0,1
"2426798",0,0,0,0,0,1
"21",0,0,0,0,0,1
"14",0,0,0,0,0,1
"6328",0,0,0,0,0,1
"40",0,0,0,0,0,1
"37",0,0,0,0,0,1
"619 230 3029 3",0,0,0,0,0,1
"2 EVERGREEN SOLAR , INC .",0,0,0,0,0,1
"two",0,0,0,0,0,1
"80503",0,0,0,0,0,1
"530",0,0,0,0,0,1
"619 230 3766",0,0,0,0,0,1
"at least three hundred thousand 300 , 000",0,0,0,0,0,1
"two 2",0,0,0,0,0,1
"one",0,0,0,0,0,1
"13",0,0,0,0,0,1
"36",0,1,0,0,0,0
*TOTAL*,0,2,0,0,0,63
