Entity,COR,INC,PAR,SPU,MIS,IGN
"the Internal Revenue Code",0,0,0,0,0,1
"the Massachusetts Uniform Commercial Code",0,0,0,0,0,1
"the French Code de la Consommation",0,0,0,0,0,1
"the Employment Retirement Income Security Act of 1974",0,0,0,0,0,1
"the Fifth Amendment",0,0,0,0,0,1
"Permitted Lien",0,0,0,0,0,1
"Page 10 of 12 7 December 2007",0,0,0,0,0,1
"Article 4",0,0,0,0,0,1
"Section 6 . 1 . Section 10",0,0,0,0,0,1
"the Act . ARTICLE IV ISSUANCE OF BONDS Section 4",0,0,0,0,0,1
"this Section 2",0,0,0,0,0,1
"this Section 6 . 5",0,0,0,0,0,1
"Section 148 of the Code",0,0,0,0,0,1
"Title I of ERISA",0,0,0,0,0,1
"Section 3 . 2",0,0,0,0,0,1
"Section 8",0,0,0,0,0,1
"Section 10 . 11",0,0,0,0,0,1
"Article 11 Effectiveness This Agreement",0,0,0,0,0,1
"the Investment Company Act of 1940",0,0,0,0,0,1
"this Loan Agreement . APPLICABLE LAW AND LANGUAGE 16 . 1 This Agreement",0,0,0,0,0,1
"Section 5 . 1",0,0,0,0,0,1
"Section 6 . 2",0,0,0,0,0,1
"ARTICLE VIII ASSIGNMENT Section 8",0,0,0,0,0,1
"this Article 15",0,0,0,0,0,1
"the Code",0,0,0,0,0,1
"Section 7",0,0,0,0,0,1
"7 PAGE 8",0,0,0,0,0,1
"Section 101 of the Bankruptcy Code",0,0,0,0,0,1
"Section 12 . 2",0,0,0,0,0,1
"Articles or Divisions of the Code",0,0,0,0,0,1
"this Loan Agreement",0,0,0,0,0,1
"the Loan Documents",0,0,0,0,0,1
"Clause 3 . 4",0,0,0,0,0,1
"Section 13",0,0,0,0,0,1
"Chapter 46 of the Acts of Assembly of 1952 of the Commonwealth of Virginia",0,0,0,0,0,1
"Article 7",0,0,0,0,0,1
"ERISA "" plan asset regulations , "" 29 C. F. R. 2510 . 3 101",0,0,0,0,0,1
"Section 4 . 1",0,0,0,0,0,1
"Section 103 of the Code",0,0,0,0,0,1
"the United States Bankruptcy Code",0,0,0,0,0,1
"the Act",0,0,0,0,0,1
"any Loan Document",0,0,0,0,0,1
"Section 3 . 2 a ix of the Throughput Agreement . Section 5",0,0,0,0,0,1
"Section 2 i . SECTION 2",0,0,0,0,0,1
"this Section 10",0,0,0,0,0,1
"ARTICLE IX DEFAULTS AND REMEDIES Section 9",0,0,0,0,0,1
"ARTICLE V REPAYMENT OF LOAN Section 5",0,0,0,0,0,1
"Section 10",0,0,0,0,0,1
"Section 6",0,0,0,0,0,1
"9 PAGE ARTICLE X MISCELLANEOUS Section 10",0,0,0,0,0,1
"4 No Breach This Agreement",0,0,0,0,0,1
"the Loan Agreement",0,0,0,0,0,1
"Party 15 . 3",0,0,0,0,0,1
"the Fifth Supplemental Lease",0,0,0,0,0,1
"Sections 5 . 2",0,0,0,0,0,1
"This Loan Agreement",0,0,0,0,0,1
"5 PAGE Section 5",0,0,0,0,0,1
"this Section 8",0,0,0,0,0,1
"Section 6 . 8 PAGE Section 8",0,0,0,0,0,1
"Section 10 . 8 Complete Agreement . This Loan Agreement",0,0,0,0,0,1
"Section 6 . 4 Company ' s",0,0,0,0,0,1
"Article 1 Definitions 1 . 1 Special Definitions As",0,0,0,0,0,1
"Section 4",0,0,0,0,0,1
"the Investment Company Act",0,0,0,0,0,1
"HKIAC Procedures for Arbitration",0,0,0,0,0,1
"the Indenture of Trust",0,0,0,0,0,1
"10 PAGE 11 8",0,0,0,0,0,1
"the Federal Fair Labor Standards Act",0,0,0,0,0,1
"Section 3 . 2 . ARTICLE III COMPLETION OF THE PROJECT Section 3",0,0,0,0,0,1
"Section 12 . 13 PAGE 14 12 . 8",0,0,0,0,0,1
"10 PAGE Section 10",0,0,0,0,0,1
"Section 55 of the Code",0,0,0,0,0,1
"Article 18",0,0,0,0,0,1
"this Section 6",0,0,0,0,0,1
"Regulation U of the Board of Governors of the Federal Reserve System",0,0,0,0,0,1
"Shi Rongbin Title : Director DOCSTART LOAN AGREEMENT THIS LOAN AGREEMENT",0,0,0,0,0,1
"Sections 5 . 3",0,0,0,0,0,1
"8 Governing Law and Resolution of Disputes 8 . 9 8 . 2",0,0,0,0,0,1
"Page 3 of 12 7 December 2007 1",0,0,0,0,0,1
"11 PAGE 12",0,0,0,0,0,1
"620 1 to L. 644 6 of the French Commercial Code",0,0,0,0,0,1
"Section 148 f of the Code",0,0,0,0,0,1
"Section 10 . This Loan Agreement",0,0,0,0,0,1
"ARTICLE VI OTHER COMPANY AGREEMENTS Section 6",0,0,0,0,0,1
"Article or Division 9",0,0,0,0,0,1
"Section 884 of the Code",0,0,0,0,0,1
"3 Binding Obligation This Agreement",0,0,0,0,0,1
"the Lease . Section 3",0,0,0,0,0,1
"Title 11 of the United States Code 11",0,0,0,0,0,1
"Section 5",0,0,0,0,0,1
"631 1 of the French Commercial Code",0,0,0,0,0,1
"the UNCITRAL Arbitration Rules",0,0,0,0,0,1
"Section 3 . 4",0,0,0,0,0,1
"the Indenture . Section 10",0,0,0,0,0,1
"the "" Act",0,0,0,0,0,1
"Section 3 42 of ERISA",0,0,0,0,0,1
"this Amendment",0,0,0,0,0,1
"Article 5",0,0,0,0,0,1
"the Employee Retirement Income Security Act",0,0,0,0,0,1
"Section 147 a of the Code",0,0,0,0,0,1
"this Article 10",0,0,0,0,0,1
"Section 4975 of the Code",0,0,0,0,0,1
"the Bankruptcy Code",0,0,0,0,0,1
"this Article 12 A",0,0,0,0,0,1
"Section 10 . 4 Amendments",0,0,0,0,0,1
"SCHEDULE 1 LOAN DOCUMENTS Source : OneCLE Business Contracts . DOCSTART Loan Agreement Amendment No . 1 Union Bank of California NA and Crocs Inc. UNION BANK OF CALIFORNIA LOGO AMENDMENT NO . 1 TO LOAN AGREEMENT THIS AMENDMENT NO . 1 TO LOAN AGREEMENT this "" Amendment",0,0,0,0,0,1
"SECTION 1",0,0,0,0,0,1
"this Section 3",0,0,0,0,0,1
"Sections 6 . 6",0,0,0,0,0,1
"the Uniform Commercial Code",0,0,0,0,0,1
"the Securities Exchange Act of 1934",0,0,0,0,0,1
"Article 17",0,0,0,0,0,1
"L. 611 4 to L. 611 15 of the French Commercial Code",0,0,0,0,0,1
"Exhibit A. ARTICLE II REPRESENTATIONS Section 2 . 1",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,114
