Entity,COR,INC,PAR,SPU,MIS,IGN
"Harbor Road",1,0,0,0,0,0
"coal terminal site",0,0,0,0,1,0
"Monarch Park Place Niwot",0,0,1,0,0,0
"Fifth Avenue",0,0,1,0,0,0
"Register",0,0,0,1,0,0
"Washington Street Newton",0,0,1,0,0,0
"Lender",0,1,0,0,0,0
"Eastern",1,0,0,0,0,0
"Suite",0,0,1,0,0,0
"L. P.",0,0,0,1,0,0
"New York 10017",0,0,0,0,1,0
"France",1,0,0,0,0,0
"Massachusetts 02108",0,0,0,0,1,0
"Agreement",0,0,0,1,0,0
"Paris",1,0,0,0,0,0
"The Lender",0,0,0,1,0,0
"Massachusetts 01752",0,0,0,0,1,0
"Worksoft",0,1,0,0,0,0
"United States.",0,0,1,0,0,0
"B Street",0,0,1,0,0,0
"British West Indies",1,0,0,0,0,0
"Lender.",0,0,0,1,0,0
"Building",0,0,1,0,0,0
"Abbott Building Road Town",1,0,0,0,0,0
"Esquire",0,0,0,0,1,0
"Tasman Drive",0,0,1,0,0,0
"Bank",0,1,0,0,0,0
"Cambridge",1,0,0,0,0,0
"Delaware",0,1,0,0,0,0
"Company.",0,0,0,1,0,0
"Term Loan.",0,0,0,1,0,0
"U. S. A",0,0,0,1,0,0
"36",0,0,0,0,1,0
"Beijing 100086",0,0,0,0,1,0
"Works",0,0,0,1,0,0
"British Virgin Islands",1,0,0,0,0,0
"Obligations.",0,0,0,1,0,0
"Taiwan",1,0,0,0,0,0
"Wall Street",0,0,0,0,1,0
"south",0,0,0,0,1,0
"Ashford",0,1,0,0,0,0
"Succursale en France Branch",0,0,1,0,0,0
"Commonwealth of Massachusetts",0,0,0,0,1,0
"southeast",0,0,0,0,1,0
"N.",0,0,0,1,0,0
"L. P. Two Newton Executive Park",0,0,1,0,0,0
"U. S.",0,0,0,1,0,0
"Zhongguancun Software Park",1,0,0,0,0,0
"SILICON VALLEY EAST",1,0,0,0,0,0
"Agent",0,0,0,1,0,0
"Floor San Diego",0,0,1,0,0,0
"New York",1,0,0,0,0,0
"Commonwealth of Virginia",0,0,0,0,1,0
"Cologne",0,0,0,1,0,0
"Shanghai",1,0,0,0,0,0
"east",0,0,0,0,1,0
"Santa Clara",1,0,0,0,0,0
"Cayman Islands",1,0,0,0,0,0
"Exhibit",0,0,0,1,0,0
"Pier",0,0,1,0,0,0
"Tortola",1,0,0,0,0,0
"central control room atop transfer tower TT2",0,0,0,0,1,0
"northwest",0,0,0,0,1,0
"Century Yard",1,0,0,0,0,0
"138",0,0,0,0,1,0
"2nd floor",0,0,0,0,1,0
"China",1,0,0,0,0,0
"Hutchins Drive",0,0,0,0,1,0
"Project",0,0,0,1,0,0
"Colorado",0,0,1,0,0,0
"Lane",0,0,1,0,0,0
"Guarantor",0,0,0,1,0,0
"Haidian District",1,0,0,0,0,0
"Cricket Square",1,0,0,0,0,0
"P. R. China",0,0,1,0,0,0
"Sate",0,0,0,1,0,0
"United State of America",0,0,0,0,1,0
"Gold Hill",1,0,0,0,0,0
"44",0,0,0,0,1,0
"Fengtai District",1,0,0,0,0,0
"Wellesley",0,0,0,0,1,0
"Tianlin East Road",1,0,0,0,0,0
"Act",0,0,0,1,0,0
"EVERGREEN SOLAR",0,1,0,0,0,0
"Zhongguancun South Street",1,0,0,0,0,0
"Immeuble Les Caryatides",0,0,0,0,1,0
"CEO",0,0,0,0,1,0
"Hong Kong Special Administrative Region",1,0,0,0,0,0
"Carnot",0,0,1,0,0,0
"Pier IX",0,0,1,0,0,0
"Usine de Saint Auban",1,0,0,0,0,0
"Floor",0,0,1,0,0,0
"US",0,0,1,0,0,0
"3F",0,0,0,0,1,0
"Macao Special Administrative Region",0,0,0,0,1,0
"6 Zhongguancun South Street",0,0,0,0,1,0
"535",0,0,0,0,1,0
"George Town",0,0,0,0,1,0
"Beijing",1,0,0,0,0,0
"Hong Kong",1,0,0,0,0,0
"California",1,0,0,0,0,0
"goldhillcapital",0,0,0,0,1,0
"Whereas",0,0,0,1,0,0
"Jinjia Village",1,0,0,0,0,0
"Santa Clara County",1,0,0,0,0,0
"This Section",0,0,0,1,0,0
"Silicon Valley East",1,0,0,0,0,0
"SANTA CLARA",0,0,0,0,1,0
"Commonwealth",0,0,0,0,1,0
"Center Plaza Boston",0,0,1,0,0,0
"Saint Auban",0,0,0,0,1,0
"Section",0,0,0,1,0,0
"Virginia",1,0,0,0,0,0
"United States",1,0,0,0,0,0
"Grand Cayman",1,0,0,0,0,0
"Agreement.",0,0,0,1,0,0
"Three",0,0,0,0,1,0
"Massachusetts 02462",0,0,0,0,1,0
"04 600 Saint Auban",0,0,0,0,1,0
"Massachusetts",1,0,0,0,0,0
"Guidu Road",1,0,0,0,0,0
*TOTAL*,37,6,20,23,105,0
