Entity,COR,INC,PAR,SPU,MIS,IGN
"SILICIUM DE PROVENCE SAS",1,0,0,0,0,0
"Borrower and the Bank",0,0,1,0,0,0
"Letter of Credit",0,0,0,1,0,0
"Application of Payments and Proceeds",0,0,0,1,0,0
"Borrower ' s Subsidiaries",0,0,0,1,0,0
"Domestic Accounts Receivable",0,0,0,1,0,0
"Borrower Transfer",0,0,0,1,0,0
"Newport News Treatment Plant",0,1,0,0,0,0
"Gold Hill Venture Lending",0,0,1,0,0,0
"Affiliates . Directly",0,0,0,1,0,0
"Borrower grants Bank",0,0,1,0,0,0
"Capitalized",0,0,0,1,0,0
"Ratings Group",0,0,0,1,0,0
"SUBORDINATION",0,0,0,1,0,0
"Share Pledge Agreement",0,0,0,1,0,0
"Securities Account or a Commodity Account",0,0,0,1,0,0
"Master Venture Agreement",0,0,0,1,0,0
"Borrower under the Loan Documents",0,0,0,1,0,0
"The Dominion Terminal Associates",0,0,0,0,1,0
"Borrower obtains the Lender",0,0,0,1,0,0
"Trustee , the Company",0,0,0,1,0,0
"Agent",0,0,1,0,0,0
"Manufacturer Loan or Shareholder",0,0,0,1,0,0
"No Party",0,0,0,1,0,0
"Second Term Loan",0,0,0,1,0,0
"Exclusive Business Cooperation Agreement",0,0,0,1,0,0
"Advances",0,0,0,1,0,0
"Moody",0,0,0,1,0,0
"Subsidiaries or Affiliates",0,0,0,1,0,0
"Pursuant",0,0,0,1,0,0
"Partners in the Company",0,0,0,1,0,0
"Insolvency",0,0,0,1,0,0
"Loan and Security Agreement Schedule",0,0,0,1,0,0
"Credit Extension",0,0,0,1,0,0
"Akamai Technologies , Inc.",0,0,1,0,0,0
"AND Bizexpress Limited",0,0,1,0,0,0
"BANK",1,0,0,0,0,0
"DTA",0,0,0,1,0,0
"Registered Organizations",0,0,0,1,0,0
"REOC",0,0,0,1,0,0
"Lender for each Investment",0,0,0,1,0,0
"Commitments Lender Commitment Commitment Percentage Silicon Valley Bank",0,0,1,0,0,0
"Borrower The Borrower",0,0,0,1,0,0
"Robert E. Yancey",0,0,0,1,0,0
"Dominion Terminal Associates",1,0,0,0,0,0
"Paying Agent",1,0,0,0,0,0
"Virginia general partnership",0,0,0,0,1,0
"Loan Documents in Servicer",0,0,0,1,0,0
"SVB",0,0,0,1,0,0
"Crocs Inc. UNION BANK OF CALIFORNIA LOGO",0,0,1,0,0,0
"ING Belgium S.",0,0,0,1,0,0
"Borrower owes Bank",0,0,1,0,0,0
"Borrower and Lender",0,0,0,1,0,0
"Capital Contributions",0,0,0,1,0,0
"GAAP",0,0,0,1,0,0
"The Servicer",0,0,0,1,0,0
"Borrower",0,1,0,0,0,0
"Term Loan and Security Agreement",0,0,0,1,0,0
"Company to the Company",0,0,0,1,0,0
"Obligations of Company Unconditional",0,0,0,1,0,0
"Works . Such",0,0,0,1,0,0
"Other Equipment",0,0,0,1,0,0
"Confidential Information",0,0,0,1,0,0
"Lenders ' Expenses",0,0,0,1,0,0
"Esquire",0,1,0,0,0,0
"USD",0,0,0,1,0,0
"Macao Special Administrative Region",0,1,0,0,0,0
"Stock Options",0,0,0,1,0,0
"Limited Nature of Company",0,0,1,0,0,0
"DEphraim",0,1,0,0,0,0
"Litigation Cooperation",0,0,0,1,0,0
"Borrower or its Subsidiary",0,0,0,1,0,0
"Marlboro",0,1,0,0,0,0
"Trustee under the Indenture",0,0,0,1,0,0
"Loan to the Account",0,0,0,1,0,0
"Financial Accounting Standards Board",1,0,0,0,0,0
"Regulatory Compliance",0,0,0,1,0,0
"Hereinafter",0,0,0,1,0,0
"Creditor",0,0,0,1,0,0
"Company Thinkplus Investments Limited",0,0,1,0,0,0
"P. R. China Attn",0,0,0,1,0,0
"Notwithstanding",0,0,0,1,0,0
"REPRESENTATIONS Except",0,0,0,1,0,0
"Repayment of Loan and Payment of Purchase Price of Bonds",0,0,0,1,0,0
"SVP GOLD HILL",0,0,0,1,0,0
"Borrower to the Company",0,0,0,1,0,0
"Affiliate",0,0,0,1,0,0
"Business Locations",0,0,0,1,0,0
"Notices of Transfer Etc",0,0,0,1,0,0
"HERBERT SMITH LLP Page",0,0,0,1,0,0
"Signature Page to Loan Servicing Agreement ASHFORD HOSPITALITY SERVICING LLC",0,0,1,0,0,0
"DOMINION TERMINAL ASSOCIATES",1,0,0,0,0,0
"EVERGREEN SOLAR",1,0,0,0,0,0
"Agreement as Investments",0,0,0,1,0,0
"Power of Attorney",0,0,0,1,0,0
"If Bank",0,0,1,0,0,0
"Sections",0,0,0,1,0,0
"Agent or Lenders",0,0,0,1,0,0
"SEVERABILITY",0,0,0,1,0,0
"The Bank",0,0,1,0,0,0
"Good Standing",0,0,0,1,0,0
"The Holders",0,0,0,1,0,0
"Securities Exchange Act",0,0,0,1,0,0
"Vringo , Inc. From Account To Account Deposit Account Loan Account Principal",0,0,1,0,0,0
"Bondholder",0,0,0,1,0,0
"Loan Agreement",0,0,0,1,0,0
"Liens",0,0,0,1,0,0
"None of Borrower",0,0,0,1,0,0
"Borrower , Lenders and Agent",0,0,0,1,0,0
"Silicon S P Agreement",0,0,0,1,0,0
"Affiliate of the Borrower",0,0,0,1,0,0
"Securities Account",0,0,0,1,0,0
"The Parties",0,0,0,1,0,0
"Either Lender",0,0,0,1,0,0
"Property",0,0,0,1,0,0
"Trustee",0,0,0,1,0,0
"Integration",0,0,0,1,0,0
"Obligations",0,0,0,1,0,0
"The Investments",0,0,0,1,0,0
"SILICIUM DE PROVENCE S.",0,0,1,0,0,0
"If Agent",0,0,0,1,0,0
"Project Use",0,0,0,1,0,0
"Agreement no Party",0,0,0,1,0,0
"Delaware corporation",0,0,0,0,1,0
"Company of the Shares",0,0,0,1,0,0
"Pittston Terminal",1,0,0,0,0,0
"bank",0,0,0,0,1,0
"Insurance . Keep",0,0,0,1,0,0
"Section",0,0,0,1,0,0
"Arbitral",0,0,0,1,0,0
"TORT CLAIMS",0,0,0,1,0,0
"Returns . Keep all Inventory",0,0,0,1,0,0
"Beneficiary Bank Transit ABA",0,0,1,0,0,0
"Ashford Hospitality Finance General Partner LLC",1,0,0,0,0,0
"The Company",0,0,0,1,0,0
"Attn",0,0,0,1,0,0
"Delaware",0,0,0,0,1,0
"Railroad Service",0,0,0,1,0,0
"Unless",0,0,0,1,0,0
"Used Equipment",0,0,0,1,0,0
"Loan to the Holders",0,0,0,1,0,0
"Fifty Thousand Dollars",0,0,0,1,0,0
"Chip",0,0,0,1,0,0
"Tax Returns and Payments ; Pension Contributions",0,0,0,1,0,0
"Shanghai Solutions Software Co",1,0,0,0,0,0
"Committed Equipment Line",0,0,0,1,0,0
"COUNTERSIGNATURE",0,0,0,1,0,0
"United States Code",0,0,0,1,0,0
"Silicon Valley Bank",1,0,0,0,0,0
"svb",0,0,0,0,1,0
"All Bank Expenses",0,0,1,0,0,0
"Amendment",0,0,0,1,0,0
"Grant of the Loan",0,0,0,1,0,0
"Loan Document",0,0,0,1,0,0
"American Institute of Certified Public Accountants",1,0,0,0,0,0
"IL Subsidiary",0,0,0,1,0,0
"Agreement",0,0,0,1,0,0
"Parent Company",0,0,0,1,0,0
"Prudential Investment Management , Inc",0,0,1,0,0,0
"Equipment",0,0,0,1,0,0
"Disclosure",0,0,0,1,0,0
"Worksoft",1,0,0,0,0,0
"Bizexperss",0,0,0,0,1,0
"Government Compliance . Maintain",0,0,0,1,0,0
"Accepted Loan Servicing Practice",0,0,0,1,0,0
"Issuer and the Company",0,0,0,1,0,0
"Bonds",0,0,0,1,0,0
"Accepted Loan Servicing Practices",0,0,0,1,0,0
"Master Ventures and Master Venture",0,0,0,1,0,0
"ASSIGNMENT",0,0,0,1,0,0
"Equipment Advance",0,0,0,1,0,0
"ASSIGNS",0,0,0,1,0,0
"Bet Shemesh",0,0,0,1,0,0
"Shanghai Solutions",1,0,0,0,0,0
"Each Credit Extension is Borrower",0,0,0,1,0,0
"The Wall Street Journal",1,0,0,0,0,0
"Each Credit Extension",0,0,0,1,0,0
"Loan Supplement",0,0,0,1,0,0
"Grant of Security Interest",0,0,0,1,0,0
"Accounting Principles Board",1,0,0,0,0,0
"Inc",0,0,1,0,0,0
"Bing Yu Tel",0,0,0,1,0,0
"Board of Arbitration",0,0,1,0,0,0
"Bondholders",0,0,0,1,0,0
"ASHFORD VENTURE I",0,0,0,0,1,0
