Entity,COR,INC,PAR,SPU,MIS,IGN
"40 William St",0,1,0,0,0,0
"Pier IX",0,0,0,0,0,1
"Broadway",0,0,0,0,0,1
"Cricket Square",0,1,0,0,0,0
"TT2",0,0,0,0,0,1
"Monarch Park",0,0,0,0,0,1
"4th Floor",0,0,0,0,0,1
"the Newport News Treatment Plant",0,0,0,0,0,1
"Zhongguancun Software Park",0,1,0,0,0,0
"530 B Street",0,1,0,0,0,0
"Tianlin East Road",0,1,0,0,0,0
"Zhongdian Information Tower",0,0,0,0,0,1
"Piers 14",0,0,0,0,0,1
"Bartlett Street Marlboro",0,0,0,0,0,1
"Zhongguancun South Street",0,1,0,0,0,0
"Washington Street Newton",0,0,0,0,0,1
"3003 Tasman Drive",0,1,0,0,0,0
"15",0,0,0,0,0,1
"Usine de Saint Auban",0,1,0,0,0,0
"Pittston Terminal '",0,0,0,0,0,1
"3 / F Zhongdian Information Tower",0,1,0,0,0,0
"the "" Works """,0,0,0,0,0,1
"Abbott Building Road Town",0,1,0,0,0,0
"Hutchins Drive",0,1,0,0,0,0
"Fifth Avenue",0,0,0,0,0,1
"Pier 14",0,0,0,0,0,1
"Century Yard",0,1,0,0,0,0
"138 Bartlett Street",0,1,0,0,0,0
"Guidu Road",0,1,0,0,0,0
"Newton Executive Park",0,1,0,0,0,0
"Harbor Road",0,1,0,0,0,0
*TOTAL*,0,16,0,0,0,15
