Entity,COR,INC,PAR,SPU,MIS,IGN
"Hong Kong International Arbitration Center",0,1,0,0,0,0
"George Town",0,1,0,0,0,0
"Lille",0,0,0,0,0,1
"California",0,1,0,0,0,0
"Ashford",0,1,0,0,0,0
"Beijing",0,1,0,0,0,0
"the Commonwealth of Massachusetts",0,0,0,0,0,1
"San Diego",0,0,0,0,0,1
"Hong Kong",0,1,0,0,0,0
"Niwot",0,0,0,0,0,1
"the People s Republic of China",0,0,0,0,0,1
"the Cayman Islands",0,0,0,0,0,1
"Gold Hill",0,1,0,0,0,0
"Jinjia Village",0,1,0,0,0,0
"P",0,0,0,0,0,1
"L",0,0,0,0,0,1
"Israel",0,1,0,0,0,0
"Newport News",0,0,0,0,0,1
"VRINGO",0,1,0,0,0,0
"Wellesley",0,1,0,0,0,0
"Bet Shemesh 1 Yigal Allon Blvd Bet Shemesh",0,0,0,0,0,1
"Colorado",0,0,0,0,0,1
"Fengtai District",0,1,0,0,0,0
"France",0,1,0,0,0,0
"Grand Cayman , British West Indies",0,0,0,0,0,1
"New York",0,1,0,0,0,0
"Santa Clara County",0,1,0,0,0,0
"California 12",0,0,0,0,0,1
"California 95054",0,0,0,0,0,1
"the District of Columbia",0,0,0,0,0,1
"Borrower",0,1,0,0,0,0
"CALIFORNIA",0,1,0,0,0,0
"Santa Clara",0,1,0,0,0,0
"Ste",0,0,0,0,0,1
"the British Virgin Islands",0,0,0,0,0,1
"Commonwealth",0,1,0,0,0,0
"INC",0,0,0,0,0,1
"Hong Kong Special Administrative Region",0,1,0,0,0,0
"the Commonwealth of Virginia",0,0,0,0,0,1
"Shanghai",0,1,0,0,0,0
"British Virgin Islands",0,1,0,0,0,0
"SOLAR",0,0,0,0,0,1
"Paris 18",0,0,0,0,0,1
"L 644 6 of the French Commercial Code",0,0,0,0,0,1
"Virginia",0,1,0,0,0,0
"N",0,0,0,0,0,1
"Cologne",0,0,0,0,0,1
"Tortola",0,1,0,0,0,0
"United States",0,1,0,0,0,0
"Belgium",0,1,0,0,0,0
"the People ' s Republic of China",0,0,0,0,0,1
"U",0,0,0,0,0,1
"Cambridge",0,1,0,0,0,0
"Macao Special Administrative Region",0,1,0,0,0,0
"Massachusetts",0,1,0,0,0,0
"Delaware",0,1,0,0,0,0
"CROCS",0,0,0,0,0,1
"the United State of America 1 2",0,0,0,0,0,1
"AKAMAI TECHNOLOGIES",0,1,0,0,0,0
"China",0,1,0,0,0,0
"PRC",0,0,0,0,0,1
"Marlboro",0,1,0,0,0,0
"Taiwan",0,1,0,0,0,0
"Haidian District",0,1,0,0,0,0
"the United States",0,0,0,0,0,1
*TOTAL*,0,35,0,0,0,30
