Entity,COR,INC,PAR,SPU,MIS,IGN
"25 %",0,0,0,0,0,1
"three percent 3 % 3 6",0,0,0,0,0,1
"three percent 3 0 %",0,0,0,0,0,1
"50 %",0,0,0,0,0,1
"not more than 25 %",0,0,0,0,0,1
"at least 50 %",0,0,0,0,0,1
"two percent 2",0,0,0,0,0,1
"one percent 1 0 %",0,0,0,0,0,1
"nine and one half of one percent 9 50 %",0,0,0,0,0,1
"5 %",0,0,0,0,0,1
"four percentage points",0,0,0,0,0,1
"two percent 2 0 %",0,0,0,0,0,1
"more than 65 %",0,0,0,0,0,1
"5 percent",0,0,0,0,0,1
"more than 50 %",0,0,0,0,0,1
"75 %",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,16
