Entity,COR,INC,PAR,SPU,MIS,IGN
"2.",0,0,0,0,0,1
"12",0,0,0,0,0,1
"6 9",0,0,0,0,0,1
"less than 40",0,0,0,0,0,1
"6 FURTHER ASSURANCES . Borrower",0,0,0,0,0,1
"2009.",0,0,0,0,0,1
"13 11",0,0,0,0,0,1
"2 PAGE 5",0,0,0,0,0,1
"1.",0,0,0,0,0,1
"387",0,0,0,0,0,1
"1 GOVERNMENT COMPLIANCE . Borrower",0,0,0,0,0,1
"6 4",0,0,0,0,0,1
"86 10 5424 8771",0,0,0,0,0,1
"7",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"160",0,0,0,0,0,1
"303 848 7084 UNION BANK OF CALIFORNIA",0,0,0,0,0,1
"one 1",0,0,0,0,0,1
"16",0,0,0,0,0,1
"9 PAGE 10 Become",0,0,0,0,0,1
"9 COUNTERSIGNATURE . This Agreement",0,0,0,0,0,1
"30438",0,0,0,0,0,1
"8 7",0,0,0,0,0,1
"617 243 2601",0,0,0,0,0,1
"345",0,0,0,0,0,1
"18 . 1 . 5",0,0,0,0,0,1
"4 4",0,0,0,0,0,1
"one Party",0,0,0,0,0,1
"110108650831235",0,0,0,0,0,1
"613",0,0,0,0,0,1
"2 PAGE h No",0,0,0,0,0,1
"1 Lenovo AsiaInfo Technologies , Inc.",0,0,0,0,0,1
"25",0,0,0,0,0,1
"86 10 8282 5058",0,0,0,0,0,1
"15",0,0,0,0,0,1
"200",0,0,0,0,0,1
"3.",0,0,0,0,0,1
"at least fifty thousand 50",0,0,0,0,0,1
"000",0,0,0,0,0,1
"500",0,0,0,0,0,1
"12 7 December 2007",0,0,0,0,0,1
"04 600 Saint Auban",0,1,0,0,0,0
"37",0,0,0,0,0,1
"1 The Lender",0,0,0,0,0,1
"two",0,0,0,0,0,1
"1 . 620 1",0,0,0,0,0,1
"619 230 3766",0,0,0,0,0,1
"9 16",0,0,0,0,0,1
"5 Issuer Fees and Expenses . The Company",0,0,0,0,0,1
"7 PAGE 8",0,0,0,0,0,1
"four 4",0,0,0,0,0,1
"303 858 7048",0,0,0,0,0,1
"1 SILICIUM DE PROVENCE S. A . S .",0,0,0,0,0,1
"700",0,0,0,0,0,1
"3 the Company . Servicer",0,0,0,0,0,1
"6",0,0,0,0,0,1
"2000.",0,0,0,0,0,1
"3 The Lender",0,0,0,0,0,1
"275",0,0,0,0,0,1
"6 8",0,0,0,0,0,1
"22",0,0,0,0,0,1
"3",0,0,0,0,0,1
"1 4 48",0,0,0,0,0,1
"138 Bartlett Street Marlboro",0,0,0,0,0,1
"at least two 2",0,0,0,0,0,1
"20",0,0,0,0,0,1
"3 Litigation . Except",0,0,0,0,0,1
"4 Lender",0,0,0,0,0,1
"at least three hundred thousand 300",0,0,0,0,0,1
"at least 50",0,0,0,0,0,1
"14",0,0,0,0,0,1
"Three Center Plaza Boston",0,0,0,0,0,1
"5 INSOLVENCY . If Borrower",0,0,0,0,0,1
"1 Each Party",0,0,0,0,0,1
"two 2",0,0,0,0,0,1
"one",0,0,0,0,0,1
"13",0,0,0,0,0,1
"2 3",0,0,0,0,0,1
"19",0,0,0,0,0,1
"2008",0,0,0,0,0,1
"1 Union Bank of California NA",0,0,0,0,0,1
"17",0,0,0,0,0,1
"00",0,0,0,0,0,1
"8",0,0,0,0,0,1
"03",0,0,0,0,0,1
"1 Government Compliance . Maintain",0,0,0,0,0,1
"4",0,0,0,0,0,1
"350",0,0,0,0,0,1
"10 PAGE 11 8",0,0,0,0,0,1
"972 2 991 3382",0,0,0,0,0,1
"at least one 1",0,0,0,0,0,1
"nine and one half",0,0,0,0,0,1
"6 10",0,0,0,0,0,1
"1 1",0,0,0,0,0,1
"1",0,0,0,0,0,1
"10 ATTORNEYS ' FEES , COSTS AND EXPENSES . 13 DEFINITIONS 13",0,0,0,0,0,1
"1 EQUIPMENT FACILITY . Subject",0,0,0,0,0,1
"10 SECTION 11",0,0,0,0,0,1
"7 Subsidiaries",0,0,0,0,0,1
"05",0,0,0,0,0,1
"9",0,0,0,0,0,1
"43",0,0,0,0,0,1
"three 3 Business Day",0,0,0,0,0,1
"2426798",0,0,0,0,0,1
"4 No Party",0,0,0,0,0,1
"21",0,0,0,0,0,1
"619 230 3029 3",0,0,0,0,0,1
"twenty four 24",0,0,0,0,0,1
"530",0,0,0,0,0,1
"5 6",0,0,0,0,0,1
"2008.",0,0,0,0,0,1
"three",0,0,0,0,0,1
"8 PAGE 9 6",0,0,0,0,0,1
"9 8",0,0,0,0,0,1
"less than 35",0,0,0,0,0,1
"11 PAGE 12",0,0,0,0,0,1
"830",0,0,0,0,0,1
"173",0,0,0,0,0,1
"two 4",0,0,0,0,0,1
"18",0,0,0,0,0,1
"10",0,0,0,0,0,1
"2 EVERGREEN SOLAR",0,0,0,0,0,1
"4 INSURANCE . Borrower",0,0,0,0,0,1
"44",0,1,0,0,0,0
"3 3",0,0,0,0,0,1
"501",0,0,0,0,0,1
"86 10 6250 1312 6 . 3",0,0,0,0,0,1
"11",0,0,0,0,0,1
"5 5",0,0,0,0,0,1
"631 1",0,0,0,0,0,1
"40 William St .",0,0,0,0,0,1
"2",0,0,0,0,0,1
"100",0,0,0,0,0,1
"more than one",0,0,0,0,0,1
"4 BANK ' S LIABILITY FOR COLLATERAL . If Bank",0,0,0,0,0,1
"3F",0,1,0,0,0,0
"5",0,0,0,0,0,1
"617 880 3456",0,0,0,0,0,1
"FR76 3043 8000 0836 8300 3000 905 BIC Number : INGBFRPP Code Guichet : 00008 No du Compte : 36830 03 0009",0,0,0,0,0,1
"201 Broadway",0,1,0,0,0,0
"59042",0,0,0,0,0,1
"2nd",0,0,0,0,0,1
"24 / 26",0,0,0,0,0,1
*TOTAL*,0,4,0,0,0,139
