Entity,COR,INC,PAR,SPU,MIS,IGN
"an Event of Default. `` Funding Date",0,0,0,0,0,1
"the Commitment Termination Date",0,0,0,0,0,1
"the Effective Date the `` Repayment Date ``",0,0,0,0,0,1
"the Funding Date of such Equipment Advance",0,0,0,0,0,1
"Calendar Year",0,0,0,0,0,1
"Business Day",0,0,0,0,0,1
"the Repayment Period",0,0,0,0,0,1
"the Milestone Event No . 2",0,0,0,0,0,1
"the Milestone Event No . 1",0,0,0,0,0,1
"the Hong Kong International Arbitration Center `` HKIAC",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,10
