Entity,COR,INC,PAR,SPU,MIS,IGN
"2.",0,0,0,0,0,1
"12",0,0,0,0,0,1
"250",0,0,0,0,0,1
"less than 40",0,0,0,0,0,1
"35",0,0,0,0,0,1
"387",0,0,0,0,0,1
"1.",0,0,0,0,0,1
"7",0,0,0,0,0,1
"160",0,0,0,0,0,1
"16",0,0,0,0,0,1
"30438",0,0,0,0,0,1
"243",0,0,0,0,0,1
"613",0,0,0,0,0,1
"15",0,0,0,0,0,1
"200",0,0,0,0,0,1
"3.",0,0,0,0,0,1
"at least fifty thousand 50",0,0,0,0,0,1
"000",0,0,0,0,0,1
"500",0,0,0,0,0,1
"30",0,0,0,0,0,1
"7.",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"1. 1",0,0,0,0,0,1
"1. 2",0,0,0,0,0,1
"17. 2",0,0,0,0,0,1
"700",0,0,0,0,0,1
"6",0,0,0,0,0,1
"86 10",0,0,0,0,0,1
"275",0,0,0,0,0,1
"22",0,0,0,0,0,1
"3",0,0,0,0,0,1
"Twenty Four Million",0,0,0,0,0,1
"619 230",0,0,0,0,0,1
"20",0,0,0,0,0,1
"313",0,0,0,0,0,1
"303",0,0,0,0,0,1
"at least three hundred thousand 300",0,0,0,0,0,1
"at least 50",0,0,0,0,0,1
"18. 1. 2",0,0,0,0,0,1
"29",0,0,0,0,0,1
"14",0,0,0,0,0,1
"18.",0,0,0,0,0,1
"70",0,0,0,0,0,1
"617",0,0,0,0,0,1
"one",0,0,0,0,0,1
"13",0,0,0,0,0,1
"2 3",0,0,0,0,0,1
"15.",0,0,0,0,0,1
"21.",0,0,0,0,0,1
"19",0,0,0,0,0,1
"17",0,0,0,0,0,1
"00",0,0,0,0,0,1
"50",0,0,0,0,0,1
"8",0,0,0,0,0,1
"619",0,0,0,0,0,1
"4",0,0,0,0,0,1
"350",0,0,0,0,0,1
"1",0,0,0,0,0,1
"four",0,0,0,0,0,1
"2 991",0,0,0,0,0,1
"5.",0,0,0,0,0,1
"25 , 000",0,0,0,0,0,1
"303 848",0,0,0,0,0,1
"101",0,0,0,0,0,1
"05",0,0,0,0,0,1
"9",0,0,0,0,0,1
"43",0,0,0,0,0,1
"2426798",0,0,0,0,0,1
"644 6",0,0,0,0,0,1
"01752",0,0,0,0,0,1
"three",0,0,0,0,0,1
"4.",0,0,0,0,0,1
"6.",0,0,0,0,0,1
"15. 2",0,0,0,0,0,1
"830",0,0,0,0,0,1
"9.",0,0,0,0,0,1
"18",0,0,0,0,0,1
"10",0,0,0,0,0,1
"5058",0,0,0,0,0,1
"36830 03",0,0,0,0,0,1
"6250 1312 6. 3",0,0,0,0,0,1
"95054",0,0,0,0,0,1
"11",0,0,0,0,0,1
"22. 2",0,0,0,0,0,1
"10.",0,0,0,0,0,1
"2",0,0,0,0,0,1
"100",0,0,0,0,0,1
"4. 1. 10",0,0,0,0,0,1
"more than one",0,0,0,0,0,1
"86",0,0,0,0,0,1
"12.",0,0,0,0,0,1
"12. 6",0,0,0,0,0,1
"8.",0,0,0,0,0,1
"5",0,0,0,0,0,1
"5424 8771",0,0,0,0,0,1
"535",0,1,0,0,0,0
"611 15",0,0,0,0,0,1
"02481",0,0,0,0,0,1
"2 1.",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,99
