Entity,COR,INC,PAR,SPU,MIS,IGN
"PENINSULA",0,0,0,0,0,1
"George Town",0,1,0,0,0,0
"California",0,1,0,0,0,0
"the United States",0,0,0,0,0,1
"Airland",0,1,0,0,0,0
"Beijing",0,1,0,0,0,0
"US",0,0,0,0,0,1
"Hong Kong",0,1,0,0,0,0
"San Diego",0,0,0,0,0,1
"the Commonwealth of Massachusetts",0,0,0,0,0,1
"the People s Republic of China",0,0,0,0,0,1
"the Cayman Islands",0,0,0,0,0,1
"Niwot",0,0,0,0,0,1
"Newton",0,0,0,0,0,1
"U. S. A .",0,0,0,0,0,1
"Jinjia Village",0,1,0,0,0,0
"100086",0,0,0,0,0,1
"MASSACHUSETTS",0,0,0,0,0,1
"Boston",0,1,0,0,0,0
"Newport News",0,0,0,0,0,1
"Wellesley",0,1,0,0,0,0
"Colorado",0,0,0,0,0,1
"Fengtai District",0,1,0,0,0,0
"France",0,1,0,0,0,0
"U. A.",0,0,0,0,0,1
"New York",0,1,0,0,0,0
"Santa Clara County",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"the District of Columbia",0,0,0,0,0,1
"CALIFORNIA",0,1,0,0,0,0
"Santa Clara",0,1,0,0,0,0
"Shanghai",0,1,0,0,0,0
"P. R. China",0,0,0,0,0,1
"Hong Kong Special Administrative Region",0,1,0,0,0,0
"Commonwealth",0,1,0,0,0,0
"the British Virgin Islands",0,0,0,0,0,1
"Saint Auban",0,1,0,0,0,0
"Ste",0,0,0,0,0,1
"Zhongguancun",0,0,0,0,0,1
"Virginia",0,1,0,0,0,0
"Cologne",0,0,0,0,0,1
"Tortola",0,1,0,0,0,0
"United States",0,1,0,0,0,0
"the People ' s Republic of China",0,0,0,0,0,1
"Cambridge",0,1,0,0,0,0
"Grand Cayman",0,1,0,0,0,0
"Abbott Building Road Town",0,1,0,0,0,0
"the United State of America",0,0,0,0,0,1
"Macao Special Administrative Region",0,1,0,0,0,0
"Massachusetts",0,1,0,0,0,0
"VIRGINIA",0,1,0,0,0,0
"Delaware",0,1,0,0,0,0
"Marlboro",0,1,0,0,0,0
"Washington",0,0,0,0,0,1
"China",0,1,0,0,0,0
"P. R. 1",0,0,0,0,0,1
"NEW YORK",0,0,0,0,0,1
"British Virgin Islands",0,1,0,0,0,0
"Taiwan",0,1,0,0,0,0
"Haidian District",0,1,0,0,0,0
"PRC",0,0,0,0,0,1
*TOTAL*,0,34,0,0,0,27
