Entity,COR,INC,PAR,SPU,MIS,IGN
"Loan Documents",0,0,0,1,0,0
"First Draw",0,0,0,1,0,0
"Section 10.",0,0,0,1,0,0
"Tranche A",0,0,0,1,0,0
"Agent '",0,0,0,1,0,0
"United States Code",0,0,0,1,0,0
"Section 103",0,0,0,1,0,0
"Eastern",0,1,0,0,0,0
"Term Loan",0,0,0,1,0,0
"Lender",0,1,0,0,0,0
"Amendment",0,0,0,1,0,0
"Loan Document",0,0,0,1,0,0
"Uniform Commercial Code",0,0,0,1,0,0
"Share Pledge Agreement",0,0,0,1,0,0
"Program Agreement",0,0,0,1,0,0
"Indenture",0,0,0,1,0,0
"Master Venture Agreement",0,0,0,1,0,0
"Agreement",0,0,0,1,0,0
"Section 148",0,0,0,1,0,0
"Section 5",0,0,0,1,0,0
"French Commercial Code",0,0,1,0,0,0
"Exclusive Business Cooperation Agreement",0,0,0,1,0,0
"Second Term Loan",0,0,0,1,0,0
"Operation of Project",0,0,0,1,0,0
"French",1,0,0,0,0,0
"Exhibit A",0,0,0,1,0,0
"Bonds",0,0,0,1,0,0
"Bizexpress",0,1,0,0,0,0
"Section 3",0,0,0,1,0,0
"Credit Extension",0,0,0,1,0,0
"Piers 14",0,0,0,1,0,0
"Massachusetts Uniform Commercial Code",0,0,0,1,0,0
"Control Agreement",0,0,0,1,0,0
"Time of Essence",0,0,0,1,0,0
"Equipment Advance",0,0,0,1,0,0
"Holder 7",0,0,0,1,0,0
"Loan Supplement",0,0,0,1,0,0
"Effective Date",0,0,0,1,0,0
"Calendar Year",0,0,0,1,0,0
"Bond",0,0,0,1,0,0
"Euros",0,0,0,1,0,0
"Fifth Supplemental Lease",0,0,0,1,0,0
"Bankruptcy Code",0,0,0,1,0,0
"Milestone Event",0,0,0,1,0,0
"Credit Extensions",0,0,0,1,0,0
"Agent",0,0,0,1,0,0
"Loan Factor",0,0,0,1,0,0
"Subscription Agreement",0,0,0,1,0,0
"Permitted Lien",0,0,0,1,0,0
"Internet",0,0,0,1,0,0
"Program",0,0,0,1,0,0
"Section 2",0,0,0,1,0,0
"Second Repayment Date",0,0,0,1,0,0
"Commitment Termination Date",0,0,0,1,0,0
"Second Draw",0,0,0,1,0,0
"Loan",0,0,0,1,0,0
"USD",0,0,0,1,0,0
"Event",0,0,0,1,0,0
"Project",0,0,0,1,0,0
"Section 4975",0,0,0,1,0,0
"Third Term Loan",0,0,0,1,0,0
"Business Day",0,0,0,1,0,0
"Renminbi Twenty Four",0,0,0,1,0,0
"Section 6.",0,0,0,1,0,0
"Issuer",0,0,0,1,0,0
"Chinese",1,0,0,0,0,0
"Gold Hill",0,1,0,0,0,0
"Unassigned Rights",0,0,0,1,0,0
"UNCITRAL Arbitration Rules",0,0,0,1,0,0
"Investment Company Act",0,0,0,1,0,0
"Section 101",0,0,0,1,0,0
"Clause 3.",0,0,0,1,0,0
"Act",0,0,0,1,0,0
"Investment Program Agreement",0,0,0,1,0,0
"Exclusive Option Agreement",0,0,0,1,0,0
"EUR",0,0,0,1,0,0
"Event of Default",0,0,0,1,0,0
"Section 884",0,0,0,1,0,0
"1992 Bonds",0,0,0,1,0,0
"English",1,0,0,0,0,0
"Equipment Advances",0,0,0,1,0,0
"Acts of Assembly of 1952",0,0,0,1,0,0
"Permitted Liens",0,0,0,1,0,0
"Internal Revenue Code of 1986",0,0,0,1,0,0
"Euros EUR",0,0,0,1,0,0
"Event of Loss",0,0,0,1,0,0
"Loan Agreement",0,0,0,1,0,0
"Liens",0,0,0,1,0,0
"CSX Piers 14",0,0,0,1,0,0
"Limited Liability Company Agreement",0,0,0,1,0,0
"General Intangibles",0,0,0,1,0,0
"Silicon S P Agreement",0,0,0,1,0,0
"Perfection Certificate",0,0,0,1,0,0
"Regulation U",0,0,0,1,0,0
"Airland",0,1,0,0,0,0
"This Amendment",0,0,0,1,0,0
"Security Agreement",0,0,0,1,0,0
"Key Person",0,0,0,1,0,0
"Section 147",0,0,0,1,0,0
"Contingent Obligation",0,0,0,1,0,0
"Change in Control",0,0,0,1,0,0
"Fifth Amendment",0,0,0,1,0,0
"Title I of ERISA",0,0,0,1,0,0
"Zhang Jilun Title",0,0,0,1,0,0
"Assignment",0,0,0,1,0,0
"Securities Exchange Act of 1934",0,0,0,1,0,0
"Funding Date",0,0,0,1,0,0
"RMB",0,0,0,1,0,0
"Silicon Valley East",0,1,0,0,0,0
"Code",0,0,0,1,0,0
"Insolvency Proceedings",0,0,0,1,0,0
"Title 11",0,0,0,1,0,0
"Third Draw",0,0,0,1,0,0
"Management Fee",0,0,0,1,0,0
"HKIAC Procedures for Arbitration",0,0,0,1,0,0
"Insolvency Proceeding",0,0,0,1,0,0
"Name",0,0,0,1,0,0
"Section",0,0,0,1,0,0
"Business Days",0,0,0,1,0,0
"BUSINESS DAY",0,0,0,1,0,0
"Agent "" Flash Reports",0,0,0,1,0,0
"Material Adverse Change",0,0,0,1,0,0
"As Shipped",0,0,0,1,0,0
"Workout Fee",0,0,0,1,0,0
"First Term Loan",0,0,0,1,0,0
"Throughput Agreement",0,0,0,1,0,0
*TOTAL*,3,6,1,116,0,0
