Entity,COR,INC,PAR,SPU,MIS,IGN
"SILICIUM DE PROVENCE SAS",1,0,0,0,0,0
"Borrower and the Bank",0,0,1,0,0,0
"Letter of Credit",0,0,0,1,0,0
"Borrower Transfer",0,0,0,1,0,0
"Newport News Treatment Plant",0,1,0,0,0,0
"Gold Hill Venture Lending",0,0,1,0,0,0
"Revolving Note",0,0,0,1,0,0
"AKAMAI TECHNOLOGIES , INC",0,0,1,0,0,0
"Borrower '",0,0,0,1,0,0
"Ratings Group",0,0,0,1,0,0
"PRISA III Investments , LLC",0,0,1,0,0,0
"People ' s Republic of China",0,0,0,1,0,0
"The Dominion Terminal Associates",0,0,0,0,1,0
"Agent",0,0,1,0,0,0
"Lenders ' Lien",0,0,0,1,0,0
"AND Bizexpress Limited",0,0,1,0,0,0
"DTA",0,0,0,1,0,0
"Registered Organizations",0,0,0,1,0,0
"REOC",0,0,0,1,0,0
"Lender , Borrower Company",0,0,0,1,0,0
"Dominion Terminal Associates",1,0,0,0,0,0
"Paying Agent",1,0,0,0,0,0
"Virginia general partnership",0,0,0,0,1,0
"Advance",0,0,0,1,0,0
"SVB",0,0,0,1,0,0
"Esquire Fax",0,0,0,1,0,0
"Borrower and Lender",0,0,0,1,0,0
"Shanghai Fax",0,0,0,1,0,0
"Investments of Borrower",0,0,0,1,0,0
"Borrower",0,1,0,0,0,0
"Utilities and Communications",0,0,0,1,0,0
"h Bank",0,0,1,0,0,0
"Other Equipment",0,0,0,1,0,0
"Confidential Information",0,0,0,1,0,0
"Macao Special Administrative Region",0,1,0,0,0,0
"Stock Options",0,0,0,1,0,0
"Litigation Cooperation",0,0,0,1,0,0
"Financial Accounting Standards Board",1,0,0,0,0,0
"Hereinafter",0,0,0,1,0,0
"Bank of the",0,0,1,0,0,0
"ING Belgium",0,0,0,1,0,0
"Affiliate",0,0,0,1,0,0
"S. Treasury",0,0,0,1,0,0
"DOMINION TERMINAL ASSOCIATES",1,0,0,0,0,0
"Power of Attorney",0,0,0,1,0,0
"James P. Walker",0,0,0,1,0,0
"Agent or Lenders",0,0,0,1,0,0
"Person",0,0,0,1,0,0
"Liens",0,0,0,1,0,0
"Manufacturer Loans",0,0,0,1,0,0
"j Liens",0,0,0,1,0,0
"Affiliate of the Borrower",0,0,0,1,0,0
"Securities Account",0,0,0,1,0,0
"The Parties",0,0,0,1,0,0
"Person of the Loan Documents",0,0,0,1,0,0
"Trustee",0,0,0,1,0,0
"Power",0,0,0,1,0,0
"Lenovo AsiaInfo Technologies , Inc",0,0,0,1,0,0
"Foreign Subsidiary",0,0,0,1,0,0
"Delaware corporation",0,0,0,0,1,0
"Pittston Terminal",1,0,0,0,0,0
"Investments",0,0,1,0,0,0
"bank",0,0,0,0,1,0
"Section",0,0,0,1,0,0
"French Commercial Code",0,0,0,1,0,0
"Ashford Hospitality Finance General Partner LLC",1,0,0,0,0,0
"Delaware",0,0,0,0,1,0
"Railroad Service",0,0,0,1,0,0
"Lender '",0,0,0,1,0,0
"Used Equipment",0,0,0,1,0,0
"Worksoft Creative Software Technology Ltd",1,0,0,0,0,0
"Committed Equipment Line",0,0,0,1,0,0
"svb",0,0,0,0,1,0
"Silicon Valley Bank",1,0,0,0,0,0
"Works",0,0,1,0,0,0
"CSX Transportation , Inc",0,0,1,0,0,0
"BIG Center",1,0,0,0,0,0
"Succursale en France Branch",0,0,0,1,0,0
"American Institute of Certified Public Accountants",1,0,0,0,0,0
"IL Subsidiary",0,0,0,1,0,0
"Parent Company",0,0,0,1,0,0
"Prudential Investment Management , Inc",0,0,1,0,0,0
"Equipment",0,0,0,1,0,0
"Worksoft",1,0,0,0,0,0
"Bizexperss",0,0,0,0,1,0
"Accepted Loan Servicing Practice",0,0,0,1,0,0
"Agent and / or Lenders ' Lien",0,0,0,1,0,0
"Thinkplus Investments Limited",1,0,0,0,0,0
"Bonds",0,0,0,1,0,0
"Accepted Loan Servicing Practices",0,0,0,1,0,0
"Charles E. Brinley",0,0,0,1,0,0
"Vringo Israel Ltd",0,0,1,0,0,0
"Master Ventures and Master Venture",0,0,0,1,0,0
"Borrower or Guarantor",0,0,0,1,0,0
"Bet Shemesh",0,0,0,1,0,0
"UCC",0,0,0,1,0,0
"Shanghai Solutions",1,0,0,0,0,0
"PIM ASHFORD VENTURE I , LLC",0,0,1,0,0,0
"Accounting Principles Board",1,0,0,0,0,0
"The Wall Street Journal",1,0,0,0,0,0
"Bing Yu Tel",0,0,0,1,0,0
"Board of Arbitration",0,0,1,0,0,0
"Bondholders",0,0,0,1,0,0
"Agent and Agent",0,0,0,1,0,0
"Zhongguancun Software Park",0,1,0,0,0,0
"Lender and Borrower Company",0,0,0,1,0,0
"Mobile Equipment",0,0,0,1,0,0
"EVERGREEN SOLAR",0,0,0,0,1,0
"Immeuble Les Caryatides",0,1,0,0,0,0
"Organization",0,0,0,1,0,0
"Ltd",0,0,1,0,0,0
"PIM Ashford Venture I , LLC",0,0,1,0,0,0
"C Lender",0,0,0,1,0,0
"Board of Governors",0,0,1,0,0,0
"Haidian District",0,1,0,0,0,0
"Pollution Control Equipment",0,0,0,1,0,0
"Holders",0,0,0,1,0,0
"Dominion Terminal Associates Project Brink",0,0,1,0,0,0
"Commonwealth of Massachusetts",0,1,0,0,0,0
"Federal Reserve Board of Governors",1,0,0,0,0,0
"HKIAC",0,0,0,1,0,0
"PRISA III Fund GP , LLC",0,0,1,0,0,0
"Bank '",0,0,1,0,0,0
"Investment",0,0,1,0,0,0
"Treasury",0,0,0,1,0,0
"Gold Hill",1,0,0,0,0,0
"UNION BANK OF CALIFORNIA",0,0,1,0,0,0
"Commonwealth of Virginia",0,1,0,0,0,0
"Chief Financial Officer",0,0,0,0,1,0
"Federal Reserve System",0,0,1,0,0,0
"Wachovia Bank",1,0,0,0,0,0
"PIM",0,0,0,1,0,0
"Servicer",0,0,0,1,0,0
"Permitted Liens",0,0,0,1,0,0
"Lender or Lender",0,0,0,1,0,0
"Affiliate of Borrower",0,0,0,1,0,0
"Lien",0,0,0,1,0,0
"Agent and / or Lenders",0,0,0,1,0,0
"Douglas S. Lambell",0,0,0,1,0,0
"Zhang Jilun",0,1,0,0,0,0
"Agent of Borrower",0,0,0,1,0,0
"Party",0,0,0,1,0,0
"Parent Company Guaranty",0,0,0,1,0,0
"Borrower of the",0,0,0,1,0,0
"People s Republic of China",0,0,0,1,0,0
"Sidney X. Huang Address",0,0,0,1,0,0
"David Corre Fax",0,0,0,1,0,0
"Pricewaterhouse Coopers , LLP",0,0,0,1,0,0
"Employee Retirement Income Security Act",0,0,0,1,0,0
"Moody ' s Investors Service , Inc",0,0,0,1,0,0
"PRISA III Fund LP",0,0,1,0,0,0
"Financed Equipment",0,0,0,1,0,0
"Borrower and Borrower",0,0,0,1,0,0
"Remarketing Agent",1,0,0,0,0,0
"iii Servicer",0,0,0,1,0,0
"Partner of the Company",0,0,0,1,0,0
"Account Debtor",0,0,0,1,0,0
"Agent '",0,0,0,1,0,0
"Covenant",0,0,0,1,0,0
"Bank and Borrower",0,0,1,0,0,0
"Lenders ' Subsidiaries or Affiliates",0,0,0,1,0,0
"SILICON VALLEY BANK",1,0,0,0,0,0
"Unassigned Rights to the Trustee",0,0,0,1,0,0
"Indenture",0,0,0,1,0,0
"District of Columbia",0,0,0,1,0,0
"Inter",0,0,1,0,0,0
"Bank Expenses",0,0,1,0,0,0
"Company",0,0,0,1,0,0
"Pension Benefit Guaranty Corporation",1,0,0,0,0,0
"CROCS",0,0,0,1,0,0
"Evergreen Solar Inc",1,0,0,0,0,0
"Bizexpress",1,0,0,0,0,0
"Liens i on Equipment",0,0,0,1,0,0
"New Equipment",0,0,0,1,0,0
"Hong Kong International Arbitration Center",1,0,0,0,0,0
"Borrower ' s Board",0,0,0,1,0,0
"A. S .",0,0,0,1,0,0
"PRISA III REIT Operating LP",0,0,1,0,0,0
"INC",0,0,1,0,0,0
"Control Stations",0,0,0,1,0,0
"Related Party",0,0,0,1,0,0
"Party of",0,0,0,1,0,0
"Affiliates",0,0,0,1,0,0
"Crocs , Inc",0,0,0,1,0,0
"Person '",0,0,0,1,0,0
"Creditors",0,0,0,1,0,0
"riemerlaw",0,0,0,0,1,0
"PENINSULA PORTS AUTHORITY OF VIRGINIA",0,0,1,0,0,0
"Each Party",0,0,0,1,0,0
