Entity,COR,INC,PAR,SPU,MIS,IGN
"7. 1",0,0,0,0,0,1
"2.",0,0,0,0,0,1
"12",0,0,0,0,0,1
"at least two",0,0,0,0,0,1
"less than 40",0,0,0,0,0,1
"35",0,0,0,0,0,1
"1.",0,0,0,0,0,1
"7",0,0,0,0,0,1
"16",0,0,0,0,0,1
"30438",0,0,0,0,0,1
"five",0,0,0,0,0,1
"345",0,0,0,0,0,1
"36830",0,0,0,0,0,1
"110108650831235",0,0,0,0,0,1
"04",0,0,0,0,0,1
"25",0,0,0,0,0,1
"FR76",0,0,0,0,0,1
"15",0,0,0,0,0,1
"200",0,0,0,0,0,1
"3.",0,0,0,0,0,1
"at least fifty thousand 50",0,0,0,0,0,1
"611 4",0,0,0,0,0,1
"000",0,0,0,0,0,1
"500",0,0,0,0,0,1
"30",0,0,0,0,0,1
"7.",0,0,0,0,0,1
"37",0,0,0,0,0,1
"138",0,1,0,0,0,0
"two",0,0,0,0,0,1
"700",0,0,0,0,0,1
"no more than one",0,0,0,0,0,1
"6",0,0,0,0,0,1
"14.",0,0,0,0,0,1
"275",0,0,0,0,0,1
"11 8",0,0,0,0,0,1
"1 4 48",0,0,0,0,0,1
"3",0,0,0,0,0,1
"20",0,0,0,0,0,1
"15. 1",0,0,0,0,0,1
"24",0,0,0,0,0,1
"313",0,0,0,0,0,1
"22.",0,0,0,0,0,1
"303",0,0,0,0,0,1
"at least three hundred thousand 300",0,0,0,0,0,1
"at least 50",0,0,0,0,0,1
"29",0,0,0,0,0,1
"14",0,0,0,0,0,1
"6328",0,0,0,0,0,1
"18.",0,0,0,0,0,1
"4. 1. 15",0,0,0,0,0,1
"617",0,0,0,0,0,1
"one",0,0,0,0,0,1
"13",0,0,0,0,0,1
"2 3",0,0,0,0,0,1
"15.",0,0,0,0,0,1
"19",0,0,0,0,0,1
"17",0,0,0,0,0,1
"00",0,0,0,0,0,1
"8",0,0,0,0,0,1
"2227",0,0,0,0,0,1
"4. 1. 1. 8",0,0,0,0,0,1
"619",0,0,0,0,0,1
"4",0,0,0,0,0,1
"350",0,0,0,0,0,1
"203",0,0,0,0,0,1
"6 10",0,0,0,0,0,1
"1",0,0,0,0,0,1
"four",0,0,0,0,0,1
"19.",0,0,0,0,0,1
"5.",0,0,0,0,0,1
"05",0,0,0,0,0,1
"9",0,0,0,0,0,1
"43",0,0,0,0,0,1
"2426798",0,0,0,0,0,1
"21",0,0,0,0,0,1
"00 70",0,0,0,0,0,1
"530",0,0,0,0,0,1
"644 6",0,0,0,0,0,1
"17.",0,0,0,0,0,1
"701",0,0,0,0,0,1
"1312",0,0,0,0,0,1
"three",0,0,0,0,0,1
"4.",0,0,0,0,0,1
"6.",0,0,0,0,0,1
"830",0,0,0,0,0,1
"9.",0,0,0,0,0,1
"173",0,0,0,0,0,1
"18",0,0,0,0,0,1
"10",0,0,0,0,0,1
"44",0,1,0,0,0,0
"501",0,0,0,0,0,1
"11",0,0,0,0,0,1
"9. 4",0,0,0,0,0,1
"631 1",0,0,0,0,0,1
"16.",0,0,0,0,0,1
"10.",0,0,0,0,0,1
"2",0,0,0,0,0,1
"100",0,0,0,0,0,1
"4. 1. 10",0,0,0,0,0,1
"more than one",0,0,0,0,0,1
"86",0,0,0,0,0,1
"00008",0,0,0,0,0,1
"12.",0,0,0,0,0,1
"3F",0,1,0,0,0,0
"8.",0,0,0,0,0,1
"5",0,0,0,0,0,1
"611 15",0,0,0,0,0,1
"one 1 or more",0,0,0,0,0,1
"36",0,1,0,0,0,0
*TOTAL*,0,4,0,0,0,105
