Entity,COR,INC,PAR,SPU,MIS,IGN
""" Payment Date """,0,0,0,0,0,1
""" Calendar Year """,0,0,0,0,0,1
"an Event of Default",0,0,0,0,0,1
""" Business Day """,0,0,0,0,0,1
"the French Code de la Consommation",0,0,0,0,0,1
""" Milestone Event No. 2",0,0,0,0,0,1
"Confidential Information """,0,0,0,0,0,1
""" Second Draw Period """,0,0,0,0,0,1
"22 IN WITNESS WHEREOF",0,0,0,0,0,1
""" Key Person """,0,0,0,0,0,1
""" Third Draw Period """,0,0,0,0,0,1
"the "" Lender """,0,0,0,0,0,1
""" Gold Hill """,0,0,0,0,0,1
"First Draw Period """,0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,14
