Entity,COR,INC,PAR,SPU,MIS,IGN
"Shanghai Solutions",0,0,0,0,1,0
"Shanghai Solutions Software Co",0,0,0,0,1,0
"svb",0,0,0,0,1,0
"Legal Department",0,0,0,0,1,0
"Virginia general partnership",0,0,0,0,1,0
"Wall Street Journal",0,0,1,0,0,0
"Lenovo - AsiaInfo Technologies",0,0,0,0,1,0
"Fifth Amendment",0,0,0,1,0,0
"Corps of Engineers",0,0,0,0,1,0
"BIG Center",0,0,0,0,1,0
"Fifth Supplemental Lease",0,0,0,1,0,0
"Chief Financial Officer",0,0,0,0,1,0
"Fifth Avenue",0,0,0,1,0,0
"Delaware corporation",0,0,0,0,1,0
"bank",0,0,0,0,1,0
"riemerlaw",0,0,0,0,1,0
"Bizexperss",0,0,0,0,1,0
"Bank of China",0,0,0,0,1,0
"vringo",0,0,0,0,1,0
"Airland International Limited Bizexpress Limited",0,0,0,0,1,0
*TOTAL*,0,0,1,3,32,0
