Entity,COR,INC,PAR,SPU,MIS,IGN
"coal terminal site",0,0,0,0,1,0
"Marlboro , Massachusetts",0,0,1,0,0,0
"Israel",1,0,0,0,0,0
"New York 10017",0,0,0,0,1,0
"France",1,0,0,0,0,0
"Massachusetts 02108",0,0,0,0,1,0
"Paris",1,0,0,0,0,0
"Gold",0,0,1,0,0,0
"Massachusetts 01752",0,0,0,0,1,0
"Saint Auban",1,0,0,0,0,0
"ASHFORD",0,0,0,1,0,0
"British West Indies",1,0,0,0,0,0
"3 / F Zhongdian Information Tower",0,0,0,0,1,0
"Bizexpress",0,1,0,0,0,0
"___________",0,0,0,1,0,0
"Street Newton , Massachusetts",0,0,1,0,0,0
"Esquire",0,0,0,0,1,0
"Bank",0,1,0,0,0,0
"Delaware",0,1,0,0,0,0
"River",0,0,0,0,1,0
"6328 Monarch Park Place Niwot",0,0,0,0,1,0
"the",0,0,0,0,1,0
"27th Floor",0,0,0,0,1,0
"36",0,0,0,0,1,0
"Beijing 100086",0,0,0,0,1,0
"Santa Clara , California",0,0,1,0,0,0
"south",0,0,0,0,1,0
"Taiwan",1,0,0,0,0,0
"Wall Street",0,0,0,0,1,0
"Ashford",0,1,0,0,0,0
"Cricket Square",0,0,0,0,1,0
"Commonwealth of Massachusetts",0,0,0,0,1,0
"PROVENCE",0,0,0,1,0,0
"southeast",0,0,0,0,1,0
"United State of America",1,0,0,0,0,0
"United State",0,0,1,0,0,0
"Shemesh",0,0,1,0,0,0
"VRINGO",0,1,0,0,0,0
"British Virgin",0,0,1,0,0,0
"530 B Street",0,0,0,0,1,0
"Jinjia",0,0,1,0,0,0
"Fifth",0,0,0,0,1,0
"Usine",0,0,1,0,0,0
"Cologne",0,0,0,1,0,0
"Shanghai",1,0,0,0,0,0
"Newport",1,0,0,0,0,0
"east",0,0,0,0,1,0
"Pittston",0,0,0,1,0,0
"PRISA",0,0,0,1,0,0
"Wellesley , Massachusetts",0,0,1,0,0,0
"Niwot , Colorado",0,0,0,1,0,0
"Cayman Islands",1,0,0,0,0,0
"Suite 203 2227 Washington Street Newton",0,0,0,0,1,0
"Pier",0,0,1,0,0,0
"Tortola",1,0,0,0,0,0
"Abbott Building Road Town",0,0,0,0,1,0
"central control room atop transfer tower TT2",0,0,0,0,1,0
"OF CALIFORNIA",0,0,1,0,0,0
"Santa Clara County , California",0,0,1,0,0,0
"northwest",0,0,0,0,1,0
"535 Fifth Avenue",0,0,0,0,1,0
"138",0,0,0,0,1,0
"Hutchins Drive",0,0,0,0,1,0
"China",1,0,0,0,0,0
"2nd floor",0,0,0,0,1,0
"Haidian District",1,0,0,0,0,0
"HKIAC",0,0,0,1,0,0
"Macao",0,0,1,0,0,0
"James",0,0,0,0,1,0
"44",0,0,0,0,1,0
"Fengtai District",1,0,0,0,0,0
"Virgin",0,0,1,0,0,0
"Plaza",0,0,0,0,1,0
"DOCSTART",0,0,0,1,0,0
"Commonwealth",1,0,0,0,0,0
"Republic of China",1,0,0,0,0,0
"CEO",0,0,0,0,1,0
"Carnot",0,0,1,0,0,0
"Lille",0,0,1,0,0,0
"Boston , Massachusetts",0,0,1,0,0,0
"3F",0,0,0,0,1,0
"Colorado 80503",0,0,0,0,1,0
"6 Zhongguancun South Street",0,0,0,0,1,0
"VIRGINIA",0,0,0,0,1,0
"____________",0,0,0,1,0,0
"535",0,0,0,0,1,0
"201 Broadway",0,0,0,0,1,0
"Succursale",0,0,0,1,0,0
"Guidu Road",0,0,0,0,1,0
"George Town",0,0,0,0,1,0
"Bartlett Street Marlboro , Massachusetts",0,0,1,0,0,0
"Harbor Road",0,0,0,0,1,0
"Beijing",1,0,0,0,0,0
"ING Belgium",0,0,1,0,0,0
"Hong Kong",1,0,0,0,0,0
"Airland",0,1,0,0,0,0
"California",1,0,0,0,0,0
"goldhillcapital",0,0,0,0,1,0
"New York , New York",0,0,1,0,0,0
"Eastern",0,0,0,0,1,0
"PRC",0,0,0,1,0,0
"San Diego , California",0,0,1,0,0,0
"Tianlin East Road",0,0,0,0,1,0
"Newport News , Virginia",0,0,1,0,0,0
"Grand",0,0,1,0,0,0
"SANTA CLARA",0,0,0,0,1,0
"Zhongguancun South Street",0,0,0,0,1,0
"Provence",0,0,0,1,0,0
"Virginia",1,0,0,0,0,0
"Avenue",0,0,0,0,1,0
"Bizexpress Limited",0,0,0,0,1,0
"3003 Tasman Drive",0,0,0,0,1,0
"United States",1,0,0,0,0,0
"Ste",0,0,0,1,0,0
"Three",0,0,0,0,1,0
"Massachusetts 02462",0,0,0,0,1,0
"Renminbi",0,0,1,0,0,0
"Massachusetts",1,0,0,0,0,0
"Cambridge , Massachusetts",0,0,1,0,0,0
"Silicon",0,0,1,0,0,0
"Newton Executive Park",0,0,0,0,1,0
*TOTAL*,22,6,27,14,104,0
