Entity,COR,INC,PAR,SPU,MIS,IGN
"Exhibit C. "" MATERIAL ADVERSE CHANGE",0,0,0,0,0,1
"All Borrower ' s Books",0,0,0,0,0,1
"Borrower s",0,0,0,0,0,1
"g. Maintenance",0,0,0,0,0,1
"243 2601",0,0,0,0,0,1
"Books",0,0,0,0,0,1
"3000",0,0,0,0,0,1
"R. 313 2",0,0,0,0,0,1
"e. Pickup",0,0,0,0,0,1
"Lane 345",0,1,0,0,0,0
"Borrower s Covenants",0,0,0,0,0,1
"ARTICLE VII",0,0,0,0,0,1
"L. 644 6",0,0,0,0,0,1
"RMB100",0,0,0,0,0,1
"R.",0,0,0,0,0,1
"vii encumber",0,0,0,0,0,1
"a Principal Prepayment of the Loan",0,0,0,0,0,1
"FR76 3043 8000",0,0,0,0,0,1
"Standard Poor ' s",0,0,0,0,0,1
"905",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,19
