Entity,COR,INC,PAR,SPU,MIS,IGN
"Taiwan",0,0,0,0,1,0
"Wall Street",0,0,0,0,1,0
"Haidian District",1,0,0,0,0,0
"Beijing",0,0,0,0,1,0
"Harbor Road",0,0,0,0,1,0
"Cricket Square",0,0,0,0,1,0
"Jinjia Village",0,0,0,0,1,0
"the Silicon S P Agreement",0,0,1,0,0,0
"Zhongguancun Software Park",0,0,0,0,1,0
"SILICON VALLEY EAST",1,0,0,0,0,0
"France",0,0,0,0,1,0
"New York",0,0,0,0,1,0
"Santa Clara County",0,0,0,0,1,0
"Silicon Valley East",1,0,0,0,0,0
"Plaza",0,0,0,0,1,0
"SANTA CLARA",0,0,0,0,1,0
"Zhongguancun South Street",1,0,0,0,0,0
"CEO",0,0,0,0,1,0
"Santa Clara",0,0,0,0,1,0
"the James River",0,0,1,0,0,0
"Saint Auban",0,0,0,0,1,0
"Avenue",0,0,0,0,1,0
"Belgium",0,0,0,0,1,0
"Tortola",0,0,0,0,1,0
"Grand Cayman",0,0,0,0,1,0
"Abbott Building Road Town",0,0,0,0,1,0
"Silicon Valley",0,0,0,0,1,0
"Century Yard",0,0,0,0,1,0
"Cambridge",0,0,0,0,1,0
"Guidu Road",0,0,0,0,1,0
"George Town",0,0,0,0,1,0
*TOTAL*,4,0,2,0,50,0
