Entity,COR,INC,PAR,SPU,MIS,IGN
"Charles E. Brinley",0,0,1,0,0,0
"Michael Moretti",0,0,0,0,1,0
"VP Telecopier",0,0,0,1,0,0
"George Town",0,1,0,0,0,0
"Frank Wouters",1,0,0,0,0,0
"Chen Shuning",1,0,0,0,0,0
"Ashford",0,1,0,0,0,0
"s",0,0,1,0,0,0
"Zhang Jilun",1,0,0,0,0,0
"Lender",1,0,0,0,0,0
"Richard Chleboski",1,0,0,0,0,0
"U. A.",0,0,0,1,0,0
"Richard G. Page",0,0,1,0,0,0
"David Brooks",1,0,0,0,0,0
"viii",0,0,0,1,0,0
"Signature Page to",0,0,0,1,0,0
"DEphraim riemerlaw",0,0,1,0,0,0
"BORROWER",0,0,0,0,1,0
"DFischer goldhillcapital",0,0,1,0,0,0
"LENDER",0,0,0,0,1,0
"Esquire Fax",0,0,0,1,0,0
"P. R. China",0,0,0,1,0,0
"Holder",0,0,0,1,0,0
"RECITALS A.",0,0,0,1,0,0
"Signature",0,0,0,1,0,0
"lien",0,0,0,1,0,0
"David Fischer",1,0,0,0,0,0
"com",0,0,0,1,0,0
"taux effectif",0,0,0,1,0,0
"Sidney X. Huang",0,0,0,1,0,0
"Paul Sagan",1,0,0,0,0,0
"colliers",0,0,0,1,0,0
"David A. Ephraim",0,0,1,0,0,0
"Michael Morreti",1,0,0,0,0,0
"Bizexperss",0,1,0,0,0,0
"Immeuble Les Caryatides",0,1,0,0,0,0
"P. O. Box",0,0,0,1,0,0
"Bing Yu",1,0,0,0,0,0
"N. A.",0,0,0,1,0,0
"Bizexpress Limited",0,1,0,0,0,0
"HERBERT SMITH LOGO",0,0,1,0,0,0
"L. P. "" Gold",0,0,0,1,0,0
"intercreditor",0,0,0,1,0,0
"corre vringo",0,0,1,0,0,0
"Richard G. Chleboski",0,0,1,0,0,0
"P. R. 1",0,0,0,1,0,0
"Telecopier",0,0,0,1,0,0
"WITNESSETH",0,0,0,1,0,0
"Shi Rongbin",1,0,0,0,0,0
"Lien",0,0,0,1,0,0
"Sections",0,0,0,1,0,0
"i. e.",0,0,0,1,0,0
"Borrower Airland International",0,0,1,0,0,0
"S. T. Fax To :",0,0,0,1,0,0
"lender",0,0,0,0,1,0
"William St .",0,0,0,1,0,0
"David Corre",1,0,0,0,0,0
"E. S. T.",0,0,0,1,0,0
"Peter Case Title",0,0,0,1,0,0
"James P. Walker",0,0,1,0,0,0
"Sidney X . Huang",0,0,0,0,1,0
"Nancy E.",0,0,1,0,0,0
"m. eastern",0,0,0,1,0,0
"Keith Love",1,0,0,0,0,0
"Robert E. Yancey",0,0,1,0,0,0
"Douglas S. Lambell",0,0,1,0,0,0
"david",1,0,0,0,0,0
"MMoretti",0,0,0,0,1,0
"Jonathan Medved",1,0,0,0,0,0
*TOTAL*,15,5,14,29,12,0
