Entity,COR,INC,PAR,SPU,MIS,IGN
"ii On the First Repayment Date",0,0,0,0,0,1
"Final Payment Percentage",0,0,0,0,0,1
"Holder",0,0,0,0,0,1
"Project",0,0,0,0,0,1
"Third Term Loan",0,0,0,0,0,1
"Manufacturer Loans",0,0,0,0,0,1
"Dollars",0,0,0,0,0,1
"Original Stated Cost",0,0,0,0,0,1
"Subordinated Debt",0,0,0,0,0,1
"Lenders",0,0,0,0,0,1
"Event of Default",0,0,0,0,0,1
"Confidential Information :",0,0,0,0,0,1
"Gold Hill",0,1,0,0,0,0
"Lender",0,1,0,0,0,0
"Basic Rate",0,0,0,0,0,1
"Authorized Signature :",0,0,0,0,0,1
"Account Debtor",0,0,0,0,0,1
"the Perfection Certificate",0,0,0,0,0,1
"Second Term Loan",0,0,0,0,0,1
"the Effective Date",0,0,0,0,0,1
"Second Repayment Date",0,0,0,0,0,1
"Servicer",0,0,0,0,0,1
"Section",0,0,0,0,0,1
"Term Loan",0,0,0,0,0,1
"Permitted Liens",0,0,0,0,0,1
"Contingent Obligation",0,0,0,0,0,1
"Confidential Information",0,0,0,0,0,1
"a Workout Fee or Management Fee",0,0,0,0,0,1
"the Perfection Certificate , Borrower",0,0,0,0,0,1
"Borrower",0,1,0,0,0,0
"Fifth Supplemental Lease",0,0,0,0,0,1
"Milestone Event",0,0,0,0,0,1
"Prepayment Fee",0,0,0,0,0,1
"Second Draw Period",0,0,0,0,0,1
"Scheduled Payments",0,0,0,0,0,1
"Transfer",0,0,0,0,0,1
"Share Pledge Agreement",0,0,0,0,0,1
"Indenture",0,0,0,0,0,1
"each Equipment Advance",0,0,0,0,0,1
"the Payment Dates",0,0,0,0,0,1
"WITNESS WHEREOF",0,0,0,0,0,1
"Communication",0,0,0,0,0,1
"Tranche A Shares",0,0,0,0,0,1
"Final Payment",0,0,0,0,0,1
"Management Fee",0,0,0,0,0,1
"Workout Fee",0,0,0,0,0,1
"Principal Balance",0,0,0,0,0,1
"the Basic Rate",0,0,0,0,0,1
"Borrowing Resolutions",0,0,0,0,0,1
"Third Draw Period",0,0,0,0,0,1
"the Maturity Date",0,0,0,0,0,1
"Confidential Information of the",0,0,0,0,0,1
"Commitment Termination Date",0,0,0,0,0,1
"Perfection Certificate",0,0,0,0,0,1
"Board",0,0,0,0,0,1
"Exhibit A",0,0,0,0,0,1
"Register",0,0,0,0,0,1
"Borrower in Section 12",0,0,0,0,0,1
"Parties",0,0,0,0,0,1
"Lease",0,0,0,0,0,1
*TOTAL*,0,3,0,0,0,57
